,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1728,1728,AV4Xm49H-R03vmj0SJxm,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:04.326Z,2017-08-25T04:17:03.000Z,2398,fcffff074dffb8008aff20,yilan,宜蘭市中山路二段,1014,192.168.88.113,-83.0,20.8,1503634623.0,1.3259999999999998,-179,184,-118,282.52610498854784,32,2017-08-25 12:17:03,-179.0,184.0,-118.0,282.5261049885479
1704,1704,AV4Xm5l9-R03vmj0SJx0,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:06.940Z,2017-08-25T04:15:28.000Z,2399,fcffff074cffb8008aff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-100.0,3.0,1503634528.0,98.94,-180,184,-118,283.1607317408259,32,2017-08-25 12:15:28,-180.0,184.0,-118.0,283.16073174082595
1705,1705,AV4Xm6uC-R03vmj0SJyV,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:11.553Z,2017-08-25T04:15:31.000Z,2400,fcffff074dffb90089ff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-112.0,-10.0,1503634531.0,100.553,-179,185,-119,283.59654440772016,32,2017-08-25 12:15:31,-179.0,185.0,-119.0,283.59654440772016
1706,1706,AV4Xm7Il-R03vmj0SJye,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:13.252Z,2017-08-25T04:15:34.000Z,2401,fcffff074cffb90089ff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-96.0,2.0,1503634534.0,99.25200000000001,-180,185,-119,284.2287810901633,32,2017-08-25 12:15:34,-180.0,185.0,-119.0,284.22878109016335
1707,1707,AV4Xm71U-R03vmj0SJyy,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:16.114Z,2017-08-25T04:15:37.000Z,2402,fcffff074cffb80088ff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-107.5,-11.5,1503634537.0,99.11399999999999,-180,184,-120,284.0,32,2017-08-25 12:15:37,-180.0,184.0,-120.0,284.0
1708,1708,AV4Xm8nR-R03vmj0SJzI,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:19.312Z,2017-08-25T04:15:40.000Z,2403,fcffff074cffb9008aff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-108.2,-8.2,1503634540.0,99.31200000000001,-180,185,-118,283.81155719949106,32,2017-08-25 12:15:40,-180.0,185.0,-118.0,283.81155719949106
1709,1709,AV4Xm9Ph-R03vmj0SJzd,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:21.888Z,2017-08-25T04:15:43.000Z,2404,fcffff074bffba008dff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-107.2,-4.2,1503634543.0,98.88799999999999,-181,186,-115,283.8696884135395,32,2017-08-25 12:15:43,-181.0,186.0,-115.0,283.8696884135395
1710,1710,AV4Xm99L-R03vmj0SJzw,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:24.810Z,2017-08-25T04:15:46.000Z,2405,fcffff074affbc008eff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-91.2,-0.2,1503634546.0,98.81,-182,188,-114,285.4189902581817,32,2017-08-25 12:15:46,-182.0,188.0,-114.0,285.4189902581817
1711,1711,AV4Xm-uH-R03vmj0SJ0H,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:27.942Z,2017-08-25T04:15:49.000Z,2406,fcffff074bffbe008fff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-101.0,2.0,1503634549.0,98.94200000000001,-181,190,-113,285.709642819419,32,2017-08-25 12:15:49,-181.0,190.0,-113.0,285.709642819419
1712,1712,AV4Xm_kv-R03vmj0SJ0j,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:31.438Z,2017-08-25T04:15:52.000Z,2407,fcffff074cffbe008eff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-106.8,-8.8,1503634552.0,99.43799999999999,-180,190,-114,285.4750426920013,32,2017-08-25 12:15:52,-180.0,190.0,-114.0,285.47504269200135
1773,1773,AV4XnAOB-R03vmj0SJ01,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:34.080Z,2017-08-25T04:17:33.000Z,2408,fcffff074cffbf008fff20,yilan,宜蘭市中山路二段,1014,10.5.180.38,-103.0,13.3,1503634653.0,1.08,-180,191,-113,285.744641244591,32,2017-08-25 12:17:33,-180.0,191.0,-113.0,285.744641244591
1713,1713,AV4XnA7U-R03vmj0SJ1F,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:36.978Z,2017-08-25T04:15:58.000Z,2409,fcffff074cffbe008eff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-100.0,-1.0,1503634558.0,98.978,-180,190,-114,285.4750426920013,32,2017-08-25 12:15:58,-180.0,190.0,-114.0,285.47504269200135
1714,1714,AV4XnBpb-R03vmj0SJ1c,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:39.930Z,2017-08-25T04:16:01.000Z,2410,fcffff074cffbf008dff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-105.0,3.0,1503634561.0,98.93,-180,191,-115,286.54144551879403,32,2017-08-25 12:16:01,-180.0,191.0,-115.0,286.54144551879403
1715,1715,AV4XnCWK-R03vmj0SJ1u,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:42.793Z,2017-08-25T04:16:04.000Z,2411,fcffff074bffbe0087ff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-99.0,0.5,1503634564.0,98.79299999999999,-181,190,-121,288.9671261579767,32,2017-08-25 12:16:04,-181.0,190.0,-121.0,288.9671261579767
1790,1790,AV4XnDP4-R03vmj0SJ2N,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:46.487Z,2017-08-25T04:17:45.000Z,2412,fcffff074fffbc008aff20,yilan,宜蘭市中山路二段,1014,192.168.1.145,-99.3,-9.3,1503634665.0,1.4869999999999999,-177,188,-118,283.89610775775003,32,2017-08-25 12:17:45,-177.0,188.0,-118.0,283.89610775775
1716,1716,AV4XnD4Y-R03vmj0SJ2b,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:49.079Z,2017-08-25T04:16:10.000Z,2413,fcffff074effba0088ff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-100.5,-0.5,1503634570.0,99.079,-178,186,-120,284.0422503783548,32,2017-08-25 12:16:10,-178.0,186.0,-120.0,284.0422503783548
1717,1717,AV4XnExF-R03vmj0SJ22,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:52.708Z,2017-08-25T04:16:13.000Z,2414,fcffff074dffb9008aff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-100.0,3.8,1503634573.0,99.708,-179,185,-118,283.17838900594086,32,2017-08-25 12:16:13,-179.0,185.0,-118.0,283.1783890059409
1718,1718,AV4XnFX3-R03vmj0SJ3G,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:55.190Z,2017-08-25T04:16:16.000Z,2415,fcffff074bffbb008cff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-100.8,-0.8,1503634576.0,99.19,-181,187,-116,284.93157073234266,32,2017-08-25 12:16:16,-181.0,187.0,-116.0,284.93157073234266
1808,1808,AV4XnGJF-R03vmj0SJ3e,parking_record_index_v2,101a0d0100e4,2017-08-25T04:17:58.340Z,2017-08-25T04:17:57.000Z,2416,fcffff074bffbe008fff20,yilan,宜蘭市中山路二段,1014,192.168.1.145,-114.0,-9.0,1503634677.0,1.34,-181,190,-113,285.709642819419,32,2017-08-25 12:17:57,-181.0,190.0,-113.0,285.709642819419
1719,1719,AV4XnG4r-R03vmj0SJ3y,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:01.386Z,2017-08-25T04:16:22.000Z,2417,fcffff074cffbf008dff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-107.2,-7.2,1503634582.0,99.38600000000001,-180,191,-115,286.54144551879403,32,2017-08-25 12:16:22,-180.0,191.0,-115.0,286.54144551879403
1720,1720,AV4XnHkK-R03vmj0SJ4C,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:04.169Z,2017-08-25T04:16:25.000Z,2418,fcffff074effbc008bff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-92.0,-3.0,1503634585.0,99.169,-178,188,-117,284.10737406832646,32,2017-08-25 12:16:25,-178.0,188.0,-117.0,284.1073740683265
1721,1721,AV4XnKGL-R03vmj0SJ5J,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:14.538Z,2017-08-25T04:16:28.000Z,2419,fcffff074fffba008bff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-85.2,-1.2,1503634588.0,106.538,-177,186,-117,282.15952934465986,32,2017-08-25 12:16:28,-177.0,186.0,-117.0,282.1595293446599
1722,1722,AV4XnKNg-R03vmj0SJ5Q,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:15.007Z,2017-08-25T04:16:31.000Z,2420,fcffff074effb90088ff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-103.0,-4.0,1503634591.0,104.007,-178,185,-120,283.38842601630716,32,2017-08-25 12:16:31,-178.0,185.0,-120.0,283.38842601630716
1723,1723,AV4XnKNi-R03vmj0SJ5R,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:15.009Z,2017-08-25T04:16:34.000Z,2421,fcffff074cffb9008bff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-100.0,0.5,1503634594.0,101.009,-180,185,-117,283.3972476930572,32,2017-08-25 12:16:34,-180.0,185.0,-117.0,283.3972476930572
1833,1833,AV4XnKho-R03vmj0SJ5a,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:16.295Z,2017-08-25T04:18:15.000Z,2422,fcffff074bffbc008dff20,yilan,宜蘭市中山路二段,1014,10.5.180.38,-81.0,15.0,1503634695.0,1.295,-181,188,-115,285.184151032276,32,2017-08-25 12:18:15,-181.0,188.0,-115.0,285.18415103227596
1724,1724,AV4XnLjg-R03vmj0SJ5z,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:20.510Z,2017-08-25T04:16:40.000Z,2423,fcffff074bffbe0091ff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-99.0,0.5,1503634600.0,100.51,-181,190,-111,284.92455141668637,32,2017-08-25 12:16:40,-181.0,190.0,-111.0,284.9245514166864
1725,1725,AV4XnL5p-R03vmj0SJ5-,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:21.927Z,2017-08-25T04:16:43.000Z,2424,fcffff074effbe008cff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-102.8,-1.8,1503634603.0,98.927,-178,190,-116,285.0263145746371,32,2017-08-25 12:16:43,-178.0,190.0,-116.0,285.0263145746371
1845,1845,AV4XnM5U-R03vmj0SJ6S,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:26.002Z,2017-08-25T04:18:24.000Z,2425,fcffff074effbb0089ff20,yilan,宜蘭市中山路二段,1014,192.168.88.113,-75.0,21.3,1503634704.0,2.002,-178,187,-119,284.2780329184793,32,2017-08-25 12:18:24,-178.0,187.0,-119.0,284.2780329184793
1726,1726,AV4XnNX7-R03vmj0SJ6n,parking_record_index_v2,101a0d0100e4,2017-08-25T04:18:27.962Z,2017-08-25T04:16:49.000Z,2426,fcffff074dffb9008bff20,yilan,宜蘭市中山路二段,1014,192.168.0.225,-107.5,-0.5,1503634609.0,98.962,-179,185,-117,282.76315177193794,32,2017-08-25 12:16:49,-179.0,185.0,-117.0,282.76315177193794
