,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1202,1202,AV4XmXDZ-R03vmj0SJjo,parking_record_index_v2,101a0d010119,2017-08-25T04:14:45.464Z,2017-08-25T04:14:45.000Z,1459,fcffff0751fe4700a0ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-97.0,18.0,1503634485.0,0.46399999999999997,-431,71,-96,447.23371965897206,37,2017-08-25 12:14:45,20.285714285714334,32.535714285714285,-84.89285714285714,93.14977242076772
1203,1203,AV4XmYly-R03vmj0SJkR,parking_record_index_v2,101a0d010119,2017-08-25T04:14:51.760Z,2017-08-25T04:14:51.000Z,1460,fcffff0752fe4e009cff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-91.0,24.5,1503634491.0,0.76,-430,78,-100,448.31239108460966,37,2017-08-25 12:14:51,21.285714285714334,39.535714285714285,-88.89285714285714,99.58962992076586
1204,1204,AV4XmZ-w-R03vmj0SJk6,parking_record_index_v2,101a0d010119,2017-08-25T04:14:57.455Z,2017-08-25T04:14:57.000Z,1461,fcffff0751fe4a00a2ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-89.0,20.5,1503634497.0,0.455,-431,74,-94,447.2952045349916,37,2017-08-25 12:14:57,20.285714285714334,35.535714285714285,-82.89285714285714,92.44199781043069
1205,1205,AV4XmbdC-R03vmj0SJlf,parking_record_index_v2,101a0d010119,2017-08-25T04:15:03.489Z,2017-08-25T04:15:03.000Z,1462,fcffff0753fe48009eff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-91.0,23.8,1503634503.0,0.489,-429,72,-98,445.9024557007956,37,2017-08-25 12:15:03,22.285714285714334,33.535714285714285,-86.89285714285714,95.7688144247726
1206,1206,AV4Xmc6t-R03vmj0SJmF,parking_record_index_v2,101a0d010119,2017-08-25T04:15:09.484Z,2017-08-25T04:15:09.000Z,1463,fcffff0752fe4b009cff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-91.0,22.0,1503634509.0,0.484,-430,75,-100,447.80017865114786,37,2017-08-25 12:15:09,21.285714285714334,36.535714285714285,-88.89285714285714,98.43718861304815
1207,1207,AV4Xmf5b-R03vmj0SJnQ,parking_record_index_v2,101a0d010119,2017-08-25T04:15:21.690Z,2017-08-25T04:15:21.000Z,1465,fcffff0752fe49009eff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-90.0,23.8,1503634521.0,0.69,-430,73,-98,447.0268448314933,37,2017-08-25 12:15:21,21.285714285714334,34.535714285714285,-86.89285714285714,95.89664131932115
1208,1208,AV4XmhTk-R03vmj0SJny,parking_record_index_v2,101a0d010119,2017-08-25T04:15:27.459Z,2017-08-25T04:15:27.000Z,1466,fcffff0751fe4b00a3ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-89.0,22.5,1503634527.0,0.45899999999999996,-431,75,-93,447.25272497772437,37,2017-08-25 12:15:27,20.285714285714334,36.535714285714285,-81.89285714285714,91.93915745464166
1209,1209,AV4Xmi2z-R03vmj0SJod,parking_record_index_v2,101a0d010119,2017-08-25T04:15:33.809Z,2017-08-25T04:15:33.000Z,1467,fcffff0753fe4b009cff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-93.0,23.8,1503634533.0,0.809,-429,75,-100,446.8400161131497,37,2017-08-25 12:15:33,22.285714285714334,36.535714285714285,-88.89285714285714,98.65825627190178
1210,1210,AV4XmkPZ-R03vmj0SJpE,parking_record_index_v2,101a0d010119,2017-08-25T04:15:39.480Z,2017-08-25T04:15:39.000Z,1468,fcffff0752fe4d00a0ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-86.0,20.5,1503634539.0,0.48,-430,77,-96,447.2639041997465,37,2017-08-25 12:15:39,21.285714285714334,38.535714285714285,-84.89285714285714,95.62886646845092
1211,1211,AV4XmltS-R03vmj0SJpp,parking_record_index_v2,101a0d010119,2017-08-25T04:15:45.489Z,2017-08-25T04:15:45.000Z,1469,fcffff0751fe4900a0ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-87.0,21.2,1503634545.0,0.489,-431,73,-96,447.5555831402397,37,2017-08-25 12:15:45,20.285714285714334,34.535714285714285,-84.89285714285714,93.86704937934117
1212,1212,AV4XmnOg-R03vmj0SJqM,parking_record_index_v2,101a0d010119,2017-08-25T04:15:51.711Z,2017-08-25T04:15:51.000Z,1470,fcffff0752fe4d009dff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-90.0,22.0,1503634551.0,0.711,-430,77,-99,447.91740310016985,37,2017-08-25 12:15:51,21.285714285714334,38.535714285714285,-87.89285714285714,98.30176623488492
1213,1213,AV4Xmos_-R03vmj0SJq4,parking_record_index_v2,101a0d010119,2017-08-25T04:15:57.758Z,2017-08-25T04:15:57.000Z,1471,fcffff0752fe4b00a0ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-89.0,22.5,1503634557.0,0.758,-430,75,-96,446.92393088757285,37,2017-08-25 12:15:57,21.285714285714334,36.535714285714285,-84.89285714285714,94.8405885942193
1214,1214,AV4XmqHL-R03vmj0SJri,parking_record_index_v2,101a0d010119,2017-08-25T04:16:03.530Z,2017-08-25T04:16:03.000Z,1472,fcffff0752fe4d009eff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-86.0,20.0,1503634563.0,0.53,-430,77,-98,447.69744247650107,37,2017-08-25 12:16:03,21.285714285714334,38.535714285714285,-86.89285714285714,97.40868303499563
1215,1215,AV4XmrlP-R03vmj0SJsK,parking_record_index_v2,101a0d010119,2017-08-25T04:16:09.550Z,2017-08-25T04:16:09.000Z,1473,fcffff0752fe4c009dff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-103.0,19.5,1503634569.0,0.55,-430,76,-99,447.746580109776,37,2017-08-25 12:16:09,21.285714285714334,37.535714285714285,-87.89285714285714,97.91407363768771
1216,1216,AV4XmtBz-R03vmj0SJsw,parking_record_index_v2,101a0d010119,2017-08-25T04:16:15.474Z,2017-08-25T04:16:15.000Z,1474,fcffff0752fe4d009fff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-87.0,24.5,1503634575.0,0.474,-430,77,-97,447.4796084739505,37,2017-08-25 12:16:15,21.285714285714334,38.535714285714285,-85.89285714285714,96.51769690749221
1217,1217,AV4Xmuf3-R03vmj0SJtW,parking_record_index_v2,101a0d010119,2017-08-25T04:16:21.493Z,2017-08-25T04:16:21.000Z,1475,fcffff0751fe4c00a0ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-113.0,20.5,1503634581.0,0.493,-431,76,-96,448.0546841625473,37,2017-08-25 12:16:21,20.285714285714334,37.535714285714285,-84.89285714285714,95.0117742435008
1218,1218,AV4Xmv9M-R03vmj0SJt9,parking_record_index_v2,101a0d010119,2017-08-25T04:16:27.467Z,2017-08-25T04:16:27.000Z,1476,fcffff0751fe4800a0ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-87.0,20.0,1503634587.0,0.467,-431,72,-96,447.39356276102137,37,2017-08-25 12:16:27,20.285714285714334,33.535714285714285,-84.89285714285714,93.50375142534253
1219,1219,AV4XmxbL-R03vmj0SJuu,parking_record_index_v2,101a0d010119,2017-08-25T04:16:33.482Z,2017-08-25T04:16:33.000Z,1477,fcffff0751fe4d009fff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-107.0,23.0,1503634593.0,0.48200000000000004,-431,77,-97,448.4406315221671,37,2017-08-25 12:16:33,20.285714285714334,38.535714285714285,-85.89285714285714,96.30209960200818
1220,1220,AV4Xmy40-R03vmj0SJvW,parking_record_index_v2,101a0d010119,2017-08-25T04:16:39.474Z,2017-08-25T04:16:39.000Z,1478,fcffff0751fe48009fff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-89.0,23.0,1503634599.0,0.474,-431,72,-97,447.60920455236396,37,2017-08-25 12:16:39,20.285714285714334,33.535714285714285,-85.89285714285714,94.41259049987963
