,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
319,319,AV4XRNXk-R03vmj0SAyV,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:20.771Z,2017-08-25T02:42:20.000Z,510,fcffff0783fe11009cff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-85,23.0,1503628940.0,0.7709999999999999,-381,17,-100,394.27148007432646,30,2017-08-25 10:42:20,31.53125,40.765625,34.046875,61.767674437918984
320,320,AV4XROIU-R03vmj0SAyp,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:23.891Z,2017-08-25T02:42:23.000Z,511,fcffff0782fe12009dff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-87,27.0,1503628943.0,0.8909999999999999,-382,18,-99,395.0303785786608,30,2017-08-25 10:42:23,30.53125,41.765625,35.046875,62.488463779074856
321,321,AV4XRO3I-R03vmj0SAy9,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:26.887Z,2017-08-25T02:42:26.000Z,512,fcffff0781fe1400a1ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-83,22.0,1503628946.0,0.887,-383,20,-95,395.1126421667624,30,2017-08-25 10:42:26,29.53125,43.765625,39.046875,65.66721484476672
322,322,AV4XRPjm-R03vmj0SAzU,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:29.732Z,2017-08-25T02:42:29.000Z,513,fcffff0780fe1400a3ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-83,29.5,1503628949.0,0.732,-384,20,-93,395.6071283483148,30,2017-08-25 10:42:29,28.53125,43.765625,41.046875,66.44025967339945
323,323,AV4XRQVx-R03vmj0SAzn,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:32.944Z,2017-08-25T02:42:32.000Z,514,fcffff077ffe1200a3ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-83,28.0,1503628952.0,0.944,-385,18,-93,396.4820298575965,30,2017-08-25 10:42:32,27.53125,41.765625,41.046875,64.70844694063327
324,324,AV4XRRD9-R03vmj0SAz9,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:35.900Z,2017-08-25T02:42:35.000Z,515,fcffff077ffe1000a1ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-83,26.2,1503628955.0,0.9,-385,16,-95,396.8702558771569,30,2017-08-25 10:42:35,27.53125,39.765625,39.046875,62.1605429952856
325,325,AV4XRTQe-R03vmj0SA02,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:44.892Z,2017-08-25T02:42:44.000Z,518,fcffff0782fe0e009fff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-83,20.0,1503628964.0,0.892,-382,14,-97,394.371652125251,30,2017-08-25 10:42:44,30.53125,37.765625,37.046875,61.08085301850941
326,326,AV4XRT-c-R03vmj0SA1L,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:47.834Z,2017-08-25T02:42:47.000Z,519,fcffff077ffe0d00a0ff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-84,22.0,1503628967.0,0.8340000000000001,-385,13,-96,397.0012594438462,30,2017-08-25 10:42:47,27.53125,36.765625,38.046875,59.642649215714336
327,327,AV4XRUt_-R03vmj0SA1j,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:50.877Z,2017-08-25T02:42:50.000Z,520,fcffff0782fe0c009eff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-84,25.5,1503628970.0,0.877,-382,12,-98,394.55291153405517,30,2017-08-25 10:42:50,30.53125,35.765625,36.046875,59.25128146689108
328,328,AV4XRVlx-R03vmj0SA12,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:54.448Z,2017-08-25T02:42:53.000Z,521,fcffff0782fe0d009dff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-84,27.0,1503628973.0,1.4480000000000002,-382,13,-99,394.8341423939932,30,2017-08-25 10:42:53,30.53125,36.765625,35.046875,59.26341076472691
329,329,AV4XRWKr-R03vmj0SA2N,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:56.809Z,2017-08-25T02:42:56.000Z,522,fcffff0781fe0d009cff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-85,24.5,1503628976.0,0.809,-383,13,-100,396.0530267527317,30,2017-08-25 10:42:56,29.53125,36.765625,34.046875,58.16352469949487
330,330,AV4XRW6K-R03vmj0SA2h,parking_record_index_v2,101a0d0100b8,2017-08-25T02:42:59.849Z,2017-08-25T02:42:59.000Z,523,fcffff0780fe0d009fff1e,yilan,宜蘭市中山路二段,1008,10.5.151.1,-84,26.2,1503628979.0,0.8490000000000001,-384,13,-97,396.27515693013123,30,2017-08-25 10:42:59,28.53125,36.765625,37.046875,59.48289128370232
