,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
319,319,AV4XRNXU-R03vmj0SAyT,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:20.754Z,2017-08-25T02:42:20.000Z,517,fcffff079ffee3ffaeff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84,30.0,1503628940.0,0.754,-353,-29,-82,363.55742324975296,27,2017-08-25 10:42:20,-11.21875,21.890625,6.59375,25.466396555375184
320,320,AV4XROEb-R03vmj0SAyn,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:23.641Z,2017-08-25T02:42:23.000Z,518,fcffff079efee0ffacff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84,21.2,1503628943.0,0.6409999999999999,-354,-32,-84,365.23417145716246,27,2017-08-25 10:42:23,-12.21875,18.890625,4.59375,22.962057911163473
321,321,AV4XROzG-R03vmj0SAy6,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:26.628Z,2017-08-25T02:42:26.000Z,519,fcffff079ffee1ffabff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-87,26.2,1503628946.0,0.628,-353,-31,-85,364.4104828349482,27,2017-08-25 10:42:26,-11.21875,19.890625,3.59375,23.117360435733683
322,322,AV4XRPjk-R03vmj0SAzT,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:29.730Z,2017-08-25T02:42:29.000Z,520,fcffff079ffee1ffa8ff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84,22.5,1503628949.0,0.73,-353,-31,-88,365.1218974534395,27,2017-08-25 10:42:29,-11.21875,19.890625,0.59375,22.844033214728633
323,323,AV4XRQR0-R03vmj0SAzl,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:32.690Z,2017-08-25T02:42:32.000Z,521,fcffff07a0fee5ffa8ff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84,23.0,1503628952.0,0.69,-352,-27,-88,363.83650174219736,27,2017-08-25 10:42:32,-10.21875,23.890625,0.59375,25.991101429443596
324,324,AV4XRQ_8-R03vmj0SAz8,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:35.643Z,2017-08-25T02:42:35.000Z,522,fcffff07a0fee7ffabff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-85,33.8,1503628955.0,0.643,-352,-25,-85,362.97933825494806,27,2017-08-25 10:42:35,-10.21875,25.890625,3.59375,28.065322971874473
325,325,AV4XRTMc-R03vmj0SA00,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:44.634Z,2017-08-25T02:42:44.000Z,525,fcffff079ffee8ffaaff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84,34.5,1503628964.0,0.634,-353,-24,-86,364.11673952181883,27,2017-08-25 10:42:44,-11.21875,26.890625,2.59375,29.25224099988965
326,326,AV4XRT6L-R03vmj0SA1K,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:47.558Z,2017-08-25T02:42:47.000Z,526,fcffff079cfee7ffadff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83,22.0,1503628967.0,0.5579999999999999,-356,-25,-83,366.40141921122523,27,2017-08-25 10:42:47,-14.21875,25.890625,5.59375,30.063056290331243
327,327,AV4XRUp8-R03vmj0SA1i,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:50.618Z,2017-08-25T02:42:50.000Z,527,fcffff079ffee6ffabff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-85,26.2,1503628970.0,0.618,-353,-26,-85,364.0192302612597,27,2017-08-25 10:42:50,-11.21875,24.890625,3.59375,27.537585288394933
328,328,AV4XRVl2-R03vmj0SA15,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:54.452Z,2017-08-25T02:42:53.000Z,528,fcffff079efee6ffadff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-85,28.8,1503628973.0,1.452,-354,-26,-83,364.5284625375637,27,2017-08-25 10:42:53,-12.21875,24.890625,5.59375,28.286588757141164
329,329,AV4XRWHA-R03vmj0SA2J,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:56.574Z,2017-08-25T02:42:56.000Z,529,fcffff079efee5ffacff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84,24.5,1503628976.0,0.574,-354,-27,-84,364.83009744263154,27,2017-08-25 10:42:56,-12.21875,23.890625,4.59375,27.224297117017088
330,330,AV4XRW12-R03vmj0SA2e,parking_record_index_v2,101a0d0100dc,2017-08-25T02:42:59.573Z,2017-08-25T02:42:59.000Z,530,fcffff079ffee7ffaaff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-85,22.5,1503628979.0,0.573,-353,-25,-86,364.1840194187548,27,2017-08-25 10:42:59,-11.21875,25.890625,2.59375,28.33570809977448
331,331,AV4XRXk2-R03vmj0SA20,parking_record_index_v2,101a0d0100dc,2017-08-25T02:43:02.580Z,2017-08-25T02:43:02.000Z,531,fcffff07a0fee7ffabff1b,yilan,宜蘭市中山路二段,1003,10.5.151.1,-84,24.5,1503628982.0,0.58,-352,-25,-85,362.97933825494806,27,2017-08-25 10:43:02,-10.21875,25.890625,3.59375,28.065322971874473
