,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV4XVA_K-R03vmj0SCV7,parking_record_index_v2,101a0d0100e4,2017-08-25T02:58:58.633Z,2017-08-25T02:57:19.000Z,836,fcffff0724ffc300a7ff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-98.5,-1.5,1503629839.0,99.633,-220,195,-89,307.1579398290072,33
1,AV4XVBkE-R03vmj0SCWL,parking_record_index_v2,101a0d0100e4,2017-08-25T02:59:00.994Z,2017-08-25T02:57:22.000Z,837,fcffff0724ffc500a6ff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-93.0,11.2,1503629842.0,98.994,-220,197,-90,308.7215573943613,33
2,AV4XVCQ4-R03vmj0SCWh,parking_record_index_v2,101a0d0100e4,2017-08-25T02:59:03.863Z,2017-08-25T02:57:25.000Z,838,fcffff0725ffc500a4ff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-99.0,12.5,1503629845.0,98.863,-219,197,-92,308.6000648088072,33
3,AV4XVDC5-R03vmj0SCW4,parking_record_index_v2,101a0d0100e4,2017-08-25T02:59:07.063Z,2017-08-25T02:57:28.000Z,839,fcffff0725ffc200a2ff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-90.0,15.0,1503629848.0,99.06299999999999,-219,194,-94,307.29952814802687,33
4,AV4XVD0I-R03vmj0SCXT,parking_record_index_v2,101a0d0100e4,2017-08-25T02:59:10.215Z,2017-08-25T02:57:31.000Z,840,fcffff0725ffbf00a3ff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-99.0,13.0,1503629851.0,99.215,-219,191,-93,305.10817753708267,33
5,AV4XVEin-R03vmj0SCXj,parking_record_index_v2,101a0d0100e4,2017-08-25T02:59:13.189Z,2017-08-25T02:57:34.000Z,841,fcffff0724ffbe00a9ff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-93.0,13.0,1503629854.0,99.189,-220,190,-87,303.42873957487944,33
6,AV4XVFM6-R03vmj0SCX0,parking_record_index_v2,101a0d0100e4,2017-08-25T02:59:15.897Z,2017-08-25T02:57:37.000Z,842,fcffff0724ffc300aaff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-99.0,9.5,1503629857.0,98.897,-220,195,-86,306.30213841891475,33
7,AV4XVGqV-R03vmj0SCYY,parking_record_index_v2,101a0d0100e4,2017-08-25T02:59:21.875Z,2017-08-25T02:57:43.000Z,844,fcffff0725ffc600a4ff21,yilan,宜蘭市中山路二段,1014,192.168.0.225,-101.0,0.0,1503629863.0,98.875,-219,198,-92,309.2393894703584,33
8,AV4XVADn-R03vmj0SCVh,parking_record_index_v2,101a0d0100e4,2017-08-25T02:58:54.821Z,2017-08-25T02:58:54.000Z,835,fcffff0723ffc200a8ff21,yilan,宜蘭市中山路二段,1014,192.168.88.113,-74.0,20.8,1503629934.0,0.821,-221,194,-88,306.95439400666675,33
9,AV4XVACJ-R03vmj0SCVg,parking_record_index_v2,101a0d0100e4,2017-08-25T02:58:54.728Z,2017-08-25T02:58:54.000Z,835,fcffff0723ffc200a8ff21,yilan,宜蘭市中山路二段,1014,10.5.151.1,-71.0,33.0,1503629934.0,0.728,-221,194,-88,306.95439400666675,33
10,AV4XVA02-R03vmj0SCV1,parking_record_index_v2,101a0d0100e4,2017-08-25T02:58:57.973Z,2017-08-25T02:58:57.000Z,836,fcffff0724ffc300a7ff21,yilan,宜蘭市中山路二段,1014,10.5.180.38,-99.0,23.3,1503629937.0,0.973,-220,195,-89,307.1579398290072,33
11,AV4XVAx6-R03vmj0SCVz,parking_record_index_v2,101a0d0100e4,2017-08-25T02:58:57.784Z,2017-08-25T02:58:57.000Z,836,fcffff0724ffc300a7ff21,yilan,宜蘭市中山路二段,1014,192.168.88.113,-83.0,20.0,1503629937.0,0.784,-220,195,-89,307.1579398290072,33
12,AV4XVAwe-R03vmj0SCVy,parking_record_index_v2,101a0d0100e4,2017-08-25T02:58:57.692Z,2017-08-25T02:58:57.000Z,836,fcffff0724ffc300a7ff21,yilan,宜蘭市中山路二段,1014,10.5.151.1,-69.0,28.8,1503629937.0,0.6920000000000001,-220,195,-89,307.1579398290072,33
13,AV4XVBDl-R03vmj0SCV9,parking_record_index_v2,101a0d0100e4,2017-08-25T02:58:58.915Z,2017-08-25T02:58:58.000Z,836,fcffff0724ffc300a7ff21,yilan,宜蘭市中山路二段,1014,192.168.1.145,-114.8,-9.8,1503629938.0,0.915,-220,195,-89,307.1579398290072,33
