,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4716,4716,AV4YcsnZ-R03vmj0SSgw,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:09.559Z,2017-08-25T08:12:09.000Z,2469,fcffff0777fff30093ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,34.5,1503648729.0,0.5589999999999999,-137,243,-109,299.4979131813776,38,2017-08-25 16:12:09,-8.530303030303031,17.181818181818187,21.681818181818187,28.94964914280097
4717,4717,AV4YctW_-R03vmj0SSg2,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:12.606Z,2017-08-25T08:12:12.000Z,2470,fcffff0777fff40092ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,27.5,1503648732.0,0.606,-137,244,-110,300.67424232880336,38,2017-08-25 16:12:12,-8.530303030303031,18.181818181818187,20.681818181818187,28.82849606710827
4718,4718,AV4YcuGE-R03vmj0SSg7,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:15.619Z,2017-08-25T08:12:15.000Z,2471,fcffff0777fff80092ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,29.5,1503648735.0,0.619,-137,248,-110,303.9292680871653,38,2017-08-25 16:12:15,-8.530303030303031,22.181818181818187,20.681818181818187,31.504550956105092
4719,4719,AV4Ycu1U-R03vmj0SShA,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:18.643Z,2017-08-25T08:12:18.000Z,2472,fcffff0777fff70095ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-74.0,30.0,1503648738.0,0.643,-137,247,-107,302.0380770697628,38,2017-08-25 16:12:18,-8.530303030303031,21.181818181818187,23.681818181818187,32.89778113601425
4720,4720,AV4Ycvjm-R03vmj0SShD,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:21.605Z,2017-08-25T08:12:21.000Z,2473,fcffff0776fff60097ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,28.0,1503648741.0,0.605,-138,246,-105,300.97342075339475,38,2017-08-25 16:12:21,-9.530303030303031,20.181818181818187,25.681818181818187,34.02481809058408
4721,4721,AV4YcwSY-R03vmj0SShI,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:24.599Z,2017-08-25T08:12:24.000Z,2474,fcffff0776fff50096ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,28.8,1503648744.0,0.599,-138,245,-106,300.5079033902436,38,2017-08-25 16:12:24,-9.530303030303031,19.181818181818187,24.681818181818187,32.67967217354031
4722,4722,AV4YcxCY-R03vmj0SShN,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:27.671Z,2017-08-25T08:12:27.000Z,2475,fcffff0776fff40096ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,31.2,1503648747.0,0.6709999999999999,-138,244,-106,299.6931764321637,38,2017-08-25 16:12:27,-9.530303030303031,18.181818181818187,24.681818181818187,32.102917889288946
4723,4723,AV4YcxxK-R03vmj0SShT,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:30.663Z,2017-08-25T08:12:30.000Z,2476,fcffff0777fff40095ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,32.0,1503648750.0,0.6629999999999999,-137,244,-107,299.5897194497835,38,2017-08-25 16:12:30,-8.530303030303031,18.181818181818187,23.681818181818187,31.05113676795402
4724,4724,AV4Ycyi5-R03vmj0SShb,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:33.847Z,2017-08-25T08:12:33.000Z,2477,fcffff0777fff30094ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,28.0,1503648753.0,0.847,-137,243,-108,299.13542083812143,38,2017-08-25 16:12:33,-8.530303030303031,17.181818181818187,22.681818181818187,29.70598966294362
4725,4725,AV4YczNk-R03vmj0SShg,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:36.578Z,2017-08-25T08:12:36.000Z,2478,fcffff0777fff30094ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,33.8,1503648756.0,0.578,-137,243,-108,299.13542083812143,38,2017-08-25 16:12:36,-8.530303030303031,17.181818181818187,22.681818181818187,29.70598966294362
4726,4726,AV4Ycz9G-R03vmj0SShk,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:39.621Z,2017-08-25T08:12:39.000Z,2479,fcffff0777fff30093ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,30.5,1503648759.0,0.621,-137,243,-109,299.4979131813776,38,2017-08-25 16:12:39,-8.530303030303031,17.181818181818187,21.681818181818187,28.94964914280097
4727,4727,AV4Yc0sN-R03vmj0SSho,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:42.636Z,2017-08-25T08:12:42.000Z,2480,fcffff0778fff20092ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,27.5,1503648762.0,0.636,-136,242,-110,298.5967179993778,38,2017-08-25 16:12:42,-7.530303030303031,16.181818181818187,20.681818181818187,27.318387703219198
4728,4728,AV4Yc1aW-R03vmj0SShu,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:45.589Z,2017-08-25T08:12:45.000Z,2481,fcffff0778fff30090ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,28.8,1503648765.0,0.589,-136,243,-112,300.14829668015784,38,2017-08-25 16:12:45,-7.530303030303031,17.181818181818187,18.681818181818187,26.475095284809868
4729,4729,AV4Yc2Jk-R03vmj0SShy,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:48.610Z,2017-08-25T08:12:48.000Z,2482,fcffff0777fff30092ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,30.0,1503648768.0,0.61,-137,243,-110,299.8633021895144,38,2017-08-25 16:12:48,-8.530303030303031,17.181818181818187,20.681818181818187,28.208483637509488
4730,4730,AV4Yc24Q-R03vmj0SSh2,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:51.599Z,2017-08-25T08:12:51.000Z,2483,fcffff0778fff20091ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,28.8,1503648771.0,0.599,-136,242,-111,298.96655331324274,38,2017-08-25 16:12:51,-7.530303030303031,16.181818181818187,19.681818181818187,26.569355851050695
4731,4731,AV4Yc3oI-R03vmj0SSh6,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:54.663Z,2017-08-25T08:12:54.000Z,2484,fcffff0777fff30091ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,28.0,1503648774.0,0.6629999999999999,-137,243,-111,300.2315772866005,38,2017-08-25 16:12:54,-8.530303030303031,17.181818181818187,19.681818181818187,27.48372086825225
4732,4732,AV4Yc4VU-R03vmj0SSh_,parking_record_index_v2,101a0d0101eb,2017-08-25T08:12:57.555Z,2017-08-25T08:12:57.000Z,2485,fcffff0778fff40090ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,30.0,1503648777.0,0.555,-136,244,-112,300.9584688956269,38,2017-08-25 16:12:57,-7.530303030303031,18.181818181818187,18.681818181818187,27.134743534874215
4733,4733,AV4Yc5zU-R03vmj0SSiJ,parking_record_index_v2,101a0d0101eb,2017-08-25T08:13:03.571Z,2017-08-25T08:13:03.000Z,2487,fcffff0777fff40090ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,31.2,1503648783.0,0.5710000000000001,-137,244,-112,301.41167860585625,38,2017-08-25 16:13:03,-8.530303030303031,18.181818181818187,18.681818181818187,27.42908880666662
