,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3977,3977,AV4Yejtr-R03vmj0STEA,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:17.385Z,2017-08-25T08:20:16.000Z,71,fcffff07acff5c006fff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-77.0,22.5,1503649216.0,1.385,-84,92,-145,191.1674658512792,38,2017-08-25 16:20:16,-0.2575757575757507,0.6969696969697026,-0.5303030303030312,0.9128709291752797
3981,3981,AV4Yekfy-R03vmj0STEV,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:20.593Z,2017-08-25T08:20:19.000Z,72,fcffff07acff5f0070ff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-89.0,15.0,1503649219.0,1.5930000000000002,-84,95,-144,191.87756512943352,38,2017-08-25 16:20:19,-0.2575757575757507,3.6969696969697026,0.46969696969696884,3.7355783293280695
3985,3985,AV4YelTe-R03vmj0STEt,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:23.901Z,2017-08-25T08:20:22.000Z,73,fcffff07acff5c0075ff26,yilan,宜蘭市中山路二段,1015,10.5.181.5,-117.8,-0.8,1503649222.0,1.901,-84,92,-139,186.65744024817226,38,2017-08-25 16:20:22,-0.2575757575757507,0.6969696969697026,5.469696969696969,5.519936319351607
3989,3989,AV4Yel7Y-R03vmj0STFA,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:26.454Z,2017-08-25T08:20:25.000Z,74,fcffff07acff580071ff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-89.0,15.0,1503649225.0,1.454,-84,88,-143,187.7471704180918,38,2017-08-25 16:20:25,-0.2575757575757507,-3.3030303030302974,1.4696969696969688,3.6244121780453717
3993,3993,AV4Yemty-R03vmj0STFa,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:29.681Z,2017-08-25T08:20:28.000Z,75,fcffff07acff58006eff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-90.0,12.0,1503649228.0,1.681,-84,88,-146,190.0421005987884,38,2017-08-25 16:20:28,-0.2575757575757507,-3.3030303030302974,-1.5303030303030312,3.649408420303458
3997,3997,AV4YenYl-R03vmj0STFu,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:32.420Z,2017-08-25T08:20:31.000Z,76,fcffff07adff5c006eff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-89.0,16.3,1503649231.0,1.42,-83,92,-146,191.4915141722996,38,2017-08-25 16:20:31,0.7424242424242493,0.6969696969697026,-1.5303030303030312,1.8381479480139513
4000,4000,AV4YeoJ8-R03vmj0STGH,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:35.578Z,2017-08-25T08:20:34.000Z,77,fcffff07acff5e0070ff26,yilan,宜蘭市中山路二段,1015,192.168.1.145,-119.0,-12.0,1503649234.0,1.578,-84,94,-144,191.38442987871292,38,2017-08-25 16:20:34,-0.2575757575757507,2.6969696969697026,0.46969696969696884,2.7496556258204565
4004,4004,AV4Yeo9q-R03vmj0STGf,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:38.889Z,2017-08-25T08:20:37.000Z,78,fcffff07acff5f0071ff26,yilan,宜蘭市中山路二段,1015,192.168.1.145,-118.3,-11.3,1503649237.0,1.889,-84,95,-143,191.128229207514,38,2017-08-25 16:20:37,-0.2575757575757507,3.6969696969697026,1.4696969696969688,3.986720380706356
4008,4008,AV4YepnU-R03vmj0STGy,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:41.555Z,2017-08-25T08:20:40.000Z,79,fcffff07acff5f0070ff26,yilan,宜蘭市中山路二段,1015,192.168.1.145,-117.8,-11.8,1503649240.0,1.555,-84,95,-144,191.87756512943352,38,2017-08-25 16:20:40,-0.2575757575757507,3.6969696969697026,0.46969696969696884,3.7355783293280695
4012,4012,AV4YeqWp-R03vmj0STHJ,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:44.584Z,2017-08-25T08:20:43.000Z,80,fcffff07acff5f006fff26,yilan,宜蘭市中山路二段,1015,10.5.181.5,-110.0,1.2,1503649243.0,1.584,-84,95,-145,192.62917743685662,38,2017-08-25 16:20:43,-0.2575757575757507,3.6969696969697026,-0.5303030303030312,3.7436815456381374
4016,4016,AV4YerC5-R03vmj0STHf,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:47.416Z,2017-08-25T08:20:46.000Z,81,fcffff07adff5e006fff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-93.0,17.5,1503649246.0,1.416,-83,94,-145,191.70289512680813,38,2017-08-25 16:20:46,0.7424242424242493,2.6969696969697026,-0.5303030303030312,2.84711443501322
4019,4019,AV4Yer2Q-R03vmj0STH1,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:50.702Z,2017-08-25T08:20:49.000Z,82,fcffff07acff5c006eff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-79.0,27.0,1503649249.0,1.702,-84,92,-146,191.92706948213427,38,2017-08-25 16:20:49,-0.2575757575757507,0.6969696969697026,-1.5303030303030312,1.7011582507043257
4023,4023,AV4YeshI-R03vmj0STIJ,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:53.446Z,2017-08-25T08:20:52.000Z,83,fcffff07acff580070ff26,yilan,宜蘭市中山路二段,1015,192.168.1.145,-117.0,-12.0,1503649252.0,1.446,-84,88,-144,188.50994668717087,38,2017-08-25 16:20:52,-0.2575757575757507,-3.3030303030302974,0.46969696969696884,3.3461873373990367
4027,4027,AV4YetSW-R03vmj0STIg,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:56.597Z,2017-08-25T08:20:55.000Z,84,fcffff07acff570071ff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-92.0,17.5,1503649255.0,1.597,-84,87,-143,187.2805382307516,38,2017-08-25 16:20:55,-0.2575757575757507,-4.303030303030297,1.4696969696969688,4.5543851662353045
4031,4031,AV4Yet8g-R03vmj0STIz,parking_record_index_v2,101a0d0100c0,2017-08-25T08:20:59.295Z,2017-08-25T08:20:58.000Z,85,fcffff07acff5a0073ff26,yilan,宜蘭市中山路二段,1015,10.5.151.1,-81.0,24.5,1503649258.0,1.295,-84,90,-141,187.18172987767795,38,2017-08-25 16:20:58,-0.2575757575757507,-1.3030303030302974,3.469696969696969,3.7152429668906284
4032,4032,AV4Yeu_H-R03vmj0STJR,parking_record_index_v2,101a0d0100c0,2017-08-25T08:21:03.558Z,2017-08-25T08:21:01.000Z,86,fcffff07acff5e0072ff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-91.0,15.8,1503649261.0,2.5580000000000003,-84,94,-142,189.8841752226868,38,2017-08-25 16:21:01,-0.2575757575757507,2.6969696969697026,2.469696969696969,3.665977896741054
4035,4035,AV4Yevg6-R03vmj0STJm,parking_record_index_v2,101a0d0100c0,2017-08-25T08:21:05.721Z,2017-08-25T08:21:04.000Z,87,fcffff07acff60006fff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-94.0,13.8,1503649264.0,1.721,-84,96,-145,193.1243122965102,38,2017-08-25 16:21:04,-0.2575757575757507,4.696969696969703,-0.5303030303030312,4.733824131618216
4039,4039,AV4YewRq-R03vmj0STJ-,parking_record_index_v2,101a0d0100c0,2017-08-25T08:21:08.841Z,2017-08-25T08:21:07.000Z,88,fcffff07acff5f006eff26,yilan,宜蘭市中山路二段,1015,192.168.1.145,-118.3,-11.3,1503649267.0,1.841,-84,95,-146,193.38303958723992,38,2017-08-25 16:21:07,-0.2575757575757507,3.6969696969697026,-1.5303030303030312,4.009458514033736
4043,4043,AV4Yew6o-R03vmj0STKN,parking_record_index_v2,101a0d0100c0,2017-08-25T08:21:11.463Z,2017-08-25T08:21:10.000Z,89,fcffff07adff5d006fff26,yilan,宜蘭市中山路二段,1015,192.168.88.113,-97.0,18.8,1503649270.0,1.463,-83,93,-145,191.2145391961605,38,2017-08-25 16:21:10,0.7424242424242493,1.6969696969697026,-0.5303030303030312,1.9266865889711389
