,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3177,3177,AV4YgdNr-R03vmj0ST7R,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:35.050Z,2017-08-25T08:28:34.000Z,242,fcffff078afe0c0001ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-101.8,-2.8,1503649714.0,1.05,-374,12,-255,452.81894836678384,36,2017-08-25 16:28:34,-16.969696969697054,39.66666666666667,-113.0,120.95625266883805
3178,3178,AV4Ygd80-R03vmj0ST7p,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:38.067Z,2017-08-25T08:28:37.000Z,243,fcffff078bfe0b00fefe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-102.2,-3.2,1503649717.0,1.067,-373,11,-258,453.66727896113474,36,2017-08-25 16:28:37,-15.969696969697054,38.66666666666667,-116.0,123.31318799064057
3179,3179,AV4Ygeri-R03vmj0ST78,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:41.057Z,2017-08-25T08:28:40.000Z,244,fcffff078bfe0a00fefe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-100.0,-2.0,1503649720.0,1.057,-373,10,-258,453.6441336554458,36,2017-08-25 16:28:40,-15.969696969697054,37.66666666666667,-116.0,123.0032885701912
3180,3180,AV4Ygfa1-R03vmj0ST8O,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:44.083Z,2017-08-25T08:28:43.000Z,245,fcffff078bfe090000ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-100.2,-1.2,1503649723.0,1.083,-373,9,-256,452.4886738914025,36,2017-08-25 16:28:43,-15.969696969697054,36.66666666666667,-114.0,120.8117364569701
3181,3181,AV4YggJq-R03vmj0ST8f,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:47.081Z,2017-08-25T08:28:46.000Z,246,fcffff078afe0800fefe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-99.8,-1.8,1503649726.0,1.081,-374,8,-258,454.42711186723886,36,2017-08-25 16:28:46,-16.969696969697054,35.66666666666667,-116.0,122.54012292451178
3182,3182,AV4Ygg4a-R03vmj0ST8x,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:50.073Z,2017-08-25T08:28:49.000Z,247,fcffff0788fe0800fefe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-98.2,-0.2,1503649729.0,1.073,-376,8,-258,456.07455530866883,36,2017-08-25 16:28:49,-18.969696969697054,35.66666666666667,-116.0,122.83305953298259
3183,3183,AV4YghnN-R03vmj0ST9K,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:53.068Z,2017-08-25T08:28:52.000Z,248,fcffff0787fe090000ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-99.5,-1.5,1503649732.0,1.068,-377,9,-256,455.79161905414634,36,2017-08-25 16:28:52,-19.969696969697054,36.66666666666667,-114.0,121.40524387976811
3184,3184,AV4YgiZS-R03vmj0ST9j,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:56.273Z,2017-08-25T08:28:55.000Z,249,fcffff0787fe0b0002ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-100.5,-1.5,1503649735.0,1.273,-377,11,-254,454.7152955421666,36,2017-08-25 16:28:55,-19.969696969697054,38.66666666666667,-112.0,120.15781251409598
3185,3185,AV4YgjFC-R03vmj0ST91,parking_record_index_v2,101a0d0100b8,2017-08-25T08:28:59.073Z,2017-08-25T08:28:58.000Z,250,fcffff0786fe0d0002ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-103.8,-3.8,1503649738.0,1.073,-378,13,-254,455.59741000141787,36,2017-08-25 16:28:58,-20.969696969697054,40.66666666666667,-112.0,120.98556099294949
3186,3186,AV4Ygj0b-R03vmj0ST-I,parking_record_index_v2,101a0d0100b8,2017-08-25T08:29:02.106Z,2017-08-25T08:29:01.000Z,251,fcffff0786fe0e0003ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-101.5,-2.5,1503649741.0,1.106,-378,14,-253,455.0703242357163,36,2017-08-25 16:29:01,-20.969696969697054,41.66666666666667,-111.0,120.40282098901186
3187,3187,AV4YgkjL-R03vmj0ST-d,parking_record_index_v2,101a0d0100b8,2017-08-25T08:29:05.098Z,2017-08-25T08:29:04.000Z,252,fcffff0787fe0f0006ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-103.5,-4.5,1503649744.0,1.098,-377,15,-250,452.6079981617648,36,2017-08-25 16:29:04,-19.969696969697054,42.66666666666667,-108.0,117.82713287484327
3188,3188,AV4YglR3-R03vmj0ST-z,parking_record_index_v2,101a0d0100b8,2017-08-25T08:29:08.086Z,2017-08-25T08:29:07.000Z,253,fcffff0788fe0f0005ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-101.5,-2.5,1503649747.0,1.086,-376,15,-251,452.3295258989844,36,2017-08-25 16:29:07,-18.969696969697054,42.66666666666667,-109.0,118.58032656206753
3189,3189,AV4YgmAn-R03vmj0ST_I,parking_record_index_v2,101a0d0100b8,2017-08-25T08:29:11.078Z,2017-08-25T08:29:10.000Z,254,fcffff0788fe0f0004ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-100.5,-1.5,1503649750.0,1.078,-376,15,-252,452.88519516539736,36,2017-08-25 16:29:10,-18.969696969697054,42.66666666666667,-110.0,119.50018346248083
3190,3190,AV4Ygmvz-R03vmj0ST_f,parking_record_index_v2,101a0d0100b8,2017-08-25T08:29:14.098Z,2017-08-25T08:29:13.000Z,255,fcffff0788fe0e0006ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-101.0,-1.0,1503649753.0,1.098,-376,14,-250,451.7432899335639,36,2017-08-25 16:29:13,-18.969696969697054,41.66666666666667,-108.0,117.30285808211684
