,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4182,4182,AV4YWe6x-R03vmj0SRvP,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:00.591Z,2017-08-25T07:45:00.000Z,1926,fcffff0789ffd00078ff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,28.0,1503647100.0,0.591,-119,208,-136,275.5376562286905,39,2017-08-25 15:45:00,9.469696969696969,-17.818181818181813,-5.318181818181813,20.86733863852582
4183,4183,AV4YWfqI-R03vmj0SRvV,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:03.622Z,2017-08-25T07:45:03.000Z,1927,fcffff0789ffd20076ff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,27.0,1503647103.0,0.622,-119,210,-138,278.037767218772,39,2017-08-25 15:45:03,9.469696969696969,-15.818181818181813,-7.318181818181813,19.835468783341433
4184,4184,AV4YWgY2-R03vmj0SRvb,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:06.612Z,2017-08-25T07:45:06.000Z,1928,fcffff0788ffd40077ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79.0,31.2,1503647106.0,0.612,-120,212,-137,279.4870301105223,38,2017-08-25 15:45:06,8.469696969696969,-13.818181818181813,-6.318181818181813,17.39532514805135
4185,4185,AV4YWhHt-R03vmj0SRvh,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:09.612Z,2017-08-25T07:45:09.000Z,1929,fcffff0788ffd4007aff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,25.0,1503647109.0,0.612,-120,212,-134,278.02877548915694,38,2017-08-25 15:45:09,8.469696969696969,-13.818181818181813,-3.318181818181813,16.543525806107258
4186,4186,AV4YWh2E-R03vmj0SRvn,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:12.578Z,2017-08-25T07:45:12.000Z,1930,fcffff0788ffd2007bff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,30.0,1503647112.0,0.578,-120,210,-133,276.0235497199469,39,2017-08-25 15:45:12,8.469696969696969,-15.818181818181813,-2.318181818181813,18.09211457330791
4187,4187,AV4YWimE-R03vmj0SRvu,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:15.650Z,2017-08-25T07:45:15.000Z,1931,fcffff0788ffd0007aff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,33.0,1503647115.0,0.65,-120,208,-134,274.9909089406412,39,2017-08-25 15:45:15,8.469696969696969,-17.818181818181813,-3.318181818181813,20.005841662944135
4188,4188,AV4YWjU1-R03vmj0SRv2,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:18.643Z,2017-08-25T07:45:18.000Z,1932,fcffff0788ffcf0078ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79.0,28.0,1503647118.0,0.643,-120,207,-136,275.2180953353177,38,2017-08-25 15:45:18,8.469696969696969,-18.818181818181813,-5.318181818181813,21.310626259025852
4189,4189,AV4YWkCq-R03vmj0SRv7,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:21.576Z,2017-08-25T07:45:21.000Z,1933,fcffff0789ffcf0076ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,28.8,1503647121.0,0.5760000000000001,-119,207,-138,275.7788969446357,38,2017-08-25 15:45:21,9.469696969696969,-18.818181818181813,-7.318181818181813,22.301455395646343
4190,4190,AV4YWkx7-R03vmj0SRwB,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:24.601Z,2017-08-25T07:45:24.000Z,1934,fcffff0789ffd00075ff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79.0,33.8,1503647124.0,0.601,-119,208,-139,277.0306842210805,39,2017-08-25 15:45:24,9.469696969696969,-17.818181818181813,-8.318181818181813,21.82555641361758
4191,4191,AV4YWlhq-R03vmj0SRwI,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:27.657Z,2017-08-25T07:45:27.000Z,1935,fcffff0789ffd00076ff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,30.0,1503647127.0,0.657,-119,208,-138,276.530287672074,39,2017-08-25 15:45:27,9.469696969696969,-17.818181818181813,-7.318181818181813,21.464355315910137
4192,4192,AV4YWmPp-R03vmj0SRwM,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:30.600Z,2017-08-25T07:45:30.000Z,1936,fcffff0788ffcf0075ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79.0,30.0,1503647130.0,0.6,-120,207,-139,276.71284755139214,38,2017-08-25 15:45:30,8.469696969696969,-18.818181818181813,-8.318181818181813,22.249761402338073
4193,4193,AV4YWm-A-R03vmj0SRwS,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:33.567Z,2017-08-25T07:45:33.000Z,1937,fcffff0788ffcf0079ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,27.0,1503647133.0,0.5670000000000001,-120,207,-135,274.72531736263403,38,2017-08-25 15:45:33,8.469696969696969,-18.818181818181813,-4.318181818181813,21.08332108363193
4194,4194,AV4YWntd-R03vmj0SRwc,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:36.604Z,2017-08-25T07:45:36.000Z,1938,fcffff0789ffd1007aff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79.0,27.0,1503647136.0,0.604,-119,209,-134,275.3143657712034,38,2017-08-25 15:45:36,9.469696969696969,-16.818181818181813,-3.318181818181813,19.584093824985153
4195,4195,AV4YWoca-R03vmj0SRwj,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:39.609Z,2017-08-25T07:45:39.000Z,1939,fcffff0788ffd20079ff27,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,27.0,1503647139.0,0.609,-120,210,-135,276.99277968929084,39,2017-08-25 15:45:39,8.469696969696969,-15.818181818181813,-4.318181818181813,18.455279380340677
4196,4196,AV4YWpLe-R03vmj0SRwo,parking_record_index_v2,101a0d0101eb,2017-08-25T07:45:42.620Z,2017-08-25T07:45:42.000Z,1940,fcffff0789ffd40079ff26,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,27.0,1503647142.0,0.62,-119,212,-135,278.08272150566995,38,2017-08-25 15:45:42,9.469696969696969,-13.818181818181813,-4.318181818181813,17.299248644756062
