,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3568,3568,AV4YlBct-R03vmj0SV_i,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:32.044Z,2017-08-25T08:48:31.000Z,641,fcffff0793fee9ff73ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-75.0,27.5,1503650911.0,1.044,-365,-23,-141,391.9630084587065,33,2017-08-25 16:48:31,-7.969696969697054,4.666666666666671,1.0,9.2894481841806
3569,3569,AV4YlCMS-R03vmj0SV_1,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:35.089Z,2017-08-25T08:48:34.000Z,642,fcffff0793fee8ff71ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-77.0,28.0,1503650914.0,1.089,-365,-24,-143,392.74673773310957,33,2017-08-25 16:48:34,-7.969696969697054,3.6666666666666714,-1.0,8.829525142001856
3570,3570,AV4YlC6P-R03vmj0SWAP,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:38.030Z,2017-08-25T08:48:37.000Z,643,fcffff0793fee5ff70ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-73.0,28.8,1503650917.0,1.03,-365,-27,-144,393.3064962595965,33,2017-08-25 16:48:37,-7.969696969697054,0.6666666666666714,-2.0,8.243816727295851
3571,3571,AV4YlDpO-R03vmj0SWAm,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:41.037Z,2017-08-25T08:48:40.000Z,644,fcffff0799fee1ff74ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-77.0,29.5,1503650920.0,1.037,-359,-31,-140,386.5772885206786,33,2017-08-25 16:48:40,-1.969696969697054,-3.3333333333333286,2.0,4.357845484129151
3572,3572,AV4YlEY5-R03vmj0SWBD,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:44.088Z,2017-08-25T08:48:43.000Z,645,fcffff0792fee3ff73ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-75.0,27.0,1503650923.0,1.088,-366,-29,-141,393.2912406855765,33,2017-08-25 16:48:43,-8.969696969697054,-1.3333333333333286,1.0,9.123225389409727
3573,3573,AV4YlFH7-R03vmj0SWBY,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:47.098Z,2017-08-25T08:48:46.000Z,646,fcffff0792fee3ff76ff20,yilan,宜蘭市中山路二段,1008,10.5.151.1,-75.0,27.5,1503650926.0,1.098,-366,-29,-138,392.2257003308172,32,2017-08-25 16:48:46,-8.969696969697054,-1.3333333333333286,4.0,9.9112684105502
3574,3574,AV4YlF2M-R03vmj0SWBt,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:50.059Z,2017-08-25T08:48:49.000Z,647,fcffff0792fee6ff78ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-74.0,27.5,1503650929.0,1.0590000000000002,-366,-26,-136,391.31572930307823,33,2017-08-25 16:48:49,-8.969696969697054,1.6666666666666714,6.0,10.919397488230306
3575,3575,AV4YlGlG-R03vmj0SWCD,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:53.061Z,2017-08-25T08:48:52.000Z,648,fcffff0792fee5ff7aff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-73.0,28.0,1503650932.0,1.061,-366,-27,-134,390.6929740857904,33,2017-08-25 16:48:52,-8.969696969697054,0.6666666666666714,8.0,12.037437774403529
3576,3576,AV4YlHUF-R03vmj0SWCX,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:56.068Z,2017-08-25T08:48:55.000Z,649,fcffff0792fee6ff78ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-75.0,28.8,1503650935.0,1.068,-366,-26,-136,391.31572930307823,33,2017-08-25 16:48:55,-8.969696969697054,1.6666666666666714,6.0,10.919397488230306
3577,3577,AV4YlIDO-R03vmj0SWCt,parking_record_index_v2,101a0d0100b8,2017-08-25T08:48:59.085Z,2017-08-25T08:48:58.000Z,650,fcffff0792fee6ff77ff21,yilan,宜蘭市中山路二段,1008,10.5.151.1,-75.0,28.8,1503650938.0,1.085,-366,-26,-137,391.66439715654525,33,2017-08-25 16:48:58,-8.969696969697054,1.6666666666666714,5.0,10.403520630342898
