,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3459,3459,AV4YkF6V-R03vmj0SVjw,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:28.180Z,2017-08-25T08:44:27.000Z,557,fcffff07ebfdb9fe8a0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78,22.5,1503650667.0,1.18,-533,-327,138,640.3608357793286,36,2017-08-25 16:44:27,-6.86153846153843,6.81538461538463,7.0615384615384755,11.974786134147859
3460,3460,AV4YkGuH-R03vmj0SVkK,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:31.494Z,2017-08-25T08:44:30.000Z,558,fcffff07ebfdb9fe890024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-81,25.5,1503650670.0,1.494,-533,-327,137,640.1460770792868,36,2017-08-25 16:44:30,-6.86153846153843,6.81538461538463,6.0615384615384755,11.41369467067973
3461,3461,AV4YkHWJ-R03vmj0SVkb,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:34.056Z,2017-08-25T08:44:33.000Z,559,fcffff07eafdb9fe8c0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78,23.0,1503650673.0,1.056,-534,-327,140,641.6268385907811,36,2017-08-25 16:44:33,-7.86153846153843,6.81538461538463,9.061538461538476,13.797272691652166
3462,3462,AV4YkIF0-R03vmj0SVkz,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:37.107Z,2017-08-25T08:44:36.000Z,560,fcffff07eafdb8fe8a0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78,22.0,1503650676.0,1.107,-534,-328,138,641.7039815989924,36,2017-08-25 16:44:36,-7.86153846153843,5.81538461538463,7.0615384615384755,12.061832806455554
3463,3463,AV4YkI1A-R03vmj0SVlJ,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:40.127Z,2017-08-25T08:44:39.000Z,561,fcffff07eafdb8fe8a0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78,27.0,1503650679.0,1.127,-534,-328,138,641.7039815989924,36,2017-08-25 16:44:39,-7.86153846153843,5.81538461538463,7.0615384615384755,12.061832806455554
3464,3464,AV4YkJjZ-R03vmj0SVlh,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:43.096Z,2017-08-25T08:44:42.000Z,562,fcffff07ebfdb8fe8d0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79,25.0,1503650682.0,1.096,-533,-328,141,641.5247462101521,36,2017-08-25 16:44:42,-6.86153846153843,5.81538461538463,10.061538461538476,13.495701704507308
3465,3465,AV4YkKSr-R03vmj0SVl6,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:46.122Z,2017-08-25T08:44:45.000Z,563,fcffff07e9fdb8fe8b0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-76,20.5,1503650685.0,1.122,-535,-328,139,642.7518961465613,36,2017-08-25 16:44:45,-8.86153846153843,5.81538461538463,8.061538461538476,13.316679935218135
3466,3466,AV4YkK_V-R03vmj0SVmR,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:48.980Z,2017-08-25T08:44:48.000Z,564,fcffff07ebfdb9fe8b0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-81,23.8,1503650688.0,0.98,-533,-327,139,640.5770835738663,36,2017-08-25 16:44:48,-6.86153846153843,6.81538461538463,8.061538461538476,12.590416191756999
3467,3467,AV4YkLwZ-R03vmj0SVmq,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:52.120Z,2017-08-25T08:44:51.000Z,565,fcffff07eafdb9fe8a0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-77,24.5,1503650691.0,1.12,-534,-327,138,641.1934185563666,36,2017-08-25 16:44:51,-7.86153846153843,6.81538461538463,7.0615384615384755,12.574521059732522
3468,3468,AV4YkMfE-R03vmj0SVnC,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:55.106Z,2017-08-25T08:44:54.000Z,566,fcffff07eafdb9fe8c0024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78,22.0,1503650694.0,1.106,-534,-327,140,641.6268385907811,36,2017-08-25 16:44:54,-7.86153846153843,6.81538461538463,9.061538461538476,13.797272691652166
3469,3469,AV4YkNNe-R03vmj0SVna,parking_record_index_v2,101a0d0100cb,2017-08-25T08:44:58.077Z,2017-08-25T08:44:57.000Z,567,fcffff07ebfdb9fe890024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78,24.5,1503650697.0,1.077,-533,-327,137,640.1460770792868,36,2017-08-25 16:44:57,-6.86153846153843,6.81538461538463,6.0615384615384755,11.41369467067973
3470,3470,AV4YkN97-R03vmj0SVns,parking_record_index_v2,101a0d0100cb,2017-08-25T08:45:01.178Z,2017-08-25T08:45:00.000Z,568,fcffff07ebfdbafe890024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79,24.5,1503650700.0,1.178,-533,-326,137,639.635833893005,36,2017-08-25 16:45:00,-6.86153846153843,7.81538461538463,6.0615384615384755,12.037574309896165
3471,3471,AV4YkOsT-R03vmj0SVoB,parking_record_index_v2,101a0d0100cb,2017-08-25T08:45:04.146Z,2017-08-25T08:45:03.000Z,569,fcffff07ebfdb9fe870024,yilan,宜蘭市中山路二段,1007,10.5.151.1,-74,22.5,1503650703.0,1.146,-533,-327,135,639.7210329510825,36,2017-08-25 16:45:03,-6.86153846153843,6.81538461538463,4.0615384615384755,10.489340884409707
