,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
5439,5439,AV4YizaM-R03vmj0SU94,parking_record_index_v2,101a0d0100e4,2017-08-25T08:38:50.251Z,2017-08-25T08:38:49.000Z,447,fcffff07750026016afe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,20.8,1503650329.0,1.251,117,294,-406,514.7436255069118,35,2017-08-25 16:38:49,-1.9846153846153811,-0.5384615384615472,-1.3384615384616154,2.453592945701358
5442,5442,AV4Yi0NI-R03vmj0SU-R,parking_record_index_v2,101a0d0100e4,2017-08-25T08:38:53.511Z,2017-08-25T08:38:52.000Z,448,fcffff07750027016afe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-87.0,20.8,1503650332.0,1.511,117,295,-406,515.3154373779229,35,2017-08-25 16:38:52,-1.9846153846153811,0.4615384615384528,-1.3384615384616154,2.4378669500759007
5445,5445,AV4Yi06p-R03vmj0SU-s,parking_record_index_v2,101a0d0100e4,2017-08-25T08:38:56.424Z,2017-08-25T08:38:55.000Z,449,fcffff07750028016afe23,yilan,宜蘭市中山路二段,1014,10.5.181.33,-138.3,-15.3,1503650335.0,1.4240000000000002,117,296,-406,515.8885538563537,35,2017-08-25 16:38:55,-1.9846153846153811,1.4615384615384528,-1.3384615384616154,2.8046875386305117
5450,5450,AV4Yi1sx-R03vmj0SU_A,parking_record_index_v2,101a0d0100e4,2017-08-25T08:38:59.632Z,2017-08-25T08:38:58.000Z,450,fcffff07760028016afe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-89.0,18.8,1503650338.0,1.632,118,296,-406,516.1162659711472,35,2017-08-25 16:38:58,-0.9846153846153811,1.4615384615384528,-1.3384615384616154,2.2129259861365713
5454,5454,AV4Yi2Wq-R03vmj0SU_P,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:02.313Z,2017-08-25T08:39:01.000Z,451,fcffff077500290169fe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-77.0,10.8,1503650341.0,1.3130000000000002,117,297,-407,517.2494562587766,35,2017-08-25 16:39:01,-1.9846153846153811,2.461538461538453,-2.3384615384616154,3.9327181680549415
5456,5456,AV4Yi3FB-R03vmj0SU_h,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:05.280Z,2017-08-25T08:39:04.000Z,452,fcffff0775002a016afe23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-72.0,30.5,1503650344.0,1.28,117,298,-406,517.0386832723448,35,2017-08-25 16:39:04,-1.9846153846153811,3.461538461538453,-1.3384615384616154,4.208613315036568
5457,5457,AV4Yi37Q-R03vmj0SU_-,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:08.751Z,2017-08-25T08:39:07.000Z,453,fcffff077500290168fe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-77.0,17.5,1503650347.0,1.751,117,297,-408,518.0366782381342,35,2017-08-25 16:39:07,-1.9846153846153811,2.461538461538453,-3.3384615384616154,4.598173035703707
5462,5462,AV4Yi4ig-R03vmj0SVAQ,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:11.263Z,2017-08-25T08:39:10.000Z,454,fcffff077600290169fe23,yilan,宜蘭市中山路二段,1014,10.5.181.5,-111.0,11.2,1503650350.0,1.263,118,297,-407,517.4765695178863,35,2017-08-25 16:39:10,-0.9846153846153811,2.461538461538453,-2.3384615384616154,3.535115474792677
5465,5465,AV4Yi5Wy-R03vmj0SVAp,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:14.609Z,2017-08-25T08:39:13.000Z,455,fcffff07750028016afe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,14.5,1503650353.0,1.609,117,296,-406,515.8885538563537,35,2017-08-25 16:39:13,-1.9846153846153811,1.4615384615384528,-1.3384615384616154,2.8046875386305117
5468,5468,AV4Yi6EQ-R03vmj0SVA7,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:17.519Z,2017-08-25T08:39:16.000Z,456,fcffff07740029016bfe23,yilan,宜蘭市中山路二段,1014,10.5.181.21,-138.8,-15.8,1503650356.0,1.519,116,297,-405,515.4512586074459,35,2017-08-25 16:39:16,-2.984615384615381,2.461538461538453,-0.3384615384616154,3.883510886393099
5473,5473,AV4Yi6vr-R03vmj0SVBK,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:20.298Z,2017-08-25T08:39:19.000Z,457,fcffff077500290168fe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,16.3,1503650359.0,1.298,117,297,-408,518.0366782381342,35,2017-08-25 16:39:19,-1.9846153846153811,2.461538461538453,-3.3384615384616154,4.598173035703707
5476,5476,AV4Yi7ft-R03vmj0SVBm,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:23.372Z,2017-08-25T08:39:22.000Z,458,fcffff0775002a0169fe23,yilan,宜蘭市中山路二段,1014,192.168.1.145,-121.3,-15.3,1503650362.0,1.372,117,298,-407,517.8242945246968,35,2017-08-25 16:39:22,-1.9846153846153811,3.461538461538453,-2.3384615384616154,4.624862064151354
5482,5482,AV4Yi8Mk-R03vmj0SVB2,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:26.243Z,2017-08-25T08:39:25.000Z,459,fcffff0775002a0169fe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,19.5,1503650365.0,1.243,117,298,-407,517.8242945246968,35,2017-08-25 16:39:25,-1.9846153846153811,3.461538461538453,-2.3384615384616154,4.624862064151354
5485,5485,AV4Yi9CB-R03vmj0SVCP,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:29.664Z,2017-08-25T08:39:28.000Z,460,fcffff0775002b0169fe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-89.0,17.0,1503650368.0,1.664,117,299,-407,518.4004243825424,35,2017-08-25 16:39:28,-1.9846153846153811,4.461538461538453,-2.3384615384616154,5.414095126196364
5488,5488,AV4Yi9rr-R03vmj0SVCd,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:32.330Z,2017-08-25T08:39:31.000Z,461,fcffff0774002c016afe23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-72.0,28.8,1503650371.0,1.33,116,300,-406,517.9691110481398,35,2017-08-25 16:39:31,-2.984615384615381,5.461538461538453,-1.3384615384616154,6.366145666797742
5489,5489,AV4Yi-Zg-R03vmj0SVCt,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:35.263Z,2017-08-25T08:39:34.000Z,462,fcffff0775002d016cfe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-91.0,19.5,1503650374.0,1.263,117,301,-404,517.209822025839,35,2017-08-25 16:39:34,-1.9846153846153811,6.461538461538453,0.6615384615383846,6.7917457734287545
5492,5492,AV4Yi_F_-R03vmj0SVDA,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:38.110Z,2017-08-25T08:39:37.000Z,463,fcffff0775002c0169fe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,15.0,1503650377.0,1.11,117,300,-407,518.9778415308307,35,2017-08-25 16:39:37,-1.9846153846153811,5.461538461538453,-2.3384615384616154,6.263824946355073
5495,5495,AV4Yi_9o-R03vmj0SVDb,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:41.671Z,2017-08-25T08:39:40.000Z,464,fcffff0775002b016afe23,yilan,宜蘭市中山路二段,1014,192.168.1.145,-118.5,-13.5,1503650380.0,1.671,117,299,-406,517.6156875520679,35,2017-08-25 16:39:40,-1.9846153846153811,4.461538461538453,-1.3384615384616154,5.063151484854072
5499,5499,AV4YjAmP-R03vmj0SVDr,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:44.270Z,2017-08-25T08:39:43.000Z,465,fcffff0775002a0168fe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-77.0,17.0,1503650383.0,1.27,117,298,-408,518.6106439324207,35,2017-08-25 16:39:43,-1.9846153846153811,3.461538461538453,-3.3384615384616154,5.202525558740635
5502,5502,AV4YjBWv-R03vmj0SVED,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:47.374Z,2017-08-25T08:39:46.000Z,466,fcffff07750027016bfe23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-72.0,5.0,1503650386.0,1.374,117,295,-405,514.5279389887395,35,2017-08-25 16:39:46,-1.9846153846153811,0.4615384615384528,-0.3384615384616154,2.0654956280150154
5505,5505,AV4YjCIy-R03vmj0SVEa,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:50.577Z,2017-08-25T08:39:49.000Z,467,fcffff07750026016bfe23,yilan,宜蘭市中山路二段,1014,10.5.181.21,-135.3,-15.3,1503650389.0,1.577,117,294,-405,513.9552509703544,35,2017-08-25 16:39:49,-1.9846153846153811,-0.5384615384615472,-0.3384615384616154,2.0840334129452525
5510,5510,AV4YjC0Z-R03vmj0SVEs,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:53.367Z,2017-08-25T08:39:52.000Z,468,fcffff07740029016efe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-89.0,15.8,1503650392.0,1.367,116,297,-402,513.0974566298297,35,2017-08-25 16:39:52,-2.984615384615381,2.461538461538453,2.6615384615383846,4.6958372601660745
5513,5513,AV4YjDfz-R03vmj0SVE-,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:56.146Z,2017-08-25T08:39:55.000Z,469,fcffff0774002d016ffe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,18.3,1503650395.0,1.146,116,301,-401,514.6435659755206,35,2017-08-25 16:39:55,-2.984615384615381,6.461538461538453,3.6615384615383846,8.004140940122708
5517,5517,AV4YjEXd-R03vmj0SVFZ,parking_record_index_v2,101a0d0100e4,2017-08-25T08:39:59.708Z,2017-08-25T08:39:58.000Z,470,fcffff0775002d016bfe23,yilan,宜蘭市中山路二段,1014,192.168.1.145,-121.5,-15.5,1503650398.0,1.7080000000000002,117,301,-405,517.9913126684655,35,2017-08-25 16:39:58,-1.9846153846153811,6.461538461538453,-0.3384615384616154,6.767919453407419
5521,5521,AV4YjFEU-R03vmj0SVFp,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:02.579Z,2017-08-25T08:40:01.000Z,471,fcffff0775002b016bfe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,20.8,1503650401.0,1.579,117,299,-405,516.8316940745799,35,2017-08-25 16:40:01,-1.9846153846153811,4.461538461538453,-0.3384615384616154,4.894750236902468
5524,5524,AV4YjFtz-R03vmj0SVF7,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:05.234Z,2017-08-25T08:40:04.000Z,472,fcffff07750028016bfe23,yilan,宜蘭市中山路二段,1014,10.5.181.5,-109.0,13.0,1503650404.0,1.234,117,296,-405,515.1019316601327,35,2017-08-25 16:40:04,-1.9846153846153811,1.4615384615384528,-0.3384615384616154,2.487840250584038
5526,5526,AV4YjGZy-R03vmj0SVGK,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:08.049Z,2017-08-25T08:40:07.000Z,473,fcffff07750026016afe23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-71.0,27.5,1503650407.0,1.0490000000000002,117,294,-406,514.7436255069118,35,2017-08-25 16:40:07,-1.9846153846153811,-0.5384615384615472,-1.3384615384616154,2.453592945701358
5528,5528,AV4YjHQt-R03vmj0SVGo,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:11.564Z,2017-08-25T08:40:10.000Z,474,fcffff07750026016dfe23,yilan,宜蘭市中山路二段,1014,192.168.1.145,-120.5,-13.5,1503650410.0,1.564,117,294,-403,512.3807178261102,35,2017-08-25 16:40:10,-1.9846153846153811,-0.5384615384615472,1.6615384615383846,2.6437377162694817
5532,5532,AV4YjIAj-R03vmj0SVG6,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:14.626Z,2017-08-25T08:40:13.000Z,475,fcffff07740026016efe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,16.3,1503650413.0,1.626,116,294,-402,511.3667959498348,35,2017-08-25 16:40:13,-2.984615384615381,-0.5384615384615472,2.6615384615383846,4.035053507047126
5535,5535,AV4YjIpk-R03vmj0SVHJ,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:17.251Z,2017-08-25T08:40:16.000Z,476,fcffff07750026016efe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-79.0,19.5,1503650416.0,1.251,117,294,-402,511.59456603838163,35,2017-08-25 16:40:16,-1.9846153846153811,-0.5384615384615472,2.6615384615383846,3.3633950162748567
5538,5538,AV4YjJZe-R03vmj0SVHd,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:20.317Z,2017-08-25T08:40:19.000Z,477,fcffff07750026016afe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,20.0,1503650419.0,1.317,117,294,-406,514.7436255069118,35,2017-08-25 16:40:19,-1.9846153846153811,-0.5384615384615472,-1.3384615384616154,2.453592945701358
5541,5541,AV4YjKGw-R03vmj0SVHx,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:23.215Z,2017-08-25T08:40:22.000Z,478,fcffff07750028016afe23,yilan,宜蘭市中山路二段,1014,10.5.181.5,-111.0,13.8,1503650422.0,1.215,117,296,-406,515.8885538563537,35,2017-08-25 16:40:22,-1.9846153846153811,1.4615384615384528,-1.3384615384616154,2.8046875386305117
5544,5544,AV4YjK6Q-R03vmj0SVIN,parking_record_index_v2,101a0d0100e4,2017-08-25T08:40:26.511Z,2017-08-25T08:40:25.000Z,479,fcffff0775002b016bfe23,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,19.5,1503650425.0,1.511,117,299,-405,516.8316940745799,35,2017-08-25 16:40:25,-1.9846153846153811,4.461538461538453,-0.3384615384616154,4.894750236902468
