,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4385,4385,AV4YizMn-R03vmj0SU9w,parking_record_index_v2,101a0d010119,2017-08-25T08:38:49.381Z,2017-08-25T08:38:49.000Z,2999,fcffff0748fe3300ecff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,33.0,1503650329.0,0.381,-440,51,-20,443.3971132066604,40,2017-08-25 16:38:49,-2.5606060606060623,3.787878787878789,2.969696969696969,5.451956456273467
4386,4386,AV4Yiz8H-R03vmj0SU-F,parking_record_index_v2,101a0d010119,2017-08-25T08:38:52.422Z,2017-08-25T08:38:51.000Z,3000,fcffff0748fe3300efff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-75.0,27.0,1503650331.0,1.422,-440,51,-17,443.27192557165176,40,2017-08-25 16:38:51,-2.5606060606060623,3.787878787878789,5.969696969696969,7.5194422013393885
4387,4387,AV4Yi0rX-R03vmj0SU-f,parking_record_index_v2,101a0d010119,2017-08-25T08:38:55.446Z,2017-08-25T08:38:55.000Z,3001,fcffff0748fe3300f0ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,30.0,1503650335.0,0.446,-440,51,-16,443.234700807597,40,2017-08-25 16:38:55,-2.5606060606060623,3.787878787878789,6.969696969696969,8.33555066919263
4388,4388,AV4Yi1aA-R03vmj0SU-3,parking_record_index_v2,101a0d010119,2017-08-25T08:38:58.431Z,2017-08-25T08:38:58.000Z,3002,fcffff0749fe3300eeff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,28.0,1503650338.0,0.431,-439,51,-18,442.3188894903766,40,2017-08-25 16:38:58,-1.5606060606060623,3.787878787878789,4.969696969696969,6.440605946545533
4389,4389,AV4Yi2Kp-R03vmj0SU_L,parking_record_index_v2,101a0d010119,2017-08-25T08:39:01.544Z,2017-08-25T08:39:01.000Z,3003,fcffff0748fe3200efff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,29.5,1503650341.0,0.544,-440,50,-17,443.1579853731624,40,2017-08-25 16:39:01,-2.5606060606060623,2.787878787878789,5.969696969696969,7.068681167199874
4390,4390,AV4Yi23F-R03vmj0SU_e,parking_record_index_v2,101a0d010119,2017-08-25T08:39:04.388Z,2017-08-25T08:39:03.000Z,3004,fcffff0749fe3200edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,35.5,1503650343.0,1.388,-439,50,-19,442.24653757830595,40,2017-08-25 16:39:03,-1.5606060606060623,2.787878787878789,3.969696969696969,5.0957093170162455
4391,4391,AV4Yi3lu-R03vmj0SU_w,parking_record_index_v2,101a0d010119,2017-08-25T08:39:07.373Z,2017-08-25T08:39:07.000Z,3005,fcffff0748fe3200edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,30.0,1503650347.0,0.373,-440,50,-19,443.2392130667141,40,2017-08-25 16:39:07,-2.5606060606060623,2.787878787878789,3.969696969696969,5.485204240931991
4392,4392,AV4Yi4Va-R03vmj0SVAG,parking_record_index_v2,101a0d010119,2017-08-25T08:39:10.425Z,2017-08-25T08:39:10.000Z,3006,fcffff0749fe3100eeff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,32.5,1503650350.0,0.425,-439,49,-18,442.0927504494956,40,2017-08-25 16:39:10,-1.5606060606060623,1.787878787878789,4.969696969696969,5.507257920886086
4393,4393,AV4Yi5CL-R03vmj0SVAg,parking_record_index_v2,101a0d010119,2017-08-25T08:39:13.290Z,2017-08-25T08:39:13.000Z,3007,fcffff0749fe3200eeff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,30.0,1503650353.0,0.29,-439,50,-18,442.2047037289405,40,2017-08-25 16:39:13,-1.5606060606060623,2.787878787878789,4.969696969696969,5.908100150041475
4394,4394,AV4Yi5zH-R03vmj0SVAz,parking_record_index_v2,101a0d010119,2017-08-25T08:39:16.422Z,2017-08-25T08:39:15.000Z,3008,fcffff0748fe3200f0ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,34.5,1503650355.0,1.422,-440,50,-16,443.12075103745707,40,2017-08-25 16:39:15,-2.5606060606060623,2.787878787878789,6.969696969696969,7.93130804993225
4395,4395,AV4Yi6iD-R03vmj0SVBF,parking_record_index_v2,101a0d010119,2017-08-25T08:39:19.425Z,2017-08-25T08:39:19.000Z,3009,fcffff0748fe3200ebff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,29.5,1503650359.0,0.425,-440,50,-21,443.32944860453387,40,2017-08-25 16:39:19,-2.5606060606060623,2.787878787878789,1.9696969696969688,4.2671627208193526
4396,4396,AV4Yi7P5-R03vmj0SVBa,parking_record_index_v2,101a0d010119,2017-08-25T08:39:22.360Z,2017-08-25T08:39:21.000Z,3010,fcffff0749fe3200edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,30.0,1503650361.0,1.36,-439,50,-19,442.24653757830595,40,2017-08-25 16:39:21,-1.5606060606060623,2.787878787878789,3.969696969696969,5.0957093170162455
4397,4397,AV4Yi9cX-R03vmj0SVCX,parking_record_index_v2,101a0d010119,2017-08-25T08:39:31.350Z,2017-08-25T08:39:31.000Z,3013,fcffff074afe3100edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-63.0,23.8,1503650371.0,0.35,-438,49,-19,441.1417005906378,40,2017-08-25 16:39:31,-0.5606060606060623,1.787878787878789,3.969696969696969,4.38967923048558
4398,4398,AV4Yi-Kq-R03vmj0SVCo,parking_record_index_v2,101a0d010119,2017-08-25T08:39:34.313Z,2017-08-25T08:39:34.000Z,3014,fcffff0749fe3000ebff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-59.5,-0.5,1503650374.0,0.313,-439,48,-21,442.1153695586708,40,2017-08-25 16:39:34,-1.5606060606060623,0.787878787878789,1.9696969696969688,2.633619261249269
4399,4399,AV4Yi-8j-R03vmj0SVC6,parking_record_index_v2,101a0d010119,2017-08-25T08:39:37.505Z,2017-08-25T08:39:37.000Z,3015,fcffff0749fe3100ebff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-75.0,27.0,1503650377.0,0.505,-439,49,-21,442.22505582565077,40,2017-08-25 16:39:37,-1.5606060606060623,1.787878787878789,1.9696969696969688,3.08410570327619
4400,4400,AV4Yi_pH-R03vmj0SVDP,parking_record_index_v2,101a0d010119,2017-08-25T08:39:40.358Z,2017-08-25T08:39:39.000Z,3016,fcffff0749fe3100edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,33.0,1503650379.0,1.358,-439,49,-19,442.1345948916462,40,2017-08-25 16:39:39,-1.5606060606060623,1.787878787878789,3.969696969696969,4.624986039737698
4401,4401,AV4YjAXV-R03vmj0SVDl,parking_record_index_v2,101a0d010119,2017-08-25T08:39:43.316Z,2017-08-25T08:39:43.000Z,3017,fcffff0749fe3100edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,29.5,1503650383.0,0.316,-439,49,-19,442.1345948916462,40,2017-08-25 16:39:43,-1.5606060606060623,1.787878787878789,3.969696969696969,4.624986039737698
4402,4402,AV4YjBIj-R03vmj0SVD6,parking_record_index_v2,101a0d010119,2017-08-25T08:39:46.465Z,2017-08-25T08:39:46.000Z,3018,fcffff0749fe3300f0ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,33.0,1503650386.0,0.465,-439,51,-16,442.2420151907776,40,2017-08-25 16:39:46,-1.5606060606060623,3.787878787878789,6.969696969696969,8.084565098845179
4403,4403,AV4YjB1u-R03vmj0SVEO,parking_record_index_v2,101a0d010119,2017-08-25T08:39:49.357Z,2017-08-25T08:39:48.000Z,3019,fcffff0748fe3500efff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,35.5,1503650388.0,1.357,-440,53,-17,443.50648247799035,40,2017-08-25 16:39:48,-2.5606060606060623,5.787878787878789,5.969696969696969,8.70020265113399
4404,4404,AV4YjCjX-R03vmj0SVEk,parking_record_index_v2,101a0d010119,2017-08-25T08:39:52.278Z,2017-08-25T08:39:52.000Z,3020,fcffff0749fe3600ecff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,31.2,1503650392.0,0.278,-439,54,-20,442.7606576921666,40,2017-08-25 16:39:52,-1.5606060606060623,6.787878787878789,2.969696969696969,7.571650401805576
4405,4405,AV4YjDUS-R03vmj0SVE4,parking_record_index_v2,101a0d010119,2017-08-25T08:39:55.408Z,2017-08-25T08:39:55.000Z,3021,fcffff074afe3300e8ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,28.8,1503650395.0,0.408,-438,51,-24,441.6118204939718,40,2017-08-25 16:39:55,-0.5606060606060623,3.787878787878789,-1.0303030303030312,3.965328385027139
4406,4406,AV4YjEC3-R03vmj0SVFO,parking_record_index_v2,101a0d010119,2017-08-25T08:39:58.390Z,2017-08-25T08:39:58.000Z,3022,fcffff0749fe3100e9ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,34.5,1503650398.0,0.39,-439,49,-23,442.3245414850956,40,2017-08-25 16:39:58,-1.5606060606060623,1.787878787878789,-0.030303030303031164,2.373377363630328
4407,4407,AV4YjExO-R03vmj0SVFh,parking_record_index_v2,101a0d010119,2017-08-25T08:40:01.357Z,2017-08-25T08:40:01.000Z,3023,fcffff0749fe3100edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,33.8,1503650401.0,0.35700000000000004,-439,49,-19,442.1345948916462,40,2017-08-25 16:40:01,-1.5606060606060623,1.787878787878789,3.969696969696969,4.624986039737698
4408,4408,AV4YjFgk-R03vmj0SVF2,parking_record_index_v2,101a0d010119,2017-08-25T08:40:04.387Z,2017-08-25T08:40:03.000Z,3024,fcffff0749fe3200ecff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,29.5,1503650403.0,1.3869999999999998,-439,50,-20,442.29062843338653,40,2017-08-25 16:40:03,-1.5606060606060623,2.787878787878789,2.969696969696969,4.361978851866689
4409,4409,AV4YjGPV-R03vmj0SVGI,parking_record_index_v2,101a0d010119,2017-08-25T08:40:07.380Z,2017-08-25T08:40:07.000Z,3025,fcffff0748fe3300eeff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,28.8,1503650407.0,0.38,-440,51,-18,443.31140296635726,40,2017-08-25 16:40:07,-2.5606060606060623,3.787878787878789,4.969696969696969,6.752970981715367
4410,4410,AV4YjHCe-R03vmj0SVGc,parking_record_index_v2,101a0d010119,2017-08-25T08:40:10.653Z,2017-08-25T08:40:10.000Z,3026,fcffff0749fe3500eeff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,33.8,1503650410.0,0.653,-439,53,-18,442.553951513259,40,2017-08-25 16:40:10,-1.5606060606060623,5.787878787878789,4.969696969696969,7.786714333413859
4411,4411,AV4YjHsq-R03vmj0SVGy,parking_record_index_v2,101a0d010119,2017-08-25T08:40:13.353Z,2017-08-25T08:40:13.000Z,3027,fcffff0749fe3600edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,33.8,1503650413.0,0.353,-439,54,-19,442.71661364805357,40,2017-08-25 16:40:13,-1.5606060606060623,6.787878787878789,3.969696969696969,8.016812567757617
4412,4412,AV4YjIai-R03vmj0SVHD,parking_record_index_v2,101a0d010119,2017-08-25T08:40:16.289Z,2017-08-25T08:40:15.000Z,3028,fcffff0749fe3600ebff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,30.5,1503650415.0,1.289,-439,54,-21,442.8069556815928,40,2017-08-25 16:40:15,-1.5606060606060623,6.787878787878789,1.9696969696969688,7.238127925628878
4413,4413,AV4YjJLo-R03vmj0SVHW,parking_record_index_v2,101a0d010119,2017-08-25T08:40:19.431Z,2017-08-25T08:40:19.000Z,3029,fcffff0748fe3500edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-75.0,28.0,1503650419.0,0.431,-440,53,-19,443.5876463563881,40,2017-08-25 16:40:19,-2.5606060606060623,5.787878787878789,3.969696969696969,7.470926200412572
4414,4414,AV4YjJ73-R03vmj0SVHq,parking_record_index_v2,101a0d010119,2017-08-25T08:40:22.518Z,2017-08-25T08:40:21.000Z,3030,fcffff0748fe3400efff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-75.0,28.0,1503650421.0,1.518,-440,52,-17,443.388091856333,40,2017-08-25 16:40:21,-2.5606060606060623,4.787878787878789,5.969696969696969,8.069558141251683
4415,4415,AV4YjKo8-R03vmj0SVIC,parking_record_index_v2,101a0d010119,2017-08-25T08:40:25.403Z,2017-08-25T08:40:25.000Z,3031,fcffff0749fe3100edff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,30.5,1503650425.0,0.403,-439,49,-19,442.1345948916462,40,2017-08-25 16:40:25,-1.5606060606060623,1.787878787878789,3.969696969696969,4.624986039737698
