,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4143,4142,AV4YD4qD-R03vmj0SOmA,parking_record_index_v2,101a0d0100e4,2017-08-25T06:23:45.282Z,2017-08-25T06:23:44.000Z,276,fcffff0768000001adfe26,yilan,宜蘭市中山路二段,1014,10.5.151.1,-111.0,8.0,1503642224.0,1.2819999999999998,104,256,-339,437.3476877725547,38,2017-08-25 14:23:44,0.7199999999999989,2.4799999999999898,0.160000000000025,2.5873538606073883
4144,4143,AV4YD5cs-R03vmj0SOmZ,parking_record_index_v2,101a0d0100e4,2017-08-25T06:23:48.523Z,2017-08-25T06:23:47.000Z,277,fcffff0767000101affe26,yilan,宜蘭市中山路二段,1014,192.168.1.145,-117.5,-11.5,1503642227.0,1.5230000000000001,103,257,-337,436.15020348499206,38,2017-08-25 14:23:47,-0.28000000000000114,3.4799999999999898,2.160000000000025,4.105411063462468
4149,4148,AV4YD6at-R03vmj0SOm1,parking_record_index_v2,101a0d0100e4,2017-08-25T06:23:52.492Z,2017-08-25T06:23:50.000Z,278,fcffff0767000201b1fe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-79.0,17.0,1503642230.0,2.492,103,258,-335,435.19880514541865,38,2017-08-25 14:23:50,-0.28000000000000114,4.47999999999999,4.160000000000025,6.12000000000001
4154,4153,AV4YD65t-R03vmj0SOnG,parking_record_index_v2,101a0d0100e4,2017-08-25T06:23:54.476Z,2017-08-25T06:23:53.000Z,279,fcffff0767000101b2fe26,yilan,宜蘭市中山路二段,1014,10.5.151.1,-72.0,30.5,1503642233.0,1.476,103,257,-334,433.83637468520317,38,2017-08-25 14:23:53,-0.28000000000000114,3.4799999999999898,5.160000000000025,6.230120384069652
4159,4158,AV4YD7qB-R03vmj0SOng,parking_record_index_v2,101a0d0100e4,2017-08-25T06:23:57.568Z,2017-08-25T06:23:56.000Z,280,fcffff0766000001b2fe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-79.0,18.8,1503642236.0,1.568,102,256,-334,433.008083065432,38,2017-08-25 14:23:56,-1.2800000000000011,2.4799999999999898,5.160000000000025,5.866378780815317
4164,4163,AV4YD9M7-R03vmj0SOoT,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:03.898Z,2017-08-25T06:24:02.000Z,281,fcffff076600fc00b2fe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-75.0,16.3,1503642242.0,1.8980000000000001,102,252,-334,430.65531460786593,38,2017-08-25 14:24:02,-1.2800000000000011,-1.5200000000000102,5.160000000000025,5.529412265331668
4169,4168,AV4YD92T-R03vmj0SOoq,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:06.546Z,2017-08-25T06:24:05.000Z,282,fcffff076700fb00affe26,yilan,宜蘭市中山路二段,1014,10.5.180.38,-99.0,21.3,1503642245.0,1.546,103,251,-337,432.64188424145897,38,2017-08-25 14:24:05,-0.28000000000000114,-2.5200000000000102,2.160000000000025,3.3308257234505922
4174,4173,AV4YD-od-R03vmj0SOpE,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:09.756Z,2017-08-25T06:24:08.000Z,283,fcffff076700fb00adfe26,yilan,宜蘭市中山路二段,1014,10.5.180.38,-93.0,10.0,1503642248.0,1.756,103,251,-339,434.20156609574775,38,2017-08-25 14:24:08,-0.28000000000000114,-2.5200000000000102,0.160000000000025,2.540551121312079
4179,4178,AV4YD_Uq-R03vmj0SOpe,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:12.585Z,2017-08-25T06:24:11.000Z,284,fcffff076700fa00aefe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-83.0,19.5,1503642251.0,1.585,103,250,-338,432.84292763079765,38,2017-08-25 14:24:11,-0.28000000000000114,-3.5200000000000102,1.160000000000025,3.716772793701564
4184,4183,AV4YEADD-R03vmj0SOp2,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:15.554Z,2017-08-25T06:24:14.000Z,285,fcffff076700fa00adfe26,yilan,宜蘭市中山路二段,1014,10.5.181.5,-108.5,-0.5,1503642254.0,1.554,103,250,-339,433.62426131387065,38,2017-08-25 14:24:14,-0.28000000000000114,-3.5200000000000102,0.160000000000025,3.5347418576184713
4189,4188,AV4YEA0p-R03vmj0SOqQ,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:18.728Z,2017-08-25T06:24:17.000Z,286,fcffff076700fa00acfe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-83.0,21.3,1503642257.0,1.7280000000000002,103,250,-340,434.40649166420167,38,2017-08-25 14:24:17,-0.28000000000000114,-3.5200000000000102,-0.839999999999975,3.629655631048217
4194,4193,AV4YEBkr-R03vmj0SOqn,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:21.802Z,2017-08-25T06:24:20.000Z,287,fcffff076800fb00abfe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,20.8,1503642260.0,1.8019999999999998,104,251,-341,436.002293571949,38,2017-08-25 14:24:20,0.7199999999999989,-2.5200000000000102,-1.839999999999975,3.2022492095400628
4199,4198,AV4YECRK-R03vmj0SOq_,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:24.649Z,2017-08-25T06:24:23.000Z,288,fcffff076700fc00abfe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-81.0,20.8,1503642263.0,1.649,103,252,-341,436.3416092925359,38,2017-08-25 14:24:23,-0.28000000000000114,-1.5200000000000102,-1.839999999999975,2.402998127340082
4203,4202,AV4YEC9U-R03vmj0SOrZ,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:27.475Z,2017-08-25T06:24:26.000Z,289,fcffff076800ff00abfe27,yilan,宜蘭市中山路二段,1014,10.5.180.38,-95.0,16.3,1503642266.0,1.475,104,255,-341,438.3172367133194,39,2017-08-25 14:24:26,0.7199999999999989,1.4799999999999898,-1.839999999999975,2.4686838598734906
4208,4207,AV4YEDy9-R03vmj0SOry,parking_record_index_v2,101a0d0100e4,2017-08-25T06:24:30.908Z,2017-08-25T06:24:29.000Z,290,fcffff076800fe00adfe26,yilan,宜蘭市中山路二段,1014,192.168.88.113,-72.0,20.8,1503642269.0,1.9080000000000001,104,254,-339,436.18000871199956,38,2017-08-25 14:24:29,0.7199999999999989,0.47999999999998977,0.160000000000025,0.8799999999999981
