,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
767,767,AV4XWEA4-R03vmj0SCw9,parking_record_index_v2,101a0d0100c0,2017-08-25T03:03:33.174Z,2017-08-25T03:03:32.000Z,830,fcffff077fff660085ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-94.0,8.8,1503630212.0,1.1740000000000002,-129,102,-123,205.363093081498,34,2017-08-25 11:03:32,0.16129032258064058,-4.548387096774192,0.9516129032258078,4.6496673932493255
769,769,AV4XWFke-R03vmj0SCxi,parking_record_index_v2,101a0d0100c0,2017-08-25T03:03:39.548Z,2017-08-25T03:03:38.000Z,831,fcffff077fff6e0087ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-113.0,9.5,1503630218.0,1.548,-129,110,-121,208.2834606971951,34,2017-08-25 11:03:38,0.16129032258064058,3.451612903225808,2.951612903225808,4.544410295336694
772,772,AV4XWHCJ-R03vmj0SCyL,parking_record_index_v2,101a0d0100c0,2017-08-25T03:03:45.543Z,2017-08-25T03:03:44.000Z,832,fcffff0780ff6d0082ff22,yilan,宜蘭市中山路二段,1015,10.5.151.1,-81.0,23.8,1503630224.0,1.5430000000000001,-128,109,-126,210.0975963689256,34,2017-08-25 11:03:44,1.1612903225806406,2.451612903225808,-2.048387096774192,3.3992485550212015
775,775,AV4XWIdg-R03vmj0SCy1,parking_record_index_v2,101a0d0100c0,2017-08-25T03:03:51.391Z,2017-08-25T03:03:50.000Z,833,fcffff077fff680083ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-103.0,5.8,1503630230.0,1.391,-129,104,-125,207.56203891848816,34,2017-08-25 11:03:50,0.16129032258064058,-2.548387096774192,-1.0483870967741922,2.7603273117233726
778,778,AV4XWKC0-R03vmj0SCzj,parking_record_index_v2,101a0d0100c0,2017-08-25T03:03:57.874Z,2017-08-25T03:03:56.000Z,834,fcffff0780ff690083ff22,yilan,宜蘭市中山路二段,1015,10.5.180.38,-97.3,-0.3,1503630236.0,1.874,-128,105,-125,207.44637861384803,34,2017-08-25 11:03:56,1.1612903225806406,-1.5483870967741922,-1.0483870967741922,2.2011845264445413
780,780,AV4XWLUE-R03vmj0SC0J,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:03.074Z,2017-08-25T03:04:02.000Z,835,fcffff077eff6b0086ff22,yilan,宜蘭市中山路二段,1015,10.5.151.1,-101.0,21.2,1503630242.0,1.074,-130,107,-122,207.92546741561023,34,2017-08-25 11:04:02,-0.8387096774193594,0.4516129032258078,1.9516129032258078,2.1716770159013965
782,782,AV4XWM1s-R03vmj0SC09,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:09.322Z,2017-08-25T03:04:08.000Z,836,fcffff077fff6c008aff22,yilan,宜蘭市中山路二段,1015,10.5.180.38,-98.0,3.8,1503630248.0,1.3219999999999998,-129,108,-118,205.49695861496346,34,2017-08-25 11:04:08,0.16129032258064058,1.4516129032258078,5.951612903225808,6.128204528148009
786,786,AV4XWOZf-R03vmj0SC1m,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:15.709Z,2017-08-25T03:04:14.000Z,837,fcffff077fff6a008aff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-103.0,7.5,1503630254.0,1.709,-129,106,-118,204.45292856792244,34,2017-08-25 11:04:14,0.16129032258064058,-0.5483870967741922,5.951612903225808,5.978999843277346
789,789,AV4XWPuK-R03vmj0SC2J,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:21.129Z,2017-08-25T03:04:20.000Z,838,fcffff077fff660085ff22,yilan,宜蘭市中山路二段,1015,10.5.151.1,-83.0,23.0,1503630260.0,1.129,-129,102,-123,205.363093081498,34,2017-08-25 11:04:20,0.16129032258064058,-4.548387096774192,0.9516129032258078,4.6496673932493255
792,792,AV4XWRTW-R03vmj0SC21,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:27.605Z,2017-08-25T03:04:26.000Z,839,fcffff0780ff680084ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-101.0,13.3,1503630266.0,1.605,-128,104,-124,206.33952602446288,34,2017-08-25 11:04:26,1.1612903225806406,-2.548387096774192,-0.04838709677419217,2.8009307951927123
797,797,AV4XWSx--R03vmj0SC3g,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:33.660Z,2017-08-25T03:04:32.000Z,840,fcffff077fff6c0086ff22,yilan,宜蘭市中山路二段,1015,10.5.180.38,-99.0,12.0,1503630272.0,1.66,-129,108,-122,207.81963333621778,34,2017-08-25 11:04:32,0.16129032258064058,1.4516129032258078,1.9516129032258078,2.437619230521308
802,802,AV4XWUQF-R03vmj0SC4I,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:39.683Z,2017-08-25T03:04:38.000Z,841,fcffff077fff6e0087ff22,yilan,宜蘭市中山路二段,1015,10.5.180.38,-115.0,10.0,1503630278.0,1.683,-129,110,-121,208.2834606971951,34,2017-08-25 11:04:38,0.16129032258064058,3.451612903225808,2.951612903225808,4.544410295336694
806,806,AV4XWVq0-R03vmj0SC4t,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:45.491Z,2017-08-25T03:04:44.000Z,842,fcffff077fff6c008aff22,yilan,宜蘭市中山路二段,1015,10.5.180.38,-97.0,13.3,1503630284.0,1.4909999999999999,-129,108,-118,205.49695861496346,34,2017-08-25 11:04:44,0.16129032258064058,1.4516129032258078,5.951612903225808,6.128204528148009
809,809,AV4XWXGa-R03vmj0SC5V,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:51.353Z,2017-08-25T03:04:50.000Z,843,fcffff077fff650087ff22,yilan,宜蘭市中山路二段,1015,10.5.180.38,-111.0,12.5,1503630290.0,1.3530000000000002,-129,101,-121,203.67375874176813,34,2017-08-25 11:04:50,0.16129032258064058,-5.548387096774192,2.951612903225808,6.286702846031265
813,813,AV4XWY6m-R03vmj0SC6H,parking_record_index_v2,101a0d0100c0,2017-08-25T03:04:58.789Z,2017-08-25T03:04:56.000Z,844,fcffff077fff6d0084ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-84.0,13.3,1503630296.0,2.7889999999999997,-129,109,-124,209.51849560361006,34,2017-08-25 11:04:56,0.16129032258064058,2.451612903225808,-0.04838709677419217,2.457389205346942
817,817,AV4XWaGx-R03vmj0SC6j,parking_record_index_v2,101a0d0100c0,2017-08-25T03:05:03.663Z,2017-08-25T03:05:02.000Z,845,fcffff077eff6d0089ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-99.0,13.3,1503630302.0,1.663,-130,109,-119,207.2245159241541,34,2017-08-25 11:05:02,-0.8387096774193594,2.451612903225808,4.951612903225808,5.588587486445253
819,819,AV4XWbl5-R03vmj0SC7K,parking_record_index_v2,101a0d0100c0,2017-08-25T03:05:09.751Z,2017-08-25T03:05:08.000Z,846,fcffff077fff680087ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-85.0,15.0,1503630308.0,1.751,-129,104,-121,205.1779715271598,34,2017-08-25 11:05:08,0.16129032258064058,-2.548387096774192,2.951612903225808,3.902859220321999
791,791,AV4XWpEQ-R03vmj0SDBL,parking_record_index_v2,101a0d0100c0,2017-08-25T03:06:04.942Z,2017-08-25T03:04:24.000Z,855,fcffff077fff6e0087ff22,yilan,宜蘭市中山路二段,1015,192.168.0.225,-112.8,-12.8,1503630264.0,100.942,-129,110,-121,208.2834606971951,34,2017-08-25 11:04:24,0.16129032258064058,3.451612903225808,2.951612903225808,4.544410295336694
796,796,AV4XWqHO-R03vmj0SDBo,parking_record_index_v2,101a0d0100c0,2017-08-25T03:06:09.229Z,2017-08-25T03:04:30.000Z,856,fcffff077fff6d0086ff22,yilan,宜蘭市中山路二段,1015,192.168.0.225,-105.5,-10.5,1503630270.0,99.229,-129,109,-122,208.34106652314134,34,2017-08-25 11:04:30,0.16129032258064058,2.451612903225808,1.9516129032258078,3.137708291007771
801,801,AV4XWsVy-R03vmj0SDCh,parking_record_index_v2,101a0d0100c0,2017-08-25T03:06:18.352Z,2017-08-25T03:04:36.000Z,857,fcffff077fff6f0087ff22,yilan,宜蘭市中山路二段,1015,192.168.0.225,-117.2,-12.2,1503630276.0,102.352,-129,111,-121,208.81331375178158,34,2017-08-25 11:04:36,0.16129032258064058,4.451612903225808,2.951612903225808,5.343677641738296
