,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
712,712,AV4XWEV7-R03vmj0SCxK,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:34.521Z,2017-08-25T03:03:34.000Z,916,fcffff07e9fd0cff540022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81,28.8,1503630214.0,0.521,-535,-244,84,593.9840065186942,34,2017-08-25 11:03:34,0.8181818181818699,3.5454545454545325,3.5,5.048729485869449
713,713,AV4XWFBp-R03vmj0SCxZ,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:37.320Z,2017-08-25T03:03:37.000Z,917,fcffff07eafd0bff4e0022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81,28.0,1503630217.0,0.32,-534,-245,78,592.6761341576022,34,2017-08-25 11:03:37,1.8181818181818699,2.5454545454545325,-2.5,4.0043880889522026
714,714,AV4XWF0K-R03vmj0SCxs,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:40.552Z,2017-08-25T03:03:40.000Z,918,fcffff07eafd08ff4e0022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-82,29.5,1503630220.0,0.552,-534,-248,78,593.9225538738193,34,2017-08-25 11:03:40,1.8181818181818699,-0.45454545454546746,-2.5,3.1244834283790137
715,715,AV4XWGip-R03vmj0SCx-,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:43.527Z,2017-08-25T03:03:43.000Z,919,fcffff07eafd06ff4f0022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81,28.8,1503630223.0,0.527,-534,-250,79,594.8924272505072,34,2017-08-25 11:03:43,1.8181818181818699,-2.4545454545454675,-1.5,3.4030249062263627
716,716,AV4XWHQS-R03vmj0SCyV,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:46.448Z,2017-08-25T03:03:46.000Z,920,fcffff07eafd07ff500022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-83,28.0,1503630226.0,0.44799999999999995,-534,-249,80,594.6065926307915,34,2017-08-25 11:03:46,1.8181818181818699,-1.4545454545454675,-0.5,2.381488526805454
717,717,AV4XWIAl-R03vmj0SCyq,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:49.540Z,2017-08-25T03:03:49.000Z,921,fcffff07e9fd05ff520022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-80,28.8,1503630229.0,0.54,-535,-251,82,596.6154540405403,34,2017-08-25 11:03:49,0.8181818181818699,-3.4545454545454675,1.5,3.8539986747693806
718,718,AV4XWIvG-R03vmj0SCy_,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:52.516Z,2017-08-25T03:03:52.000Z,922,fcffff07eafd07ff520022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81,28.0,1503630232.0,0.516,-534,-249,82,594.8789792890651,34,2017-08-25 11:03:52,1.8181818181818699,-1.4545454545454675,1.5,2.7697450430149724
719,719,AV4XWJoJ-R03vmj0SCzT,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:56.168Z,2017-08-25T03:03:55.000Z,923,fcffff07eafd05ff510022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-82,30.0,1503630235.0,1.168,-534,-251,81,595.5820682324141,34,2017-08-25 11:03:55,1.8181818181818699,-3.4545454545454675,0.5,3.9356917335441657
720,720,AV4XWKNy-R03vmj0SCzq,parking_record_index_v2,101a0d0100cc,2017-08-25T03:03:58.577Z,2017-08-25T03:03:58.000Z,924,fcffff07ebfd07ff4f0022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-84,33.0,1503630238.0,0.5770000000000001,-533,-249,79,593.574763614492,34,2017-08-25 11:03:58,2.81818181818187,-1.4545454545454675,-1.5,3.5082547284468597
721,721,AV4XWK4y-R03vmj0SCz8,parking_record_index_v2,101a0d0100cc,2017-08-25T03:04:01.328Z,2017-08-25T03:04:01.000Z,925,fcffff07e7fd05ff4d0022,yilan,宜蘭市中山路二段,1002,10.5.151.1,-82,28.0,1503630241.0,0.32799999999999996,-537,-251,77,597.7449288785309,34,2017-08-25 11:04:01,-1.1818181818181301,-3.4545454545454675,-3.5,5.057724637858081
