,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
547,547,AV4XUqJG-R03vmj0SCMx,parking_record_index_v2,101a0d0101eb,2017-08-25T02:57:25.059Z,2017-08-25T02:57:24.000Z,794,fcffff078effff008aff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-74.0,30.0,1503629844.0,1.0590000000000002,-114,255,-118,303.22433939247026,31,2017-08-25 10:57:24,0.046875,1.71875,-0.515625,1.7950398237225824
548,548,AV4XUrip-R03vmj0SCNU,parking_record_index_v2,101a0d0101eb,2017-08-25T02:57:30.792Z,2017-08-25T02:57:30.000Z,796,fcffff078efffb008aff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,31.2,1503629850.0,0.792,-114,251,-118,299.8683044271268,31,2017-08-25 10:57:30,0.046875,-2.28125,-0.515625,2.3392665450414154
549,549,AV4XUuea-R03vmj0SCON,parking_record_index_v2,101a0d0101eb,2017-08-25T02:57:42.809Z,2017-08-25T02:57:42.000Z,800,fcffff078effff0088ff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-74.0,29.5,1503629862.0,0.809,-114,255,-120,304.00822357298165,31,2017-08-25 10:57:42,0.046875,1.71875,-2.515625,3.047075313928095
550,550,AV4XUv74-R03vmj0SCOu,parking_record_index_v2,101a0d0101eb,2017-08-25T02:57:48.791Z,2017-08-25T02:57:48.000Z,802,fcffff078efffa008bff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,31.2,1503629868.0,0.7909999999999999,-114,250,-117,298.63857754817946,31,2017-08-25 10:57:48,0.046875,-3.28125,0.484375,3.317140028511006
551,551,AV4XUxZz-R03vmj0SCPW,parking_record_index_v2,101a0d0101eb,2017-08-25T02:57:54.802Z,2017-08-25T02:57:54.000Z,804,fcffff078efffc0090ff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-73.0,30.0,1503629874.0,0.802,-114,252,-112,298.40241285887754,31,2017-08-25 10:57:54,0.046875,-1.28125,5.484375,5.632243599912028
552,552,AV4XUyIU-R03vmj0SCPq,parking_record_index_v2,101a0d0101eb,2017-08-25T02:57:57.778Z,2017-08-25T02:57:57.000Z,805,fcffff078efffb008eff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,28.8,1503629877.0,0.778,-114,251,-114,298.31694554617576,31,2017-08-25 10:57:57,0.046875,-2.28125,3.484375,4.164993153505778
553,553,AV4XUy4Q-R03vmj0SCP_,parking_record_index_v2,101a0d0101eb,2017-08-25T02:58:00.846Z,2017-08-25T02:58:00.000Z,806,fcffff078ffffc0090ff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,32.0,1503629880.0,0.846,-113,252,-112,298.02181128232877,31,2017-08-25 10:58:00,1.046875,-1.28125,5.484375,5.728517955697616
554,554,AV4XUzqa-R03vmj0SCQU,parking_record_index_v2,101a0d0101eb,2017-08-25T02:58:04.057Z,2017-08-25T02:58:03.000Z,807,fcffff078ffffc008eff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,28.8,1503629883.0,1.057,-113,252,-114,298.7791826750987,31,2017-08-25 10:58:03,1.046875,-1.28125,3.484375,3.8572552376981744
555,555,AV4XU0lr-R03vmj0SCQv,parking_record_index_v2,101a0d0101eb,2017-08-25T02:58:07.850Z,2017-08-25T02:58:06.000Z,808,fcffff078ffffa008dff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,30.0,1503629886.0,1.85,-113,250,-115,297.47941105226084,31,2017-08-25 10:58:06,1.046875,-3.28125,2.484375,4.24672438106713
556,556,AV4XU1GJ-R03vmj0SCRD,parking_record_index_v2,101a0d0101eb,2017-08-25T02:58:09.928Z,2017-08-25T02:58:09.000Z,809,fcffff078efffa008bff1f,yilan,宜蘭市中山路二段,1011,10.5.151.1,-76.0,29.5,1503629889.0,0.928,-114,250,-117,298.63857754817946,31,2017-08-25 10:58:09,0.046875,-3.28125,0.484375,3.317140028511006
