,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
985,985,AV4XZEbh-R03vmj0SEBP,parking_record_index_v2,101a0d01012a,2017-08-25T03:16:41.312Z,2017-08-25T03:16:40.000Z,1178,fcffff072efe92ffdbff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78.0,27.5,1503631000.0,1.3119999999999998,-466,-110,-37,480.2343178074637,39,2017-08-25 11:16:40,1.3731343283581623,0.04477611940298232,-3.388059701492537,3.656015772047778
986,986,AV4XZFIY-R03vmj0SEBf,parking_record_index_v2,101a0d01012a,2017-08-25T03:16:44.182Z,2017-08-25T03:16:43.000Z,1179,fcffff072efe90ffdbff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78.0,25.5,1503631003.0,1.182,-466,-112,-37,480.6963698635552,39,2017-08-25 11:16:43,1.3731343283581623,-1.9552238805970177,-3.388059701492537,4.145762517058856
987,987,AV4XZF2m-R03vmj0SEB1,parking_record_index_v2,101a0d01012a,2017-08-25T03:16:47.140Z,2017-08-25T03:16:46.000Z,1180,fcffff072ffe91ffdbff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-82.0,28.8,1503631006.0,1.14,-465,-111,-37,479.494525516194,39,2017-08-25 11:16:46,2.3731343283581623,-0.9552238805970177,-3.388059701492537,4.245370153870269
988,988,AV4XZGmn-R03vmj0SECL,parking_record_index_v2,101a0d01012a,2017-08-25T03:16:50.214Z,2017-08-25T03:16:49.000Z,1181,fcffff072ffe91ffddff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-76.0,24.5,1503631009.0,1.214,-465,-111,-35,479.3443438698321,39,2017-08-25 11:16:49,2.3731343283581623,-0.9552238805970177,-1.388059701492537,2.9104860311299077
989,989,AV4XZHUT-R03vmj0SECh,parking_record_index_v2,101a0d01012a,2017-08-25T03:16:53.138Z,2017-08-25T03:16:52.000Z,1182,fcffff072ffe8fffdbff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-81.0,29.5,1503631012.0,1.138,-465,-113,-37,479.96145678585486,39,2017-08-25 11:16:52,2.3731343283581623,-2.9552238805970177,-3.388059701492537,5.083705662777945
990,990,AV4XZIDi-R03vmj0SECy,parking_record_index_v2,101a0d01012a,2017-08-25T03:16:56.160Z,2017-08-25T03:16:55.000Z,1183,fcffff072efe90ffdcff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-80.0,28.0,1503631015.0,1.16,-466,-112,-36,480.6204323580095,39,2017-08-25 11:16:55,1.3731343283581623,-1.9552238805970177,-2.388059701492537,3.3780508351511096
991,991,AV4XZIyl-R03vmj0SEDE,parking_record_index_v2,101a0d01012a,2017-08-25T03:16:59.171Z,2017-08-25T03:16:58.000Z,1184,fcffff072efe8fffdcff26,yilan,宜蘭市中山路二段,1013,10.5.151.1,-81.0,25.5,1503631018.0,1.171,-466,-113,-36,480.85444783218963,38,2017-08-25 11:16:58,1.3731343283581623,-2.9552238805970177,-2.388059701492537,4.040009307669865
992,992,AV4XZJgp-R03vmj0SEDT,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:02.119Z,2017-08-25T03:17:01.000Z,1185,fcffff072efe8fffdcff26,yilan,宜蘭市中山路二段,1013,10.5.151.1,-77.0,25.0,1503631021.0,1.119,-466,-113,-36,480.85444783218963,38,2017-08-25 11:17:01,1.3731343283581623,-2.9552238805970177,-2.388059701492537,4.040009307669865
993,993,AV4XZKQO-R03vmj0SEDp,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:05.164Z,2017-08-25T03:17:04.000Z,1186,fcffff072efe8fffdeff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78.0,22.0,1503631024.0,1.164,-466,-113,-34,480.7088515931447,39,2017-08-25 11:17:04,1.3731343283581623,-2.9552238805970177,-0.3880597014925371,3.2816819468207146
994,994,AV4XZK_t-R03vmj0SED8,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:08.203Z,2017-08-25T03:17:07.000Z,1187,fcffff072dfe8fffe2ff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78.0,23.0,1503631027.0,1.203,-467,-113,-30,481.41250503076884,39,2017-08-25 11:17:07,0.3731343283581623,-2.9552238805970177,3.611940298507463,4.681740075167818
995,995,AV4XZL9l-R03vmj0SEEQ,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:12.163Z,2017-08-25T03:17:10.000Z,1188,fcffff072dfe93ffdfff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-73.0,26.2,1503631030.0,2.1630000000000003,-467,-109,-33,480.68596817464936,39,2017-08-25 11:17:10,0.3731343283581623,1.0447761194029823,0.6119402985074629,1.2669874883405339
996,996,AV4XZMcX-R03vmj0SEEf,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:14.134Z,2017-08-25T03:17:13.000Z,1189,fcffff072efe95ffe2ff26,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78.0,26.2,1503631033.0,1.134,-466,-107,-30,479.0668011874753,38,2017-08-25 11:17:13,1.3731343283581623,3.0447761194029823,3.611940298507463,4.919580492377829
997,997,AV4XZNLZ-R03vmj0SEEz,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:17.144Z,2017-08-25T03:17:16.000Z,1190,fcffff072dfe96ffe0ff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-81.0,23.8,1503631036.0,1.144,-467,-106,-32,479.94687205981455,39,2017-08-25 11:17:16,0.3731343283581623,4.044776119402982,1.611940298507463,4.3701023568154875
998,998,AV4XZN6D-R03vmj0SEFI,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:20.129Z,2017-08-25T03:17:19.000Z,1191,fcffff072efe96ffdeff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78.0,32.0,1503631039.0,1.129,-466,-106,-34,479.11167800419975,39,2017-08-25 11:17:19,1.3731343283581623,4.044776119402982,-0.3880597014925371,4.289091054259719
999,999,AV4XZOo_-R03vmj0SEFd,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:23.134Z,2017-08-25T03:17:22.000Z,1192,fcffff072efe95ffdeff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-76.0,23.0,1503631042.0,1.134,-466,-107,-34,479.33391284155977,39,2017-08-25 11:17:22,1.3731343283581623,3.0447761194029823,-0.3880597014925371,3.362551090009605
1000,1000,AV4XZPYY-R03vmj0SEFv,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:26.166Z,2017-08-25T03:17:25.000Z,1193,fcffff072efe94ffdbff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-75.0,28.8,1503631045.0,1.166,-466,-108,-37,479.78015798905227,39,2017-08-25 11:17:25,1.3731343283581623,2.0447761194029823,-3.388059701492537,4.188741553626105
1001,1001,AV4XZQHm-R03vmj0SEGL,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:29.188Z,2017-08-25T03:17:28.000Z,1194,fcffff072ffe93ffdbff26,yilan,宜蘭市中山路二段,1013,10.5.151.1,-78.0,24.5,1503631048.0,1.188,-465,-109,-37,479.03548929072053,38,2017-08-25 11:17:28,2.3731343283581623,1.0447761194029823,-3.388059701492537,4.266412101635799
1002,1002,AV4XZQ2L-R03vmj0SEGd,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:32.170Z,2017-08-25T03:17:31.000Z,1195,fcffff072efe92ffdaff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-76.0,24.5,1503631051.0,1.17,-466,-110,-38,480.31239834091315,39,2017-08-25 11:17:31,1.3731343283581623,0.04477611940298232,-4.388059701492537,4.598105123683797
1003,1003,AV4XZRkr-R03vmj0SEGv,parking_record_index_v2,101a0d01012a,2017-08-25T03:17:35.145Z,2017-08-25T03:17:34.000Z,1196,fcffff072efe92ffdaff27,yilan,宜蘭市中山路二段,1013,10.5.151.1,-75.0,25.5,1503631054.0,1.145,-466,-110,-38,480.31239834091315,39,2017-08-25 11:17:34,1.3731343283581623,0.04477611940298232,-4.388059701492537,4.598105123683797
