,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1782,1782,AV4XhGKT-R03vmj0SHVw,parking_record_index_v2,101a0d0100c0,2017-08-25T03:51:45.554Z,2017-08-25T03:51:44.000Z,1312,fcffff077eff68008aff22,yilan,宜蘭市中山路二段,1015,10.5.181.21,-139.3,-16.3,1503633104.0,1.554,-130,104,-118,204.0588150509554,34,2017-08-25 11:51:44,-0.8387096774193594,-2.548387096774192,5.951612903225808,6.5283540703492795
1786,1786,AV4XhHo7-R03vmj0SHWY,parking_record_index_v2,101a0d0100c0,2017-08-25T03:51:51.610Z,2017-08-25T03:51:50.000Z,1313,fcffff077dff6e008eff22,yilan,宜蘭市中山路二段,1015,10.5.181.21,-139.5,-16.5,1503633110.0,1.61,-131,110,-114,205.5650748546552,34,2017-08-25 11:51:50,-1.8387096774193594,3.451612903225808,9.951612903225808,10.692477930171327
1790,1790,AV4XhI_b-R03vmj0SHW7,parking_record_index_v2,101a0d0100c0,2017-08-25T03:51:57.146Z,2017-08-25T03:51:56.000Z,1314,fcffff077eff680089ff22,yilan,宜蘭市中山路二段,1015,10.5.151.1,-95.0,21.2,1503633116.0,1.146,-130,104,-119,204.6387060162373,34,2017-08-25 11:51:56,-0.8387096774193594,-2.548387096774192,4.951612903225808,5.631712089710765
1792,1792,AV4XhKfa-R03vmj0SHXd,parking_record_index_v2,101a0d0100c0,2017-08-25T03:52:03.288Z,2017-08-25T03:52:02.000Z,1315,fcffff077dff700089ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-112.8,-5.8,1503633122.0,1.288,-131,112,-119,209.44211610848475,34,2017-08-25 11:52:02,-1.8387096774193594,5.451612903225808,4.951612903225808,7.590744816409391
1793,1793,AV4XhL9E-R03vmj0SHYC,parking_record_index_v2,101a0d0100c0,2017-08-25T03:52:09.282Z,2017-08-25T03:52:08.000Z,1316,fcffff077dff710088ff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-93.0,8.8,1503633128.0,1.2819999999999998,-131,113,-120,210.5469068877527,34,2017-08-25 11:52:08,-1.8387096774193594,6.451612903225808,3.951612903225808,7.785846573613305
1796,1796,AV4XhNYw-R03vmj0SHYr,parking_record_index_v2,101a0d0100c0,2017-08-25T03:52:15.151Z,2017-08-25T03:52:14.000Z,1317,fcffff077dff6f0088ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-113.0,18.8,1503633134.0,1.151,-131,111,-120,209.4803093371785,35,2017-08-25 11:52:14,-1.8387096774193594,4.451612903225808,3.951612903225808,6.230004434584521
1798,1798,AV4XhO_7-R03vmj0SHZS,parking_record_index_v2,101a0d0100c0,2017-08-25T03:52:21.754Z,2017-08-25T03:52:20.000Z,1318,fcffff077eff68008bff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-87.0,12.5,1503633140.0,1.754,-130,104,-117,203.48218595248088,34,2017-08-25 11:52:20,-0.8387096774193594,-2.548387096774192,6.951612903225808,7.451351063686211
1802,1802,AV4XhQdO-R03vmj0SHZ8,parking_record_index_v2,101a0d0100c0,2017-08-25T03:52:27.724Z,2017-08-25T03:52:26.000Z,1319,fcffff077dff69008cff22,yilan,宜蘭市中山路二段,1015,192.168.88.113,-103.0,12.0,1503633146.0,1.724,-131,105,-116,204.06371554002442,34,2017-08-25 11:52:26,-1.8387096774193594,-1.5483870967741922,7.951612903225808,8.307015326941414
1805,1805,AV4XhSeE-R03vmj0SHa2,parking_record_index_v2,101a0d0100c0,2017-08-25T03:52:35.971Z,2017-08-25T03:52:32.000Z,1320,fcffff077dff6e008fff22,yilan,宜蘭市中山路二段,1015,10.5.180.38,-90.0,13.8,1503633152.0,3.971,-131,110,-113,205.01219475923858,34,2017-08-25 11:52:32,-1.8387096774193594,3.451612903225808,10.951612903225808,11.628942776265283
1809,1809,AV4XhTPL-R03vmj0SHbH,parking_record_index_v2,101a0d0100c0,2017-08-25T03:52:39.114Z,2017-08-25T03:52:38.000Z,1321,fcffff077dff6f008aff22,yilan,宜蘭市中山路二段,1015,10.5.181.21,-140.8,-17.8,1503633158.0,1.114,-131,111,-118,208.34106652314134,34,2017-08-25 11:52:38,-1.8387096774193594,4.451612903225808,5.951612903225808,7.656331162367915
