,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1536,1536,AV4XhFnc-R03vmj0SHVh,parking_record_index_v2,101a0d0101eb,2017-08-25T03:51:43.323Z,2017-08-25T03:51:42.000Z,1839,fcffff0788ffff008fff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-74.0,23.0,1503633102.0,1.3230000000000002,-120,255,-113,303.6346488792081,33,2017-08-25 11:51:42,-5.953125,1.71875,4.484375,7.6487527067326475
1537,1537,AV4XhGWZ-R03vmj0SHV1,parking_record_index_v2,101a0d0101eb,2017-08-25T03:51:46.328Z,2017-08-25T03:51:45.000Z,1840,fcffff0788ff000192ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,30.0,1503633105.0,1.328,-120,256,-110,303.3743562003881,33,2017-08-25 11:51:45,-5.953125,2.71875,7.484375,9.942191306183462
1538,1538,AV4XhHEm-R03vmj0SHWH,parking_record_index_v2,101a0d0101eb,2017-08-25T03:51:49.284Z,2017-08-25T03:51:48.000Z,1841,fcffff0787fffc0093ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-75.0,27.0,1503633108.0,1.284,-121,252,-109,300.04333020415567,33,2017-08-25 11:51:48,-6.953125,-1.28125,8.484375,11.044101048467006
1539,1539,AV4XhH0W-R03vmj0SHWg,parking_record_index_v2,101a0d0101eb,2017-08-25T03:51:52.341Z,2017-08-25T03:51:51.000Z,1842,fcffff0788fffc008fff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-78.0,23.8,1503633111.0,1.341,-120,252,-113,301.1195775767494,33,2017-08-25 11:51:51,-5.953125,-1.28125,4.484375,7.562467716873243
1540,1540,AV4XhIjI-R03vmj0SHWw,parking_record_index_v2,101a0d0101eb,2017-08-25T03:51:55.334Z,2017-08-25T03:51:54.000Z,1843,fcffff0788ffff008eff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-74.0,27.0,1503633114.0,1.334,-120,255,-114,304.00822357298165,33,2017-08-25 11:51:54,-5.953125,1.71875,3.484375,7.108774013059495
1541,1541,AV4XhJRg-R03vmj0SHXC,parking_record_index_v2,101a0d0101eb,2017-08-25T03:51:58.303Z,2017-08-25T03:51:57.000Z,1844,fcffff0788ff000193ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,23.8,1503633117.0,1.3030000000000002,-120,256,-109,303.0132010325623,32,2017-08-25 11:51:57,-5.953125,2.71875,8.484375,10.715218988371166
1542,1542,AV4XhKAK-R03vmj0SHXT,parking_record_index_v2,101a0d0101eb,2017-08-25T03:52:01.289Z,2017-08-25T03:52:00.000Z,1845,fcffff0787fffe0093ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-74.0,23.8,1503633120.0,1.289,-121,254,-109,301.725040392739,32,2017-08-25 11:52:00,-6.953125,0.71875,8.484375,10.99305089448557
1543,1543,AV4XhKxl-R03vmj0SHXo,parking_record_index_v2,101a0d0101eb,2017-08-25T03:52:04.452Z,2017-08-25T03:52:03.000Z,1846,fcffff0788fffd0094ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-79.0,25.5,1503633123.0,1.452,-120,253,-108,300.12164200537086,32,2017-08-25 11:52:03,-5.953125,-0.28125,9.484375,11.201435977978448
1544,1544,AV4XhLgo-R03vmj0SHX2,parking_record_index_v2,101a0d0101eb,2017-08-25T03:52:07.463Z,2017-08-25T03:52:06.000Z,1847,fcffff0787fffd0094ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-77.0,26.2,1503633126.0,1.463,-121,253,-108,300.52287766491264,33,2017-08-25 11:52:06,-6.953125,-0.28125,9.484375,11.76343563627353
1545,1545,AV4XhMNY-R03vmj0SHYN,parking_record_index_v2,101a0d0101eb,2017-08-25T03:52:10.326Z,2017-08-25T03:52:09.000Z,1848,fcffff0788fffd0093ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-81.0,23.8,1503633129.0,1.3259999999999998,-120,253,-109,300.4829446075101,33,2017-08-25 11:52:09,-5.953125,-0.28125,8.484375,10.368385504443303
1546,1546,AV4XhM8U-R03vmj0SHYf,parking_record_index_v2,101a0d0101eb,2017-08-25T03:52:13.330Z,2017-08-25T03:52:12.000Z,1849,fcffff0788fffe0093ff20,yilan,宜蘭市中山路二段,1011,10.5.151.1,-74.0,24.5,1503633132.0,1.33,-120,254,-109,301.32540550043234,32,2017-08-25 11:52:12,-5.953125,0.71875,8.484375,10.389461870989757
1547,1547,AV4XhNpH-R03vmj0SHYy,parking_record_index_v2,101a0d0101eb,2017-08-25T03:52:16.198Z,2017-08-25T03:52:15.000Z,1850,fcffff0788ff000191ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-63.0,30.0,1503633135.0,1.198,-120,256,-111,303.7383742631148,33,2017-08-25 11:52:15,-5.953125,2.71875,6.484375,9.212948386306634
