,MagX,MagY,MagZ
0,0.0,0.0,0.0
1,-649.047619047619,-93.28571428571429,68.80952380952381
2,103.28,253.52,-339.16
3,-445.71875,-181.75,-126.15625
4,-472.0,-134.24242424242425,318.8181818181818
5,-312.05263157894734,-72.21052631578948,-96.10526315789474
6,-230.79166666666666,136.25,-142.08333333333334
7,-483.07142857142856,-154.85714285714286,45.642857142857146
8,-442.0,41.55555555555556,-25.194444444444443
9,-252.85,277.4,24.9
10,-186.36,97.48,-126.76
11,-523.1333333333333,-93.4,-6.4
12,-508.6470588235294,-164.02941176470588,128.14705882352942
13,-129.28947368421052,226.02631578947367,-129.07894736842104
