,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1957,1957,AV4YG2mP-R03vmj0SPwQ,parking_record_index_v2,101a0d010119,2017-08-25T06:36:43.278Z,2017-08-25T06:36:42.000Z,557,fcffff074afe3000f0ff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-80.0,28.0,1503643002.0,1.278,-438,48,-16,440.91268976975476,44,2017-08-25 14:36:42,4.030303030302946,5.984848484848477,9.181818181818183,11.67765126327333
1958,1958,AV4YG3VA-R03vmj0SPwX,parking_record_index_v2,101a0d010119,2017-08-25T06:36:46.271Z,2017-08-25T06:36:45.000Z,558,fcffff074afe3100efff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-82.0,27.5,1503643005.0,1.271,-438,49,-17,441.0600866095232,44,2017-08-25 14:36:45,4.030303030302946,6.984848484848477,8.181818181818183,11.487976307108655
1959,1959,AV4YG4Dq-R03vmj0SPwd,parking_record_index_v2,101a0d010119,2017-08-25T06:36:49.257Z,2017-08-25T06:36:48.000Z,559,fcffff074bfe3100efff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-82.0,28.8,1503643008.0,1.2570000000000001,-437,49,-17,440.0670403472634,44,2017-08-25 14:36:48,5.030303030302946,6.984848484848477,8.181818181818183,11.875782319211467
1960,1960,AV4YG4y9-R03vmj0SPwj,parking_record_index_v2,101a0d010119,2017-08-25T06:36:52.284Z,2017-08-25T06:36:51.000Z,560,fcffff074afe3100ecff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.0,27.5,1503643011.0,1.284,-438,49,-20,441.1859018599757,44,2017-08-25 14:36:51,4.030303030302946,6.984848484848477,5.181818181818183,9.585545917775402
1961,1961,AV4YG5hY-R03vmj0SPwp,parking_record_index_v2,101a0d010119,2017-08-25T06:36:55.255Z,2017-08-25T06:36:54.000Z,561,fcffff074bfe2f00ecff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,28.0,1503643014.0,1.255,-437,47,-20,439.97499928973235,44,2017-08-25 14:36:54,5.030303030302946,4.984848484848477,5.181818181818183,8.775186759436671
1962,1962,AV4YG6Sd-R03vmj0SPwv,parking_record_index_v2,101a0d010119,2017-08-25T06:36:58.396Z,2017-08-25T06:36:57.000Z,562,fcffff074bfe2f00ecff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.0,25.5,1503643017.0,1.396,-437,47,-20,439.97499928973235,44,2017-08-25 14:36:57,5.030303030302946,4.984848484848477,5.181818181818183,8.775186759436671
1963,1963,AV4YG6_e-R03vmj0SPw0,parking_record_index_v2,101a0d010119,2017-08-25T06:37:01.277Z,2017-08-25T06:37:00.000Z,563,fcffff074bfe2e00e9ff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,25.5,1503643020.0,1.2770000000000001,-437,46,-23,440.0159088033068,44,2017-08-25 14:37:00,5.030303030302946,3.9848484848484773,2.1818181818181834,6.7781484641741665
1964,1964,AV4YG7vD-R03vmj0SPw7,parking_record_index_v2,101a0d010119,2017-08-25T06:37:04.322Z,2017-08-25T06:37:04.000Z,564,fcffff074bfe2c00eaff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,28.8,1503643024.0,0.322,-437,44,-22,439.7601619064648,44,2017-08-25 14:37:04,5.030303030302946,1.9848484848484773,3.1818181818181834,6.274355666252039
1965,1965,AV4YG8cu-R03vmj0SPxB,parking_record_index_v2,101a0d010119,2017-08-25T06:37:07.244Z,2017-08-25T06:37:06.000Z,565,fcffff074bfe2b00edff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,30.5,1503643026.0,1.244,-437,43,-19,439.521330540396,44,2017-08-25 14:37:06,5.030303030302946,0.9848484848484773,6.181818181818183,8.030488848621932
1966,1966,AV4YG9Lc-R03vmj0SPxH,parking_record_index_v2,101a0d010119,2017-08-25T06:37:10.234Z,2017-08-25T06:37:09.000Z,566,fcffff074cfe2c00ebff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-80.0,25.5,1503643029.0,1.234,-436,44,-21,438.7174489349609,44,2017-08-25 14:37:09,6.030303030302946,1.9848484848484773,4.181818181818183,7.60209059738644
1967,1967,AV4YG96O-R03vmj0SPxO,parking_record_index_v2,101a0d010119,2017-08-25T06:37:13.229Z,2017-08-25T06:37:12.000Z,567,fcffff074afe2b00ecff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-82.0,28.8,1503643032.0,1.229,-438,43,-20,440.5598710731607,44,2017-08-25 14:37:12,4.030303030302946,0.9848484848484773,5.181818181818183,6.638110327766401
1968,1968,AV4YG-qu-R03vmj0SPxS,parking_record_index_v2,101a0d010119,2017-08-25T06:37:16.333Z,2017-08-25T06:37:16.000Z,568,fcffff074bfe2d00ecff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.0,30.5,1503643036.0,0.33299999999999996,-437,45,-20,439.76584678667365,44,2017-08-25 14:37:16,5.030303030302946,2.9848484848484773,5.181818181818183,7.814378332509807
1969,1969,AV4YG_Y--R03vmj0SPxX,parking_record_index_v2,101a0d010119,2017-08-25T06:37:19.293Z,2017-08-25T06:37:18.000Z,569,fcffff074bfe2c00e9ff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-82.0,30.0,1503643038.0,1.2930000000000001,-437,44,-23,439.81132318302116,44,2017-08-25 14:37:18,5.030303030302946,1.9848484848484773,2.1818181818181834,5.83128653583347
1970,1970,AV4YHAH5-R03vmj0SPxb,parking_record_index_v2,101a0d010119,2017-08-25T06:37:22.296Z,2017-08-25T06:37:21.000Z,570,fcffff074bfe2d00e9ff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,30.0,1503643041.0,1.296,-437,45,-23,439.9124912979853,44,2017-08-25 14:37:21,5.030303030302946,2.9848484848484773,2.1818181818181834,6.242883919527069
1971,1971,AV4YHA1y-R03vmj0SPxh,parking_record_index_v2,101a0d010119,2017-08-25T06:37:25.233Z,2017-08-25T06:37:24.000Z,571,fcffff074bfe3000ecff2c,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,29.5,1503643044.0,1.2329999999999999,-437,48,-20,440.0829467270914,44,2017-08-25 14:37:24,5.030303030302946,5.984848484848477,5.181818181818183,9.379424269788078
