,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2742,2742,AV4YD39b-R03vmj0SOlx,parking_record_index_v2,101a0d0100cb,2017-08-25T06:23:42.426Z,2017-08-25T06:23:42.000Z,253,fcffff071dfe66ff2a0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-96,27.5,1503642222.0,0.426,-483,-154,42,508.6934243726765,39,2017-08-25 14:23:42,0.18181818181818699,-0.0757575757575637,-3.2727272727272734,3.278649243694304
2743,2743,AV4YD5cW-R03vmj0SOmX,parking_record_index_v2,101a0d0100cb,2017-08-25T06:23:48.501Z,2017-08-25T06:23:48.000Z,255,fcffff071dfe69ff2d0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-96,22.5,1503642228.0,0.501,-483,-151,45,508.0501943705957,39,2017-08-25 14:23:48,0.18181818181818699,2.9242424242424363,-0.2727272727272734,2.94255531337445
2744,2744,AV4YD6K_-R03vmj0SOms,parking_record_index_v2,101a0d0100cb,2017-08-25T06:23:51.486Z,2017-08-25T06:23:51.000Z,256,fcffff071dfe69ff2d0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-95,23.8,1503642231.0,0.486,-483,-151,45,508.0501943705957,39,2017-08-25 14:23:51,0.18181818181818699,2.9242424242424363,-0.2727272727272734,2.94255531337445
2745,2745,AV4YD65v-R03vmj0SOnH,parking_record_index_v2,101a0d0100cb,2017-08-25T06:23:54.477Z,2017-08-25T06:23:54.000Z,257,fcffff071dfe6aff310027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-96,22.5,1503642234.0,0.477,-483,-150,49,508.1240006140234,39,2017-08-25 14:23:54,0.18181818181818699,3.9242424242424363,3.7272727272727266,5.415283781939308
2746,2746,AV4YD7pA-R03vmj0SOnd,parking_record_index_v2,101a0d0100cb,2017-08-25T06:23:57.503Z,2017-08-25T06:23:57.000Z,258,fcffff071dfe69ff300027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-96,28.8,1503642237.0,0.503,-483,-151,48,508.3246993802288,39,2017-08-25 14:23:57,0.18181818181818699,2.9242424242424363,2.7272727272727266,4.002782549165588
2747,2747,AV4YD8Yb-R03vmj0SOn4,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:00.538Z,2017-08-25T06:24:00.000Z,259,fcffff071cfe67ff310027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-94,23.8,1503642240.0,0.5379999999999999,-484,-153,49,509.9666655772708,39,2017-08-25 14:24:00,-0.818181818181813,0.9242424242424363,3.7272727272727266,3.926347861543078
2748,2748,AV4YD9Gn-R03vmj0SOoM,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:03.494Z,2017-08-25T06:24:03.000Z,260,fcffff071cfe67ff320027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-97,28.8,1503642243.0,0.494,-484,-153,50,510.0637215093817,39,2017-08-25 14:24:03,-0.818181818181813,0.9242424242424363,4.727272727272727,4.88577045965008
2749,2749,AV4YD91c-R03vmj0SOop,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:06.491Z,2017-08-25T06:24:06.000Z,261,fcffff071dfe65ff310027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-94,23.0,1503642246.0,0.491,-483,-155,49,509.62240924041015,39,2017-08-25 14:24:06,0.18181818181818699,-1.0757575757575637,3.7272727272727266,3.883667621786207
2750,2750,AV4YD-lV-R03vmj0SOpB,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:09.556Z,2017-08-25T06:24:09.000Z,262,fcffff071dfe64ff300027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-96,28.0,1503642249.0,0.556,-483,-156,48,509.8323253776677,39,2017-08-25 14:24:09,0.18181818181818699,-2.0757575757575637,2.7272727272727266,3.432177718807726
2751,2751,AV4YD_Tt-R03vmj0SOpc,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:12.524Z,2017-08-25T06:24:12.000Z,263,fcffff071dfe63ff320027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-95,21.2,1503642252.0,0.524,-483,-157,50,510.3312649642386,39,2017-08-25 14:24:12,0.18181818181818699,-3.0757575757575637,4.727272727272727,5.6427342622248515
2752,2752,AV4YEACV-R03vmj0SOp1,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:15.508Z,2017-08-25T06:24:15.000Z,264,fcffff071dfe62ff2f0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-99,27.5,1503642255.0,0.508,-483,-158,47,510.3547785609536,39,2017-08-25 14:24:15,0.18181818181818699,-4.075757575757564,1.7272727272727266,4.430386974290734
2753,2753,AV4YEAw5-R03vmj0SOqN,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:18.488Z,2017-08-25T06:24:18.000Z,265,fcffff071dfe63ff2e0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-95,25.0,1503642258.0,0.488,-483,-157,46,509.9548999666539,39,2017-08-25 14:24:18,0.18181818181818699,-3.0757575757575637,0.7272727272727266,3.1657966036851493
2754,2754,AV4YEBe0-R03vmj0SOqi,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:21.427Z,2017-08-25T06:24:21.000Z,266,fcffff071dfe63ff2f0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-96,20.0,1503642261.0,0.4270000000000001,-483,-157,47,510.0460763499706,39,2017-08-25 14:24:21,0.18181818181818699,-3.0757575757575637,1.7272727272727266,3.5322533304464274
2755,2755,AV4YECPu-R03vmj0SOq-,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:24.557Z,2017-08-25T06:24:24.000Z,267,fcffff071cfe63ff2d0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-95,20.0,1503642264.0,0.557,-484,-157,45,510.8130773580489,39,2017-08-25 14:24:24,-0.818181818181813,-3.0757575757575637,-0.2727272727272734,3.194383558328993
2756,2756,AV4YEC8r-R03vmj0SOrW,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:27.434Z,2017-08-25T06:24:27.000Z,268,fcffff071dfe65ff2e0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-97,23.0,1503642267.0,0.434,-483,-155,46,509.3427137007066,39,2017-08-25 14:24:27,0.18181818181818699,-1.0757575757575637,0.7272727272727266,1.3111970991708957
2757,2757,AV4YEDsY-R03vmj0SOrt,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:30.487Z,2017-08-25T06:24:30.000Z,269,fcffff071dfe65ff2c0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-96,29.5,1503642270.0,0.487,-483,-155,44,509.1659847240387,39,2017-08-25 14:24:30,0.18181818181818699,-1.0757575757575637,-1.2727272727272734,1.676349284541639
2758,2758,AV4YEEbD-R03vmj0SOsI,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:33.474Z,2017-08-25T06:24:33.000Z,270,fcffff071dfe65ff2c0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-95,25.0,1503642273.0,0.474,-483,-155,44,509.1659847240387,39,2017-08-25 14:24:33,0.18181818181818699,-1.0757575757575637,-1.2727272727272734,1.676349284541639
2759,2759,AV4YEFKH-R03vmj0SOsi,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:36.486Z,2017-08-25T06:24:36.000Z,271,fcffff071efe66ff2d0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-95,23.0,1503642276.0,0.486,-482,-154,45,508.0009842510151,39,2017-08-25 14:24:36,1.181818181818187,-0.0757575757575637,-0.2727272727272734,1.2152421941530687
2760,2760,AV4YEF5b-R03vmj0SOs8,parking_record_index_v2,101a0d0100cb,2017-08-25T06:24:39.514Z,2017-08-25T06:24:39.000Z,272,fcffff071dfe65ff2a0027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-95,22.5,1503642279.0,0.514,-483,-155,42,508.99705303665564,39,2017-08-25 14:24:39,0.18181818181818699,-1.0757575757575637,-3.2727272727272734,3.4497907204194806
