,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT,mag_len,magX_WO_offset,magY_WO_offset,magZ_WO_offset,mag_len_WO_offset,SPE1_X,SPE1_Y,SPE1_Z,SPE1_T,SPE2_X,SPE2_Y,SPE2_Z,SPE2_T,SPE3_X,SPE3_Y,SPE3_Z,SPE3_T,SPE4_X,SPE4_Y,SPE4_Z,SPE4_T,SPE5_X,SPE5_Y,SPE5_Z,SPE5_T
0,0,AV2hxBK0-R03vmj0MM5A,parking_record_index_v2,101a0d01019a,2017-08-02T07:06:07.923Z,2017-08-02T07:06:07.000Z,447,fcffff070fff60005aff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,96,-166,38,307.98214233945447,0,0,0,0.0,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
1,1,AV2hxAbv-R03vmj0MM4_,parking_record_index_v2,101a0d01019a,2017-08-02T07:06:04.911Z,2017-08-02T07:06:04.000Z,446,fcffff070fff610059ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-167,38,308.83490735342724,0,1,-1,1.4142135623730951,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
2,2,AV2hw_s5-R03vmj0MM47,parking_record_index_v2,101a0d01019a,2017-08-02T07:06:01.910Z,2017-08-02T07:06:01.000Z,445,fcffff070fff610058ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-168,38,309.37679292409763,0,1,-2,2.23606797749979,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
3,3,AV2hw--e-R03vmj0MM44,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:58.941Z,2017-08-02T07:05:58.000Z,444,fcffff070fff610059ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-167,38,308.83490735342724,0,1,-1,1.4142135623730951,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
4,4,AV2hw-PB-R03vmj0MM42,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:55.905Z,2017-08-02T07:05:55.000Z,443,fcffff070fff610058ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-168,38,309.37679292409763,0,1,-2,2.23606797749979,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
5,5,AV2hw9ga-R03vmj0MM41,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:52.921Z,2017-08-02T07:05:52.000Z,442,fcffff070fff620057ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,98,-169,38,310.2353944990803,0,2,-3,3.605551275463989,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
6,6,AV2hw8xk-R03vmj0MM4x,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:49.923Z,2017-08-02T07:05:49.000Z,441,fcffff0710ff620058ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-240,98,-168,38,308.9142275778181,1,2,-2,3.0,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
7,7,AV2hw8CV-R03vmj0MM4r,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:46.901Z,2017-08-02T07:05:46.000Z,440,fcffff0712ff64005aff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-238,100,-166,38,306.9201850644561,3,4,0,5.0,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
8,8,AV2hw7Tp-R03vmj0MM4q,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:43.912Z,2017-08-02T07:05:43.000Z,439,fcffff0716ff6a0060ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-234,106,-160,38,302.64170234784234,7,10,6,13.601470508735444,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
9,9,AV2hw6kd-R03vmj0MM4j,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:40.893Z,2017-08-02T07:05:40.000Z,438,fcffff0713ff6c0067ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-237,108,-153,39,302.062907355405,4,12,13,18.138357147217054,-326.8,143.6,-337.6,39.0,-246.8,146.4,-191.2,39.0,-225.4,100.0,-223.8,39.0,-162.4,143.0,-248.0,39.0,-197.0,130.0,-189.8,38.0
