,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT,mag_len,magX_WO_offset,magY_WO_offset,magZ_WO_offset,mag_len_WO_offset,SPE1_X,SPE1_Y,SPE1_Z,SPE1_T,SPE2_X,SPE2_Y,SPE2_Z,SPE2_T,SPE3_X,SPE3_Y,SPE3_Z,SPE3_T,SPE4_X,SPE4_Y,SPE4_Z,SPE4_T,SPE5_X,SPE5_Y,SPE5_Z,SPE5_T
0,0,AV2hECIU-R03vmj0MKKY,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:35.379Z,2017-08-02T03:49:35.000Z,1250,fcffff072bff87005dff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,135,-163,47,300.2715437732986,0,0,0,0.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
1,1,AV2hEBYU-R03vmj0MKKV,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:32.307Z,2017-08-02T03:49:32.000Z,1249,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
2,2,AV2hEApq-R03vmj0MKKS,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:29.321Z,2017-08-02T03:49:29.000Z,1248,fcffff0729ff870061ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-215,135,-159,47,299.551331160454,-2,0,4,4.47213595499958,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
3,3,AV2hD_k--R03vmj0MKKK,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:24.924Z,2017-08-02T03:49:24.000Z,1247,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,192.168.88.113,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
4,4,AV2hD_kx-R03vmj0MKKJ,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:24.912Z,2017-08-02T03:48:09.000Z,1247,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,192.168.0.225,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
5,5,AV2hD_km-R03vmj0MKKI,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:24.901Z,2017-08-02T03:49:24.000Z,1247,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,192.168.0.3,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
6,6,AV2hD_kg-R03vmj0MKKH,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:24.895Z,2017-08-02T03:49:24.000Z,1247,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,10.5.180.16,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
7,7,AV2hD_kf-R03vmj0MKKG,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:24.893Z,2017-08-02T03:49:24.000Z,1247,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,192.168.88.150,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
8,8,AV2hD_kU-R03vmj0MKKF,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:24.883Z,2017-08-02T03:49:24.000Z,1247,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,192.168.88.122,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
9,9,AV2hD_je-R03vmj0MKKE,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:24.828Z,2017-08-02T03:49:24.000Z,1247,fcffff072bff87005eff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,135,-162,47,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
10,10,AV2hD-05-R03vmj0MKJ-,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:21.847Z,2017-08-02T03:49:21.000Z,1246,fcffff072bff87005eff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,135,-162,48,299.72987839052684,0,0,1,1.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
11,11,AV2hD-Fh-R03vmj0MKJ7,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:18.816Z,2017-08-02T03:49:18.000Z,1245,fcffff072bff86005fff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,134,-161,47,298.7406902315117,0,-1,2,2.23606797749979,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
12,12,AV2hD9W6-R03vmj0MKJ6,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:15.833Z,2017-08-02T03:49:15.000Z,1244,fcffff072bff850060ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,133,-160,47,297.75493278869453,0,-2,3,3.605551275463989,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
13,13,AV2hD8oJ-R03vmj0MKJ2,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:12.840Z,2017-08-02T03:49:12.000Z,1243,fcffff072bff850061ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,133,-159,47,297.21877464251816,0,-2,4,4.47213595499958,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
14,14,AV2hD75F-R03vmj0MKJx,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:09.828Z,2017-08-02T03:49:09.000Z,1242,fcffff072cff85005fff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,133,-161,47,297.5802412795581,1,-2,2,3.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
15,15,AV2hD7J4-R03vmj0MKJr,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:06.807Z,2017-08-02T03:49:06.000Z,1241,fcffff072cff87005eff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,135,-162,47,299.02006621629926,1,0,1,1.4142135623730951,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
16,16,AV2hD6b2-R03vmj0MKJq,parking_record_index_v2,101a0d01019a,2017-08-02T03:49:03.861Z,2017-08-02T03:49:03.000Z,1240,fcffff072cff89005eff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,137,-162,48,299.9283247711026,1,2,1,2.449489742783178,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
