,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT,mag_len,magX_WO_offset,magY_WO_offset,magZ_WO_offset,mag_len_WO_offset,SPE1_X,SPE1_Y,SPE1_Z,SPE1_T,SPE2_X,SPE2_Y,SPE2_Z,SPE2_T,SPE3_X,SPE3_Y,SPE3_Z,SPE3_T,SPE4_X,SPE4_Y,SPE4_Z,SPE4_T,SPE5_X,SPE5_Y,SPE5_Z,SPE5_T
0,0,AV2huRAr-R03vmj0MMrP,parking_record_index_v2,101a0d01019a,2017-08-02T06:54:06.378Z,2017-08-02T06:54:06.000Z,218,fcffff0706ff550052ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-250,85,-174,40,316.2293471517152,0,0,0,0.0,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
1,1,AV2huQTB-R03vmj0MMrO,parking_record_index_v2,101a0d01019a,2017-08-02T06:54:03.456Z,2017-08-02T06:54:03.000Z,217,fcffff0706ff550052ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-250,85,-174,40,316.2293471517152,0,0,0,0.0,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
2,2,AV2huPjI-R03vmj0MMrK,parking_record_index_v2,101a0d01019a,2017-08-02T06:54:00.392Z,2017-08-02T06:54:00.000Z,216,fcffff0706ff550052ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-250,85,-174,40,316.2293471517152,0,0,0,0.0,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
3,3,AV2huO0g-R03vmj0MMrG,parking_record_index_v2,101a0d01019a,2017-08-02T06:53:57.407Z,2017-08-02T06:53:57.000Z,215,fcffff0705ff560053ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-251,86,-173,40,316.7427978660288,-1,1,1,1.7320508075688772,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
4,4,AV2huOGd-R03vmj0MMrD,parking_record_index_v2,101a0d01019a,2017-08-02T06:53:54.461Z,2017-08-02T06:53:54.000Z,214,fcffff07fffe55005bff29,yilan,宜蘭市中山路二段,111,192.168.88.113,-257,85,-165,41,317.0157724782791,-7,0,9,11.40175425099138,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
5,5,AV2huOGa-R03vmj0MMrC,parking_record_index_v2,101a0d01019a,2017-08-02T06:53:54.457Z,2017-08-02T06:53:54.000Z,214,fcffff07fffe55005bff29,yilan,宜蘭市中山路二段,111,192.168.88.122,-257,85,-165,41,317.0157724782791,-7,0,9,11.40175425099138,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
6,6,AV2huOGS-R03vmj0MMrB,parking_record_index_v2,101a0d01019a,2017-08-02T06:53:54.449Z,2017-08-02T06:53:54.000Z,214,fcffff07fffe55005bff29,yilan,宜蘭市中山路二段,111,10.5.151.1,-257,85,-165,41,317.0157724782791,-7,0,9,11.40175425099138,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
7,7,AV2huOGK-R03vmj0MMrA,parking_record_index_v2,101a0d01019a,2017-08-02T06:53:54.441Z,2017-08-02T06:52:39.000Z,214,fcffff07fffe55005bff29,yilan,宜蘭市中山路二段,111,192.168.0.225,-257,85,-165,41,317.0157724782791,-7,0,9,11.40175425099138,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
8,8,AV2huOGI-R03vmj0MMq_,parking_record_index_v2,101a0d01019a,2017-08-02T06:53:54.439Z,2017-08-02T06:53:54.000Z,214,fcffff07fffe55005bff29,yilan,宜蘭市中山路二段,111,192.168.1.107,-257,85,-165,41,317.0157724782791,-7,0,9,11.40175425099138,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
9,9,AV2huOF3-R03vmj0MMq-,parking_record_index_v2,101a0d01019a,2017-08-02T06:53:54.422Z,2017-08-02T06:53:54.000Z,214,fcffff07fffe55005bff29,yilan,宜蘭市中山路二段,111,192.168.0.3,-257,85,-165,41,317.0157724782791,-7,0,9,11.40175425099138,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
