,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2ht7Cp-R03vmj0MMpK,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:36.392Z,2017-08-02T06:52:36.000Z,189,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
1,AV2ht6Tw-R03vmj0MMpG,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:33.391Z,2017-08-02T06:52:33.000Z,188,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
2,AV2ht5lA-R03vmj0MMpA,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:30.400Z,2017-08-02T06:52:30.000Z,187,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
3,AV2ht42A-R03vmj0MMo9,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:27.392Z,2017-08-02T06:52:27.000Z,186,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
4,AV2ht4Ha-R03vmj0MMo7,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:24.409Z,2017-08-02T06:52:24.000Z,185,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
5,AV2ht3Ya-R03vmj0MMo2,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:21.401Z,2017-08-02T06:52:21.000Z,184,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
6,AV2ht2qC-R03vmj0MMoy,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:18.433Z,2017-08-02T06:52:18.000Z,183,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
7,AV2ht16s-R03vmj0MMox,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:15.403Z,2017-08-02T06:52:15.000Z,182,fcffff070fff5d005bff29,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,41
8,AV2ht1MD-R03vmj0MMos,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:12.418Z,2017-08-02T06:52:12.000Z,181,fcffff070fff5d005bff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-165,40
9,AV2ht0cv-R03vmj0MMom,parking_record_index_v2,101a0d01019a,2017-08-02T06:52:09.389Z,2017-08-02T06:52:09.000Z,180,fcffff070fff5d005aff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,93,-166,40
