,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV3Kgov_-R03vmj0O1em,parking_record_index_v2,101a0d01019a,2017-08-10T04:58:59.454Z,2017-08-10T04:57:36.000Z,73,fcffff071aff95007cff30,yilan,宜蘭市中山路二段,1001,192.168.0.225,-102.0,1.2,1502341139.454,83.454,-230,149,-132,304.1792234851026,48
1,AV3Kgmjs-R03vmj0O1eT,parking_record_index_v2,101a0d01019a,2017-08-10T04:58:50.475Z,2017-08-10T04:58:50.000Z,70,fcffff0719ff95007cff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-71.0,20.0,1502341130.475,0.475,-231,149,-132,304.93605887136397,48
2,AV3KgnTG-R03vmj0O1eb,parking_record_index_v2,101a0d01019a,2017-08-10T04:58:53.509Z,2017-08-10T04:58:53.000Z,71,fcffff071aff93007bff30,yilan,宜蘭市中山路二段,1001,10.5.180.50,-95.0,15.0,1502341133.5089998,0.509,-230,147,-133,303.64123567131,48
3,AV3KgnSA-R03vmj0O1ea,parking_record_index_v2,101a0d01019a,2017-08-10T04:58:53.439Z,2017-08-10T04:58:53.000Z,71,fcffff071aff93007bff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,0.0,1502341133.439,0.439,-230,147,-133,303.64123567131,48
4,AV3KgowL-R03vmj0O1en,parking_record_index_v2,101a0d01019a,2017-08-10T04:58:59.466Z,2017-08-10T04:58:59.000Z,73,fcffff071aff95007cff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-78.0,-6.0,1502341139.466,0.466,-230,149,-132,304.1792234851026,48
5,AV3Kgov4-R03vmj0O1el,parking_record_index_v2,101a0d01019a,2017-08-10T04:58:59.447Z,2017-08-10T04:58:59.000Z,73,fcffff071aff95007cff30,yilan,宜蘭市中山路二段,1001,10.5.180.16,-106.0,9.5,1502341139.447,0.447,-230,149,-132,304.1792234851026,48
6,AV3Kgpff-R03vmj0O1es,parking_record_index_v2,101a0d01019a,2017-08-10T04:59:02.494Z,2017-08-10T04:59:02.000Z,74,fcffff071bff970079ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-75.0,25.0,1502341142.494,0.494,-229,151,-135,305.7237314962645,48
7,AV3KgqNb-R03vmj0O1ex,parking_record_index_v2,101a0d01019a,2017-08-10T04:59:05.434Z,2017-08-10T04:59:05.000Z,75,fcffff071cff970077ff30,yilan,宜蘭市中山路二段,1001,10.5.151.1,-70.0,25.0,1502341145.434,0.434,-228,151,-137,305.8659837248987,48
8,AV3Kgq9Z-R03vmj0O1ez,parking_record_index_v2,101a0d01019a,2017-08-10T04:59:08.504Z,2017-08-10T04:59:08.000Z,76,fcffff071cff960076ff2f,yilan,宜蘭市中山路二段,1001,10.5.180.50,-95.0,13.3,1502341148.504,0.504,-228,150,-138,305.8234784969918,47
9,AV3Kgq8l-R03vmj0O1ey,parking_record_index_v2,101a0d01019a,2017-08-10T04:59:08.452Z,2017-08-10T04:59:08.000Z,76,fcffff071cff960076ff2f,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,25.5,1502341148.4520001,0.452,-228,150,-138,305.8234784969918,47
10,AV3KhFUg-R03vmj0O1hS,parking_record_index_v2,101a0d01019a,2017-08-10T05:00:56.479Z,2017-08-10T04:59:33.000Z,105,fcffff071bff950078ff31,yilan,宜蘭市中山路二段,1001,192.168.0.225,-99.0,5.0,1502341256.479,83.479,-229,149,-136,305.1851896799712,49
