,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,Sideway,time
0,1,nisson,0,0,0,0,bluebird,0,0,189,-91,-162,206,-62,-254,312,-47,-225,322,-132,-130,0,3.7762415177,1.6,-3.3,0.9,187.4,-87.7,-162.9,265.0396196798,189,-91,-162,2.5553864678,1.3,2.2,0,204.7,-64.2,-254,332.86033107,206,-62,-254,2.513961018,-2.2,-0.2,-1.2,314.2,-46.8,-223.8,387.5280634999,312,-47,-225,4.9325449821,1.1,-3.4,3.4,320.9,-128.6,-133.4,371.4942799021,322,-132,-130,0,15:00.4
1,1,nisson,0,0,0,0,bluebird,0,0,188,-88,-162,205,-64,-253.5,314.5,-47.5,-223,321.5,-129,-132.5,0,2.8740215726,-0.4,2.7,0.9,187.4,-87.7,-162.9,261.6065748409,187,-85,-162,2.1748563171,-0.7,-1.8,1,204.7,-64.2,-254,331.6338342208,204,-66,-253,4.1376321731,2.8,-1.2,2.8,314.2,-46.8,-223.8,389.4021057981,317,-48,-221,3.0545048699,0.1,2.6,-1.6,320.9,-128.6,-133.4,370.3268826321,321,-126,-135,0,15:01.3
2,1,nisson,0,0,0,0,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,4.9050993874,-1.4,-2.3,-4.1,187.4,-87.7,-162.9,265.6783769899,186,-90,-167,1.3152946438,1.3,0.2,0,204.7,-64.2,-254,333.2386532202,206,-64,-254,3.0528675045,-1.2,2.8,-0.2,314.2,-46.8,-223.8,387.4028910579,313,-44,-224,3.7854986461,-0.9,-1.4,3.4,320.9,-128.6,-133.4,369.0528417449,320,-130,-130,0,15:02.3
3,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,2.7313000567,-0.4,2.7,-0.1,187.4,-87.7,-162.9,262.2270008981,187,-85,-163,4.2107006543,-3.7,0.2,2,204.7,-64.2,-254,328.6350559511,201,-64,-252,2.6305892876,-1.2,-2.2,0.8,314.2,-46.8,-223.8,387.4261219897,313,-49,-223,5.0129831438,-1.9,4.6,-0.6,320.9,-128.6,-133.4,367.5499965991,319,-124,-134,0,15:05.2
4,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,1.4352700094,-1.4,-0.3,-0.1,187.4,-87.7,-162.9,262.505238043,186,-88,-163,2.2203603311,1.3,-1.8,0,204.7,-64.2,-254,333.6285359498,206,-66,-254,2.9189039039,0.8,2.8,-0.2,314.2,-46.8,-223.8,389.0205650091,315,-44,-224,1.0630145813,-0.9,-0.4,0.4,320.9,-128.6,-133.4,369.7701989074,320,-129,-133,0,15:05.6
5,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,3.5580893749,1.6,-1.3,2.9,187.4,-87.7,-162.9,263.1387466718,189,-89,-160,2.3086792761,-0.7,2.2,0,204.7,-64.2,-254,331.6262957004,204,-62,-254,1.7088007491,-1.2,-1.2,-0.2,314.2,-46.8,-223.8,387.8775579999,313,-48,-224,2.9883105595,1.1,-1.4,2.4,320.9,-128.6,-133.4,371.1401352589,322,-130,-131,0,15:06.0
6,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,2.9427877939,-0.4,2.7,-1.1,187.4,-87.7,-162.9,262.8497669773,187,-85,-164,3.0545048699,-0.7,-2.8,-1,204.7,-64.2,-254,333.3616654626,204,-67,-255,4.2801869118,1.8,-2.2,-3.2,314.2,-46.8,-223.8,392.1555813705,316,-49,-227,1.7117242769,0.1,0.6,-1.6,320.9,-128.6,-133.4,371.0121291818,321,-128,-135,0,15:06.4
7,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,3.8548670535,0.6,-3.3,1.9,187.4,-87.7,-162.9,263.7157560708,188,-91,-161,2.7802877549,2.3,1.2,-1,204.7,-64.2,-254,334.4293647394,207,-63,-255,2.9189039039,-0.2,0.8,2.8,314.2,-46.8,-223.8,386.7208295399,314,-46,-221,2.8861739379,0.1,-2.4,-1.6,320.9,-128.6,-133.4,372.0577912099,321,-131,-135,0,15:06.9
8,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,3.1400636936,1.6,2.7,-0.1,187.4,-87.7,-162.9,263.656974116,189,-85,-163,2.9546573405,-1.7,2.2,-1,204.7,-64.2,-254,331.7800476219,203,-62,-255,2.7784887979,-1.2,-2.2,-1.2,314.2,-46.8,-223.8,388.5807509386,313,-49,-225,2.8861739379,1.1,0.6,-2.6,320.9,-128.6,-133.4,372.2418568619,322,-128,-136,0,15:07.3
9,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,1.8055470085,-1.4,-0.3,-1.1,187.4,-87.7,-162.9,263.1273455952,186,-88,-164,2.2203603311,1.3,-1.8,0,204.7,-64.2,-254,333.6285359498,206,-66,-254,3.3346664001,1.8,2.8,-0.2,314.2,-46.8,-223.8,389.8307324981,316,-44,-224,1.7117242769,0.1,0.6,-1.6,320.9,-128.6,-133.4,371.0121291818,321,-128,-135,0,15:07.7
