,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,Sideway,time
0,0.0,nisson,0,0,0,0,bluebird,0.0,0,190.0,-88.0,-164.0,206.0,-61.0,-253.0,314.0,-48.0,-227.0,324.0,-130.0,-133.0,1,0.0,0.0,0.0,0.0,190.0,-88.0,-164.0,265.969923111618,190,-88,-164,0.0,0.0,0.0,0.0,206.0,-61.0,-253.0,331.91263910854616,206,-61,-253,0.0,0.0,0.0,0.0,314.0,-48.0,-227.0,390.42156702723275,314,-48,-227,0.0,0.0,0.0,0.0,324.0,-130.0,-133.0,373.5839932331148,324,-130,-133,0.0,27:29.3
1,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-86.5,-162.5,206.0,-63.0,-253.5,315.5,-47.5,-224.5,323.0,-128.0,-133.0,1,2.345207879911715,-1.0,1.5,1.5,189.0,-86.5,-162.5,261.70594185077266,188,-85,-161,2.0615528128088303,0.0,-2.0,-0.5,206.0,-63.0,-253.5,333.4321520189677,206,-65,-254,2.958039891549808,1.5,0.5,2.5,315.5,-47.5,-224.5,389.8486885959731,317,-47,-222,2.23606797749979,-1.0,2.0,0.0,323.0,-128.0,-133.0,370.47132142717874,322,-126,-133,0.0,27:30.2
2,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,2.2638462845343543,0.0,-2.25,-0.25,189.0,-88.75,-162.75,265.6520280366781,189,-91,-163,2.0155644370746373,1.5,-0.5,-1.25,207.5,-63.5,-254.75,336.61996375735055,209,-64,-256,1.7853571071357126,-0.25,1.75,-0.25,315.25,-45.75,-224.75,389.59722791621607,315,-44,-225,1.8708286933869707,-1.0,-1.5,0.5,322.0,-129.5,-132.5,370.97978381577616,321,-131,-132,0.0,27:31.1
3,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,3.409545424246464,-1.0,2.75,1.75,189.0,-88.75,-162.75,262.0324407396916,188,-86,-161,5.921359641163505,-3.5,0.5,4.75,207.5,-63.5,-254.75,328.76283244916846,204,-63,-250,5.448623679425842,-2.25,-3.25,3.75,315.25,-45.75,-224.75,386.2783970143813,313,-49,-221,4.636809247747852,-1.0,4.5,-0.5,322.0,-129.5,-132.5,369.2627790611992,321,-125,-133,0.0,27:34.1
4,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,1.7677669529663689,-1.0,0.75,-1.25,189.0,-88.75,-162.75,264.5448922205832,188,-88,-164,2.6575364531836625,0.5,-2.5,0.75,207.5,-63.5,-254.75,334.86713783230505,208,-66,-254,2.8613807855648994,2.75,0.75,-0.25,315.25,-45.75,-224.75,392.14028102198324,318,-45,-225,4.415880433163924,-1.0,2.5,-3.5,322.0,-129.5,-132.5,371.03369119259236,321,-127,-136,0.0,27:34.5
5,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,5.303300858899107,2.0,-1.25,4.75,189.0,-88.75,-162.75,263.7138600832349,191,-90,-158,3.092329219213245,0.5,2.5,1.75,207.5,-63.5,-254.75,333.15762035409006,208,-61,-253,1.299038105676658,-1.25,-0.25,-0.25,315.25,-45.75,-224.75,389.0205650091008,314,-46,-225,5.1478150704935,2.0,-1.5,-4.5,322.0,-129.5,-132.5,375.37447968661905,324,-131,-137,0.0,27:34.9
6,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,5.0124844139408555,1.0,4.75,-1.25,189.0,-88.75,-162.75,264.67338362593244,190,-84,-164,3.944933459514875,-2.5,-2.5,1.75,207.5,-63.5,-254.75,332.24990594430574,205,-66,-253,4.9180788932265,1.75,-4.25,1.75,315.25,-45.75,-224.75,390.7915045135961,317,-50,-223,3.9370039370059056,1.0,3.5,-1.5,322.0,-129.5,-132.5,371.70014796876256,323,-126,-134,0.0,27:35.3
7,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,3.758324094593227,0.0,-0.25,3.75,189.0,-88.75,-162.75,262.53190282325687,189,-89,-159,1.6007810593582121,1.5,-0.5,-0.25,207.5,-63.5,-254.75,335.86008991840635,209,-64,-255,3.6996621467371855,-0.25,1.75,-3.25,315.25,-45.75,-224.75,391.33745029066665,315,-44,-228,0.7071067811865476,0.0,0.5,0.5,322.0,-129.5,-132.5,371.1455240198917,322,-129,-132,0.0,27:35.8
8,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,2.3717082451262845,1.0,1.75,-1.25,189.0,-88.75,-162.75,265.64073482807567,190,-87,-164,2.5617376914898995,-0.5,2.5,-0.25,207.5,-63.5,-254.75,334.0583781317271,207,-61,-255,9.310612224768036,-2.25,-2.25,8.75,315.25,-45.75,-224.75,383.3131878764413,313,-48,-216,4.743416490252569,0.0,1.5,4.5,322.0,-129.5,-132.5,369.39409849102896,322,-128,-128,0.0,27:36.2
9,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,5.667892024377317,-2.0,3.75,3.75,189.0,-88.75,-162.75,259.75950415721076,187,-85,-159,3.473110997362451,-1.5,-1.5,2.75,207.5,-63.5,-254.75,331.91113268463897,206,-65,-252,4.205650960315181,1.75,0.75,3.75,315.25,-45.75,-224.75,389.043699344945,317,-45,-221,3.6742346141747673,-1.0,3.5,0.5,322.0,-129.5,-132.5,369.24382188467285,321,-126,-132,0.0,27:36.6
