,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,Sideway,time
0,1,nisson,0,0,0,0,teana,0.0,0,177.0,-104.0,-157.0,199.0,-74.0,-244.0,304.0,-53.0,-194.0,318.0,-134.0,-111.0,0.0,0.0,0.0,0.0,0.0,177.0,-104.0,-157.0,258.44535205725794,177,-104,-157,0.0,0.0,0.0,0.0,199.0,-74.0,-244.0,323.43932970496957,199,-74,-244,0.0,0.0,0.0,0.0,304.0,-53.0,-194.0,364.5010288051325,304,-53,-194,0.0,0.0,0.0,0.0,318.0,-134.0,-111.0,362.49275854836054,318,-134,-111,0.0,18:24.2
1,1,nisson,0,0,0,0,teana,0.0,0,177.0,-104.0,-157.0,199.0,-74.0,-244.0,304.0,-53.0,-194.0,318.0,-134.0,-111.0,0.0,2.449489742783178,1.0,-2.0,-1.0,177.0,-104.0,-157.0,260.5455814248248,178,-106,-158,2.449489742783178,-1.0,-1.0,-2.0,199.0,-74.0,-244.0,324.56894491001447,198,-75,-246,3.3166247903554,-1.0,-1.0,-3.0,304.0,-53.0,-194.0,365.42304251374185,303,-54,-197,1.4142135623730951,1.0,0.0,-1.0,318.0,-134.0,-111.0,363.6770545415259,319,-134,-112,0.0,18:24.6
2,1,nisson,0,0,0,0,teana,0.0,0,177.5,-105.0,-158.0,198.0,-73.5,-245.0,303.5,-53.5,-197.0,318.5,-135.0,-110.5,0.0,1.5,0.5,-1.0,-1.0,177.5,-105.0,-158.0,261.1532117359463,178,-106,-159,1.5,-1.0,0.5,-1.0,198.0,-73.5,-245.0,323.50270478003733,197,-73,-246,3.082207001484488,-0.5,-0.5,-3.0,303.5,-53.5,-197.0,367.0490430446591,303,-54,-200,1.224744871391589,0.5,-1.0,0.5,318.5,-135.0,-110.5,363.8090158311088,319,-136,-110,0.0,18:25.0
3,1,nisson,0,0,0,0,teana,0.0,0,177.5,-105.0,-158.0,198.0,-73.5,-245.0,303.5,-53.5,-197.0,318.5,-135.0,-110.5,0.0,3.2015621187164243,-0.5,-1.0,3.0,177.5,-105.0,-158.0,258.0503826774919,177,-106,-155,1.118033988749895,1.0,-0.5,0.0,198.0,-73.5,-245.0,324.19438613276446,199,-74,-245,0.7071067811865476,-0.5,-0.5,0.0,303.5,-53.5,-197.0,365.42304251374185,303,-54,-197,1.224744871391589,0.5,-1.0,0.5,318.5,-135.0,-110.5,363.8090158311088,319,-136,-110,0.0,18:25.5
4,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,1.0307764064044151,0.25,0.0,1.0,177.75,-105.0,-157.0,258.93049260371015,178,-105,-156,1.14564392373896,0.5,-0.25,-1.0,198.5,-73.75,-246.0,325.70845859449213,199,-74,-247,0.3535533905932738,-0.25,-0.25,0.0,303.25,-53.75,-197.0,365.42304251374185,303,-54,-197,0.6123724356957945,0.25,-0.5,0.25,318.75,-135.5,-110.25,363.8090158311088,319,-136,-110,0.0,18:25.9
5,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.75,-0.75,0.0,0.0,177.75,-105.0,-157.0,258.84937705159734,177,-105,-157,2.7950849718747373,-1.5,-1.25,2.0,198.5,-73.75,-246.0,322.4437935516824,197,-75,-244,0.7905694150420949,0.75,-0.25,0.0,303.25,-53.75,-197.0,366.25264504164335,304,-54,-197,1.3693063937629153,1.25,0.5,0.25,318.75,-135.5,-110.25,364.3144246389374,320,-135,-110,0.0,18:26.3
6,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,1.25,-0.75,-1.0,0.0,177.75,-105.0,-157.0,259.25662961629354,177,-106,-157,1.14564392373896,0.5,-0.25,1.0,198.5,-73.75,-246.0,324.19438613276446,199,-74,-245,1.0606601717798212,-0.25,-0.25,1.0,303.25,-53.75,-197.0,364.88491336310415,303,-54,-196,2.318404623873926,0.25,-0.5,2.25,318.75,-135.5,-110.25,363.2093060481793,319,-136,-108,0.0,18:26.7
7,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,2.25,0.25,-1.0,-2.0,177.75,-105.0,-157.0,261.1532117359463,178,-106,-159,2.4109126902482387,-0.5,-1.25,2.0,198.5,-73.75,-246.0,323.05572274763995,198,-75,-244,0.7905694150420949,-0.25,0.75,0.0,303.25,-53.75,-197.0,365.276607518193,303,-53,-197,3.29772648956823,0.25,0.5,3.25,318.75,-135.5,-110.25,362.5396530036404,319,-135,-107,0.0,18:27.2
8,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,3.17214438511238,0.25,-1.0,3.0,177.75,-105.0,-157.0,258.13949717158744,178,-106,-154,0.5590169943749475,-0.5,-0.25,0.0,198.5,-73.75,-246.0,324.3393284817615,198,-74,-246,1.2747548783981961,-0.25,0.75,1.0,303.25,-53.75,-197.0,364.7382623197078,303,-53,-196,2.715695122800054,0.25,1.5,2.25,318.75,-135.5,-110.25,362.465170740583,319,-134,-108,0.0,18:27.6
9,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,1.6007810593582121,-0.75,-1.0,-1.0,177.75,-105.0,-157.0,259.8634256681767,177,-106,-158,1.6770509831248424,0.5,-1.25,1.0,198.5,-73.75,-246.0,324.4241051463346,199,-75,-245,1.0606601717798212,-0.25,-0.25,1.0,303.25,-53.75,-197.0,364.88491336310415,303,-54,-196,0.6123724356957945,0.25,-0.5,0.25,318.75,-135.5,-110.25,363.8090158311088,319,-136,-110,0.0,18:28.0
