time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
23:41.7,46,-199,-146,185,-24,-252,354,7,-244,454,-292,-167
23:42.1,44,-197,-149,190,-24,-250,354,6,-239,450,-292,-177
23:42.5,48,-199,-146,190,-24,-243,350,8,-246,454,-291,-182
23:42.9,49,-197,-144,184,-24,-250,352,7,-247,456,-291,-169
23:43.3,45,-199,-147,186,-23,-253,355,7,-243,452,-291,-173
23:43.8,46,-199,-154,191,-22,-247,353,7,-238,451,-291,-177
23:44.2,50,-196,-147,187,-22,-246,350,8,-246,456,-290,-178
23:44.6,48,-198,-141,184,-24,-251,354,9,-244,456,-290,-172
23:45.0,43,-199,-146,187,-22,-249,355,9,-238,450,-292,-176
23:45.5,45,-197,-151,190,-22,-246,349,6,-242,449,-291,-179
23:45.9,49,-199,-145,184,-26,-247,348,5,-248,455,-294,-178
23:46.3,46,-202,-140,184,-25,-254,356,5,-243,455,-292,-171
23:46.7,44,-200,-151,193,-26,-248,357,4,-240,452,-291,-181
23:47.1,51,-199,-151,193,-23,-245,354,6,-241,456,-292,-181
23:47.6,53,-199,-141,188,-22,-249,354,6,-245,460,-289,-176
23:48.0,48,-200,-140,187,-23,-253,357,7,-240,454,-289,-176
23:48.4,44,-199,-151,191,-23,-247,356,5,-238,451,-292,-176
23:48.8,50,-198,-148,190,-24,-244,351,6,-243,454,-289,-182
23:49.2,50,-198,-145,186,-22,-248,353,7,-246,457,-291,-176
23:49.7,46,-199,-147,187,-24,-252,358,6,-238,454,-290,-175
23:50.1,45,-199,-153,191,-22,-249,354,8,-240,451,-290,-182
23:50.5,50,-198,-149,190,-22,-245,350,6,-245,455,-289,-182
23:50.9,50,-198,-142,184,-22,-251,353,7,-246,458,-291,-171
23:51.4,45,-199,-146,187,-21,-253,358,7,-237,453,-290,-175
23:51.8,47,-198,-149,191,-23,-247,352,6,-242,452,-290,-180
23:52.2,51,-197,-145,188,-24,-245,350,8,-249,457,-291,-177
23:52.6,48,-199,-145,185,-23,-252,355,7,-243,457,-290,-173
23:53.0,44,-199,-149,190,-24,-251,357,6,-238,451,-287,-181
23:53.5,48,-197,-151,191,-23,-243,350,6,-245,453,-289,-182
23:53.9,51,-198,-144,186,-24,-248,352,6,-247,458,-289,-175
23:54.3,46,-199,-147,186,-22,-259,358,7,-240,454,-288,-174
23:54.7,46,-200,-151,191,-22,-249,355,7,-238,451,-290,-179
23:55.1,52,-198,-145,188,-24,-242,350,6,-247,456,-288,-183
23:55.6,49,-199,-141,185,-24,-251,354,6,-246,456,-290,-175
23:56.0,45,-198,-149,189,-22,-250,356,6,-238,451,-291,-178
23:56.4,51,-199,-143,187,-24,-247,350,7,-247,458,-289,-178
23:56.8,46,-198,-143,185,-23,-251,356,6,-243,455,-291,-174
23:57.3,45,-199,-149,190,-23,-244,355,7,-239,451,-292,-179
23:57.7,50,-197,-147,190,-23,-245,349,7,-245,455,-288,-182
23:58.1,50,-198,-142,185,-23,-249,354,6,-245,458,-289,-171
23:58.5,45,-199,-147,188,-23,-252,358,5,-238,452,-288,-176
23:58.9,48,-198,-148,192,-23,-246,352,5,-242,452,-287,-185
23:59.4,52,-197,-144,186,-24,-246,351,5,-247,457,-290,-177
23:59.8,46,-197,-143,186,-24,-254,357,6,-241,454,-288,-175
24:00.2,45,-199,-151,191,-23,-248,356,5,-239,450,-290,-180
24:00.6,50,-199,-148,189,-23,-244,351,5,-245,455,-290,-181
24:01.1,49,-199,-143,185,-23,-251,352,6,-249,458,-291,-171
24:01.5,45,-198,-147,188,-24,-252,357,6,-237,452,-290,-174
24:01.9,47,-199,-152,192,-23,-246,352,5,-241,452,-291,-181
24:02.3,52,-198,-143,187,-24,-247,351,5,-244,457,-289,-180
24:02.7,47,-200,-141,185,-24,-255,357,6,-245,456,-290,-178
24:03.2,44,-200,-148,191,-21,-250,356,6,-237,450,-292,-178
24:03.6,50,-198,-146,190,-23,-244,350,4,-246,455,-290,-179
24:04.0,49,-198,-142,185,-23,-252,354,5,-243,458,-290,-172
24:04.4,44,-199,-148,188,-23,-250,358,6,-237,452,-290,-177
24:04.9,47,-199,-151,192,-23,-246,353,6,-240,452,-288,-179
24:05.3,52,-198,-144,187,-23,-245,352,6,-246,457,-289,-175
24:05.7,48,-198,-143,184,-23,-254,355,7,-241,456,-289,-175
24:06.1,44,-201,-149,189,-24,-246,356,8,-237,451,-291,-179
24:06.5,48,-198,-149,191,-22,-242,351,6,-243,453,-288,-181
24:07.0,51,-199,-143,186,-23,-247,352,5,-247,458,-290,-177
24:07.4,45,-200,-147,186,-23,-250,358,8,-240,454,-289,-175
24:07.8,46,-198,-152,191,-23,-248,353,5,-241,451,-291,-181
24:08.2,50,-197,-148,188,-23,-246,351,8,-245,456,-290,-178
24:08.6,49,-198,-144,185,-24,-251,355,6,-243,458,-290,-170
24:09.1,44,-199,-144,188,-23,-253,357,6,-238,451,-291,-176
24:09.5,47,-199,-151,191,-22,-246,352,6,-242,452,-291,-177
24:09.9,51,-197,-144,186,-22,-246,351,6,-248,457,-289,-173
24:10.3,46,-198,-145,185,-23,-254,356,7,-240,455,-291,-171
24:10.8,45,-198,-151,191,-23,-249,356,7,-235,450,-291,-178
24:11.2,50,-197,-147,189,-23,-246,350,8,-247,456,-290,-181
24:11.6,50,-198,-143,185,-23,-251,355,7,-244,457,-289,-173
24:12.0,44,-199,-146,188,-23,-251,358,7,-236,451,-289,-177
24:12.4,49,-196,-147,191,-23,-245,350,6,-246,453,-290,-183
24:12.9,50,-198,-142,185,-23,-248,352,6,-246,458,-288,-173
24:13.3,45,-198,-145,187,-23,-251,358,6,-238,452,-288,-174
24:13.7,46,-198,-148,192,-23,-246,352,7,-241,451,-289,-180
24:14.1,50,-197,-144,188,-22,-247,350,6,-250,457,-289,-178
24:14.5,47,-198,-143,185,-23,-253,357,7,-242,455,-289,-173
