time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
14:19.6,49,-199,-151,195,-23,-248,359,5,-242,457,-295,-181
14:20.0,54,-198,-142,192,-25,-245,356,7,-250,462,-298,-172
14:20.4,52,-198,-143,188,-23,-254,362,8,-244,462,-292,-170
14:20.8,47,-197,-153,194,-23,-252,361,7,-239,457,-290,-180
14:21.2,51,-198,-150,193,-22,-247,356,8,-246,460,-299,-175
14:21.7,54,-198,-143,188,-23,-250,357,8,-249,463,-299,-167
14:22.1,47,-199,-145,190,-23,-254,361,7,-244,457,-298,-169
14:22.5,49,-198,-153,194,-23,-246,356,7,-246,456,-298,-175
14:22.9,53,-197,-143,189,-24,-247,355,6,-250,462,-299,-167
14:23.4,49,-197,-145,187,-25,-254,361,8,-248,460,-300,-166
14:23.8,46,-198,-151,193,-22,-249,360,7,-242,455,-300,-172
14:24.2,52,-197,-149,193,-22,-245,355,9,-250,461,-299,-174
14:24.6,53,-198,-142,187,-23,-250,357,7,-252,462,-301,-166
14:25.0,47,-199,-149,190,-23,-253,362,8,-242,457,-300,-169
14:25.5,49,-198,-154,193,-23,-248,356,6,-243,455,-300,-174
14:25.9,54,-198,-143,189,-24,-247,355,7,-250,462,-300,-170
14:26.3,50,-200,-145,188,-25,-253,362,7,-244,460,-300,-169
14:26.7,47,-200,-150,194,-26,-249,360,5,-242,457,-301,-173
14:27.1,53,-199,-146,194,-24,-241,356,6,-250,461,-301,-172
14:27.6,54,-200,-141,188,-24,-254,360,5,-248,463,-299,-164
14:28.0,48,-198,-150,191,-23,-252,363,7,-240,457,-298,-171
14:28.4,50,-198,-152,195,-23,-245,356,7,-248,458,-299,-176
14:28.8,54,-200,-148,189,-23,-252,356,7,-250,463,-300,-170
14:29.3,48,-199,-142,189,-22,-257,361,7,-243,458,-300,-168
14:29.7,47,-198,-154,194,-23,-252,359,6,-243,455,-300,-176
14:30.1,52,-198,-147,191,-23,-246,355,7,-250,460,-300,-174
14:30.5,51,-198,-142,187,-24,-254,358,7,-250,461,-300,-167
14:30.9,46,-199,-150,192,-22,-254,361,7,-242,455,-299,-171
14:31.4,50,-198,-150,193,-22,-245,355,7,-246,458,-301,-175
14:31.8,53,-199,-142,188,-23,-250,355,7,-252,461,-299,-168
14:32.2,48,-199,-148,187,-22,-254,362,6,-243,457,-299,-169
14:32.6,47,-198,-152,193,-22,-247,358,6,-242,456,-298,-177
14:33.0,53,-197,-146,191,-24,-248,354,7,-254,461,-299,-173
14:33.5,50,-199,-141,186,-24,-254,358,6,-246,461,-300,-167
14:33.9,46,-199,-149,191,-22,-254,361,7,-240,455,-300,-173
14:34.3,51,-197,-152,193,-23,-248,356,7,-246,457,-300,-176
14:34.7,54,-198,-144,188,-23,-248,356,7,-251,462,-301,-167
14:35.2,47,-198,-146,187,-24,-253,362,7,-247,457,-301,-167
14:35.6,47,-198,-154,193,-23,-246,359,6,-241,455,-299,-176
14:36.0,53,-197,-145,190,-25,-246,354,6,-252,460,-301,-170
14:36.4,50,-198,-144,186,-23,-253,359,8,-246,460,-298,-167
14:36.8,46,-199,-148,191,-22,-254,361,6,-240,455,-299,-174
14:37.3,50,-199,-151,193,-23,-248,354,8,-248,457,-298,-174
14:37.7,53,-196,-142,188,-23,-250,356,7,-251,462,-298,-169
14:38.1,47,-200,-146,188,-25,-255,362,8,-245,458,-300,-167
14:38.5,47,-197,-153,194,-24,-248,356,8,-246,455,-301,-173
14:38.9,53,-197,-145,190,-25,-246,354,6,-249,460,-300,-169
14:39.4,50,-198,-146,187,-24,-255,359,8,-250,462,-299,-165
14:39.8,46,-198,-152,191,-22,-254,361,7,-240,456,-300,-172
14:40.2,50,-198,-151,193,-24,-246,355,7,-246,458,-300,-172
14:40.6,53,-198,-145,188,-24,-249,356,8,-251,462,-300,-168
14:41.0,48,-198,-148,189,-22,-254,361,6,-242,457,-300,-167
14:41.5,48,-197,-151,194,-24,-249,357,7,-245,455,-298,-176
14:41.9,53,-197,-148,190,-24,-247,355,7,-250,462,-300,-170
14:42.3,51,-198,-143,186,-24,-255,359,8,-248,460,-300,-165
14:42.7,46,-198,-148,192,-25,-252,361,6,-242,455,-300,-173
14:43.2,51,-196,-151,193,-24,-243,355,6,-246,458,-299,-174
14:43.6,53,-197,-143,188,-24,-253,356,6,-250,462,-300,-165
14:44.0,48,-199,-147,188,-24,-256,360,8,-246,457,-300,-169
14:44.4,48,-197,-149,194,-23,-249,358,8,-241,455,-300,-171
14:44.8,53,-198,-146,189,-23,-247,354,6,-251,462,-299,-170
14:45.3,50,-198,-141,187,-24,-253,360,9,-246,459,-298,-165
14:45.7,46,-198,-154,193,-22,-253,359,7,-244,455,-299,-172
14:46.1,52,-198,-150,193,-22,-243,353,7,-248,459,-299,-172
14:46.5,52,-198,-144,187,-24,-251,357,7,-250,462,-299,-166
14:46.9,46,-197,-148,189,-24,-254,362,6,-244,457,-300,-168
14:47.4,49,-198,-152,193,-23,-248,356,8,-244,456,-300,-175
14:47.8,53,-197,-146,189,-24,-247,354,6,-250,461,-300,-168
14:48.2,50,-199,-145,187,-23,-254,361,7,-242,457,-299,-166
14:48.6,47,-198,-151,193,-23,-246,358,7,-241,455,-300,-174
14:49.1,52,-196,-147,190,-23,-246,354,8,-251,460,-300,-170
14:49.5,50,-198,-142,188,-23,-255,359,7,-245,460,-300,-163
14:49.9,46,-199,-152,191,-23,-255,360,8,-243,455,-297,-172
14:50.3,51,-198,-152,194,-23,-243,354,7,-248,458,-301,-172
14:50.7,53,-198,-143,188,-23,-251,358,6,-247,462,-299,-166
14:51.2,47,-197,-148,189,-23,-258,361,7,-242,457,-300,-168
14:51.6,48,-198,-151,194,-23,-245,357,7,-245,456,-299,-174
14:52.0,53,-196,-146,190,-24,-246,354,7,-250,461,-299,-173
14:52.4,50,-200,-143,187,-24,-251,360,8,-245,461,-299,-164
14:52.8,46,-198,-149,192,-22,-256,361,8,-238,455,-300,-172
14:53.3,51,-197,-150,193,-22,-247,356,7,-245,458,-301,-172
14:53.7,54,-197,-143,187,-23,-249,356,8,-251,462,-300,-166
14:54.1,48,-199,-144,188,-23,-254,362,8,-243,458,-301,-165
14:54.5,48,-199,-152,194,-22,-249,358,7,-242,456,-299,-175
14:55.0,53,-197,-144,190,-22,-245,353,7,-252,461,-300,-172
14:55.4,51,-199,-140,187,-23,-251,359,7,-248,460,-301,-162
14:55.8,47,-197,-152,192,-23,-252,361,7,-241,456,-299,-175
14:56.2,50,-199,-153,193,-24,-245,355,6,-246,457,-299,-175
14:56.6,54,-197,-141,188,-23,-252,357,7,-248,462,-301,-166
14:57.1,47,-199,-147,188,-23,-255,361,7,-242,457,-299,-167
14:57.5,47,-197,-152,194,-22,-247,356,5,-243,456,-299,-170
14:57.9,53,-198,-143,190,-24,-246,353,8,-250,461,-298,-171
14:58.3,50,-198,-143,187,-23,-256,361,8,-244,458,-299,-164
14:58.7,47,-198,-151,193,-23,-249,359,7,-245,454,-299,-174
14:59.2,52,-197,-147,192,-24,-244,354,6,-249,459,-300,-173
14:59.6,52,-198,-145,187,-23,-251,357,7,-248,461,-300,-164
15:00.0,46,-198,-150,189,-23,-252,361,7,-239,455,-301,-170
15:00.4,49,-198,-151,193,-21,-244,356,6,-243,455,-300,-174
15:00.9,53,-197,-142,189,-23,-247,355,6,-249,461,-299,-168
15:01.3,48,-200,-146,187,-22,-256,358,8,-246,459,-299,-165
15:01.7,46,-198,-152,192,-24,-247,359,6,-241,454,-300,-172
15:02.1,52,-197,-150,192,-23,-246,354,7,-248,458,-300,-172
15:02.5,52,-197,-141,187,-25,-249,356,8,-250,462,-300,-165
15:03.0,46,-199,-145,189,-22,-252,361,8,-240,456,-300,-167
15:03.4,48,-197,-151,193,-23,-246,356,7,-242,455,-298,-174
15:03.8,53,-197,-145,189,-23,-244,354,7,-248,460,-299,-168
15:04.2,49,-199,-139,187,-23,-253,360,8,-244,458,-301,-165
15:04.6,46,-198,-149,192,-23,-248,359,6,-239,453,-300,-169
15:05.1,52,-197,-144,189,-22,-244,352,8,-247,458,-298,-171
15:05.5,50,-196,-139,184,-22,-253,356,8,-243,457,-298,-161
15:05.9,43,-194,-145,185,-19,-250,356,11,-237,448,-297,-164
15:06.3,42,-193,-147,184,-19,-242,343,13,-239,439,-292,-168
15:06.8,34,-187,-139,160,-11,-249,317,23,-258,415,-275,-187
15:07.2,-5,-179,-192,164,-1,-331,399,15,-313,519,-309,-181
15:07.6,84,-228,-145,204,-88,-227,381,-52,-232,487,-342,-120
15:08.0,93,-204,-91,206,9,-167,362,75,-201,468,-224,-131
15:08.4,62,-121,-125,211,51,-227,378,83,-209,470,-220,-129
15:08.9,61,-115,-124,202,56,-211,361,89,-201,454,-216,-135
15:09.3,47,-108,-115,176,64,-209,336,101,-219,441,-197,-145
15:09.7,29,-94,-126,159,83,-234,329,118,-241,431,-180,-166
15:10.1,19,-80,-155,162,95,-260,328,128,-252,427,-175,-184
15:10.6,21,-78,-155,159,92,-271,331,122,-264,428,-172,-178
15:11.0,24,-75,-175,167,100,-269,333,129,-277,443,-170,-208
15:11.4,39,-74,-183,172,101,-284,342,131,-291,450,-170,-203
15:11.8,31,-64,-173,172,101,-291,348,130,-290,443,-171,-198
15:12.3,33,-75,-194,175,100,-282,342,130,-284,441,-171,-209
15:12.7,38,-74,-187,173,95,-291,341,126,-299,449,-175,-216
15:13.1,35,-82,-193,172,96,-299,347,125,-300,447,-173,-213
15:13.5,33,-80,-200,178,96,-297,349,122,-299,445,-178,-227
15:13.9,41,-86,-207,179,91,-298,343,120,-304,450,-178,-226
15:14.4,41,-84,-197,174,91,-302,347,120,-307,453,-177,-220
15:14.8,35,-88,-199,177,90,-305,352,121,-299,446,-179,-221
15:15.2,39,-85,-208,180,92,-300,345,119,-304,447,-178,-228
15:15.6,42,-85,-201,175,92,-302,345,121,-308,453,-178,-220
15:16.0,37,-85,-200,176,91,-305,350,121,-302,449,-178,-221
15:16.5,36,-87,-208,181,91,-303,347,121,-299,445,-171,-236
15:16.9,42,-85,-206,176,91,-298,343,119,-306,452,-179,-224
15:17.3,38,-85,-200,174,91,-305,349,120,-305,451,-179,-219
15:17.7,34,-86,-208,179,91,-303,350,120,-300,445,-179,-222
15:18.2,40,-86,-209,180,91,-297,344,121,-303,450,-171,-238
15:18.6,41,-84,-203,174,90,-301,346,120,-309,455,-169,-234
15:19.0,35,-85,-204,176,90,-308,351,121,-301,447,-178,-220
15:19.4,39,-86,-210,181,90,-299,345,120,-301,447,-178,-226
15:19.8,42,-86,-202,176,91,-298,344,119,-308,453,-177,-223
15:20.3,36,-87,-203,175,91,-308,350,121,-303,450,-178,-218
15:20.7,36,-85,-209,180,90,-303,347,120,-299,445,-178,-225
15:21.1,42,-84,-205,178,91,-298,344,118,-306,452,-177,-227
15:21.5,40,-86,-199,173,90,-304,348,119,-307,451,-176,-221
15:22.0,35,-86,-208,179,91,-304,349,120,-301,446,-173,-231
15:22.4,41,-86,-208,180,91,-298,343,120,-305,449,-177,-230
15:22.8,41,-85,-203,174,89,-301,346,120,-310,451,-178,-220
15:23.2,36,-85,-203,176,91,-310,352,120,-301,448,-180,-218
15:23.6,36,-86,-210,180,97,-289,345,126,-289,447,-179,-227
15:24.1,41,-80,-195,177,95,-288,343,126,-297,452,-175,-216
15:24.5,38,-81,-190,173,93,-297,348,125,-297,450,-173,-209
15:24.9,35,-81,-195,177,95,-299,349,124,-292,445,-177,-211
15:25.3,38,-80,-200,180,95,-292,344,124,-294,443,-174,-220
