time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
15:00.4,189,-91,-162,189,-91,-162,0,206,-62,-254,206,-62,-254,0,312,-47,-225,312,-47,-225,0,322,-132,-130,322,-132,-130,0
15:01.3,187,-85,-162,188,-88,-162,0,204,-66,-253,205,-64,-253.5,0,317,-48,-221,314.5,-47.5,-223,0,321,-126,-135,321.5,-129,-132.5,0
15:02.3,186,-90,-167,187,-89,-164.5,0,206,-64,-254,205.5,-64,-253.75,0,313,-44,-224,313.75,-45.75,-223.5,0,320,-130,-130,320.75,-129.5,-131.25,0
15:05.2,187,-85,-163,187,-89,-164.5,2,201,-64,-252,205.5,-64,-253.75,2,313,-49,-223,313.75,-45.75,-223.5,2,319,-124,-134,320.75,-129.5,-131.25,2
15:05.6,186,-88,-163,187,-89,-164.5,2,206,-66,-254,205.5,-64,-253.75,2,315,-44,-224,313.75,-45.75,-223.5,2,320,-129,-133,320.75,-129.5,-131.25,2
15:06.0,189,-89,-160,187,-89,-164.5,2,204,-62,-254,205.5,-64,-253.75,2,313,-48,-224,313.75,-45.75,-223.5,2,322,-130,-131,320.75,-129.5,-131.25,2
15:06.4,187,-85,-164,187,-89,-164.5,2,204,-67,-255,205.5,-64,-253.75,2,316,-49,-227,313.75,-45.75,-223.5,2,321,-128,-135,320.75,-129.5,-131.25,2
15:06.9,188,-91,-161,187,-89,-164.5,2,207,-63,-255,205.5,-64,-253.75,2,314,-46,-221,313.75,-45.75,-223.5,2,321,-131,-135,320.75,-129.5,-131.25,2
15:07.3,189,-85,-163,187,-89,-164.5,2,203,-62,-255,205.5,-64,-253.75,2,313,-49,-225,313.75,-45.75,-223.5,2,322,-128,-136,320.75,-129.5,-131.25,2
15:07.7,186,-88,-164,187,-89,-164.5,2,206,-66,-254,205.5,-64,-253.75,2,316,-44,-224,313.75,-45.75,-223.5,2,321,-128,-135,320.75,-129.5,-131.25,2
15:08.1,189,-90,-161,187,-89,-164.5,2,206,-62,-255,205.5,-64,-253.75,2,313,-49,-222,313.75,-45.75,-223.5,2,322,-131,-135,320.75,-129.5,-131.25,2
15:08.6,188,-84,-162,187,-89,-164.5,0,204,-66,-253,205.5,-64,-253.75,0,315,-51,-223,313.75,-45.75,-223.5,0,322,-126,-133,320.75,-129.5,-131.25,0
15:09.5,187,-90,-162,187,-89,-164.5,0,206,-65,-252,205.5,-64,-253.75,0,314,-44,-223,313.75,-45.75,-223.5,0,319,-130,-133,320.75,-129.5,-131.25,0
15:10.4,189,-86,-166,187,-89,-164.5,0,204,-61,-255,205.5,-64,-253.75,0,314,-50,-222,313.75,-45.75,-223.5,0,322,-128,-133,320.75,-129.5,-131.25,0
15:11.3,186,-87,-163,187,-89,-164.5,0,205,-66,-255,205.5,-64,-253.75,0,315,-46,-225,313.75,-45.75,-223.5,0,320,-128,-134,320.75,-129.5,-131.25,0
15:12.3,188,-89,-162,187,-89,-164.5,0,204,-61,-254,205.5,-64,-253.75,0,313,-48,-221,313.75,-45.75,-223.5,0,321,-131,-133,320.75,-129.5,-131.25,0
15:13.2,187,-85,-161,187,-88.8,-164.325,0,204,-66,-251,205.425,-64.1,-253.6125,0,315,-47,-222,313.8125,-45.8125,-223.425,0,321,-125,-135,320.7625,-129.275,-131.4375,0
15:16.1,188,-88,-159,187.05,-88.76,-164.05875,0,204,-60,-252,205.35375,-63.895,-253.531875,0,310,-47,-221,313.621875,-45.871875,-223.30375,0,320,-130,-129,320.724375,-129.31125,-131.315625,0
15:19.0,185,-90,-163,186.9475,-88.822,-164.0058125,0,205,-63,-254,205.3360625,-63.85025,-253.5552813,0,311,-44,-224,313.4907813,-45.77828125,-223.3385625,0,317,-130,-132,320.5381563,-129.3456875,-131.3498438,0
15:21.9,185,-84,-163,186.850125,-88.5809,-163.9555219,0,202,-65,-253,205.1692594,-63.9077375,-253.5275172,0,313,-49,-220,313.4662422,-45.93936719,-223.1716344,0,318,-125,-134,320.4112484,-129.1284031,-131.4823516,0
15:24.9,188,-88,-161,186.9076188,-88.551855,-163.8077458,0,203,-61,-256,205.0607964,-63.76235063,-253.6511413,0,310,-49,-219,313.2929301,-46.09239883,-222.9630527,0,320,-131,-133,320.390686,-129.221983,-131.558234,0
15:27.8,185,-90,-162,186.8122378,-88.62426225,-163.7173585,0,205,-64,-255,205.0577566,-63.77423309,-253.7185843,0,311,-44,-224,313.1782836,-45.98777889,-223.0149,0,318,-130,-133,320.2711517,-129.2608838,-131.6303223,0
15:30.7,185,-86,-164,186.7216259,-88.49304914,-163.7314906,0,204,-67,-250,205.0048688,-63.93552144,-253.532655,0,313,-45,-222,313.1693694,-45.93838994,-222.964155,0,317,-125,-132,320.1075941,-129.0478396,-131.6488062,0
15:33.6,187,-83,-162,186.7355446,-88.21839668,-163.644916,0,202,-65,-254,204.8546253,-63.98874537,-253.5560223,0,312,-50,-221,313.1109009,-46.14147045,-222.8659473,0,320,-124,-133,320.1022144,-128.7954476,-131.7163659,0
15:36.6,188,-88,-160,186.7987674,-88.20747685,-163.4626702,0,204,-60,-251,204.8118941,-63.7893081,-253.4282212,0,311,-49,-220,313.0053559,-46.28439692,-222.7226499,0,321,-131,-129,320.1471037,-128.9056753,-131.5805476,0
15:39.5,186,-87,-161,186.758829,-88.147103,-163.3395367,0,206,-67,-249,204.8712994,-63.94984269,-253.2068101,0,314,-45,-222,313.0550881,-46.22017708,-222.6865174,0,318,-129,-132,320.0397485,-128.9103915,-131.6015202,0
15:42.4,185,-84,-165,186.6708876,-87.93974785,-163.4225599,0,203,-66,-252,204.7777344,-64.05235056,-253.1464696,0,313,-47,-222,313.0523337,-46.25916822,-222.6521915,0,318,-125,-133,319.9377611,-128.7148719,-131.6714442,0
15:45.3,187,-84,-159,186.6873432,-87.74276046,-163.2014319,0,202,-65,-252,204.6388477,-64.09973303,-253.0891461,0,314,-50,-218,313.099717,-46.44620981,-222.419582,0,320,-126,-133,319.940873,-128.5791283,-131.737872,0
15:48.3,188,-89,-161,186.752976,-87.80562244,-163.0913603,0,204,-61,-252,204.6069053,-63.94474638,-253.0346888,0,311,-49,-220,312.9947311,-46.57389932,-222.2986029,0,321,-130,-131,319.9938294,-128.6501719,-131.7009784,0
15:51.2,186,-89,-160,186.7153272,-87.86534132,-162.9367923,0,207,-64,-251,204.72656,-63.94750906,-252.9329544,0,312,-45,-221,312.9449946,-46.49520436,-222.2336727,0,319,-130,-133,319.9441379,-128.7176633,-131.7659295,0
15:54.1,186,-85,-161,186.6795609,-87.72207425,-162.8399527,0,204,-67,-252,204.690232,-64.10013361,-252.8863067,0,313,-48,-221,312.9477449,-46.57044414,-222.1719891,0,319,-125,-132,319.896931,-128.5317802,-131.777633,0
15:57.0,188,-89,-159,186.7455828,-87.78597054,-162.647955,0,205,-61,-251,204.7057204,-63.94512693,-252.7919913,0,310,-48,-221,312.8003576,-46.64192193,-222.1133896,0,320,-130,-133,319.9020845,-128.6051911,-131.8387513,0
