time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
27:29.3,190,-88,-164,190,-88,-164,0,206,-61,-253,206,-61,-253,0,314,-48,-227,314,-48,-227,0,324,-130,-133,324,-130,-133,0
27:30.2,188,-85,-161,189,-86.5,-162.5,0,206,-65,-254,206,-63,-253.5,0,317,-47,-222,315.5,-47.5,-224.5,0,322,-126,-133,323,-128,-133,0
27:31.1,189,-91,-163,189,-88.75,-162.75,0,209,-64,-256,207.5,-63.5,-254.75,0,315,-44,-225,315.25,-45.75,-224.75,0,321,-131,-132,322,-129.5,-132.5,0
27:34.1,188,-86,-161,189,-88.75,-162.75,2,204,-63,-250,207.5,-63.5,-254.75,2,313,-49,-221,315.25,-45.75,-224.75,2,321,-125,-133,322,-129.5,-132.5,2
27:34.5,188,-88,-164,189,-88.75,-162.75,2,208,-66,-254,207.5,-63.5,-254.75,2,318,-45,-225,315.25,-45.75,-224.75,2,321,-127,-136,322,-129.5,-132.5,2
27:34.9,191,-90,-158,189,-88.75,-162.75,2,208,-61,-253,207.5,-63.5,-254.75,2,314,-46,-225,315.25,-45.75,-224.75,2,324,-131,-137,322,-129.5,-132.5,2
27:35.3,190,-84,-164,189,-88.75,-162.75,2,205,-66,-253,207.5,-63.5,-254.75,2,317,-50,-223,315.25,-45.75,-224.75,2,323,-126,-134,322,-129.5,-132.5,2
27:35.8,189,-89,-159,189,-88.75,-162.75,2,209,-64,-255,207.5,-63.5,-254.75,2,315,-44,-228,315.25,-45.75,-224.75,2,322,-129,-132,322,-129.5,-132.5,2
27:36.2,190,-87,-164,189,-88.75,-162.75,2,207,-61,-255,207.5,-63.5,-254.75,2,313,-48,-216,315.25,-45.75,-224.75,2,322,-128,-128,322,-129.5,-132.5,2
27:36.6,187,-85,-159,189,-88.75,-162.75,2,206,-65,-252,207.5,-63.5,-254.75,2,317,-45,-221,315.25,-45.75,-224.75,2,321,-126,-132,322,-129.5,-132.5,2
27:37.0,191,-91,-158,189,-88.75,-162.75,2,210,-62,-253,207.5,-63.5,-254.75,2,315,-46,-223,315.25,-45.75,-224.75,2,325,-133,-134,322,-129.5,-132.5,2
27:37.4,192,-86,-161,189,-88.75,-162.75,0,208,-64,-257,207.5,-63.5,-254.75,0,318,-50,-224,315.25,-45.75,-224.75,0,326,-127,-134,322,-129.5,-132.5,0
27:38.4,190,-90,-160,189,-88.75,-162.75,0,209,-66,-254,207.5,-63.5,-254.75,0,318,-46,-224,315.25,-45.75,-224.75,0,323,-130,-134,322,-129.5,-132.5,0
27:39.3,192,-88,-165,189,-88.75,-162.75,0,207,-63,-255,207.5,-63.5,-254.75,0,315,-50,-224,315.25,-45.75,-224.75,0,326,-130,-134,322,-129.5,-132.5,0
27:40.2,188,-86,-162,189,-88.75,-162.75,0,209,-65,-255,207.5,-63.5,-254.75,0,318,-48,-226,315.25,-45.75,-224.75,0,322,-127,-136,322,-129.5,-132.5,0
27:41.1,192,-91,-164,189,-88.75,-162.75,0,209,-62,-256,207.5,-63.5,-254.75,0,315,-47,-225,315.25,-45.75,-224.75,0,323,-132,-135,322,-129.5,-132.5,0
27:42.1,190,-85,-163,189.05,-88.5625,-162.7625,0,207,-66,-253,207.475,-63.625,-254.6625,0,318,-49,-222,315.3875,-45.9125,-224.6125,0,324,-125,-135,322.1,-129.275,-132.625,0
27:45.0,190,-88,-160,189.0975,-88.534375,-162.624375,0,207,-61,-250,207.45125,-63.49375,-254.429375,0,312,-49,-222,315.218125,-46.066875,-224.481875,0,322,-130,-132,322.095,-129.31125,-132.59375,0
