time,Mag1_X,Mag1_Y,Mag1_Z,Mag1_Len,Mag1_CarLen,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,Mag2_Len,Mag2_CarLen,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,Mag3_Len,Mag3_CarLen,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,Mag4_Len,Mag4_CarLen,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
18:24.2,177,-104,-157,258.4453521,0,177,-104,-157,0,199,-74,-244,323.4393297,0,199,-74,-244,0,304,-53,-194,364.5010288,0,304,-53,-194,0,318,-134,-111,362.4927585,0,318,-134,-111,0
18:24.6,178,-106,-158,260.5455814,2.449489743,177,-104,-157,0,198,-75,-246,324.5689449,2.449489743,199,-74,-244,0,303,-54,-197,365.4230425,3.31662479,304,-53,-194,0,319,-134,-112,363.6770545,1.414213562,318,-134,-111,0
18:25.0,178,-106,-159,261.1532117,1.5,177.5,-105,-158,0,197,-73,-246,323.5027048,1.5,198,-73.5,-245,0,303,-54,-200,367.049043,3.082207001,303.5,-53.5,-197,0,319,-136,-110,363.8090158,1.224744871,318.5,-135,-110.5,0
18:25.5,177,-106,-155,258.0503827,3.201562119,177.5,-105,-158,0,199,-74,-245,324.1943861,1.118033989,198,-73.5,-245,0,303,-54,-197,365.4230425,0.707106781,303.5,-53.5,-197,0,319,-136,-110,363.8090158,1.224744871,318.5,-135,-110.5,0
18:25.9,178,-105,-156,258.9304926,1.030776406,177.75,-105,-157,0,199,-74,-247,325.7084586,1.145643924,198.5,-73.75,-246,0,303,-54,-197,365.4230425,0.353553391,303.25,-53.75,-197,0,319,-136,-110,363.8090158,0.612372436,318.75,-135.5,-110.25,0
18:26.3,177,-105,-157,258.8493771,0.75,177.75,-105,-157,0,197,-75,-244,322.4437936,2.795084972,198.5,-73.75,-246,0,304,-54,-197,366.252645,0.790569415,303.25,-53.75,-197,0,320,-135,-110,364.3144246,1.369306394,318.75,-135.5,-110.25,0
18:26.7,177,-106,-157,259.2566296,1.25,177.75,-105,-157,0,199,-74,-245,324.1943861,1.145643924,198.5,-73.75,-246,0,303,-54,-196,364.8849134,1.060660172,303.25,-53.75,-197,0,319,-136,-108,363.209306,2.318404624,318.75,-135.5,-110.25,0
18:27.2,178,-106,-159,261.1532117,2.25,177.75,-105,-157,0,198,-75,-244,323.0557227,2.41091269,198.5,-73.75,-246,0,303,-53,-197,365.2766075,0.790569415,303.25,-53.75,-197,0,319,-135,-107,362.539653,3.29772649,318.75,-135.5,-110.25,0
18:27.6,178,-106,-154,258.1394972,3.172144385,177.75,-105,-157,0,198,-74,-246,324.3393285,0.559016994,198.5,-73.75,-246,0,303,-53,-196,364.7382623,1.274754878,303.25,-53.75,-197,0,319,-134,-108,362.4651707,2.715695123,318.75,-135.5,-110.25,0
18:28.0,177,-106,-158,259.8634257,1.600781059,177.75,-105,-157,0,199,-75,-245,324.4241051,1.677050983,198.5,-73.75,-246,0,303,-54,-196,364.8849134,1.060660172,303.25,-53.75,-197,0,319,-136,-110,363.8090158,0.612372436,318.75,-135.5,-110.25,0
18:28.4,178,-106,-160,261.7632518,3.013537166,177.7625,-105.05,-157.15,0,198,-74,-246,324.3393285,0.531066145,198.475,-73.7625,-246,0,303,-55,-198,366.1120047,1.539175916,303.2375,-53.8125,-197.05,0,319,-133,-110,362.6982217,2.398632423,318.7625,-135.375,-110.2375,0
18:28.8,177,-105,-155,257.6412234,2.281755081,177.7625,-105.05,-157.15,0,198,-76,-243,322.5352694,3.772536448,198.475,-73.7625,-246,0,304,-55,-194,364.7972039,3.360663997,303.2375,-53.8125,-197.05,0,319,-134,-109,362.7643863,1.86505697,318.7625,-135.375,-110.2375,0
18:29.3,177,-107,-157,259.6670946,2.099144171,177.7625,-105.05,-157.15,0,198,-73,-245,323.3542949,1.344258625,198.475,-73.7625,-246,0,304,-53,-195,365.034245,2.333251487,303.2375,-53.8125,-197.05,0,319,-136,-108,363.209306,2.335259622,318.7625,-135.375,-110.2375,0
18:29.7,178,-105,-157,259.5341981,0.285317805,177.7625,-105.05,-157.15,0,198,-74,-245,323.5815199,1.132268188,198.475,-73.7625,-246,0,303,-55,-197,365.5721543,1.212048885,303.2375,-53.8125,-197.05,0,319,-134,-109,362.7643863,1.86505697,318.7625,-135.375,-110.2375,0
18:30.1,176,-107,-157,258.9864861,2.632756398,177.7625,-105.05,-157.15,0,198,-74,-245,323.5815199,1.132268188,198.475,-73.7625,-246,0,305,-55,-195,366.1625322,2.952805869,303.2375,-53.8125,-197.05,0,319,-135,-110,363.4363768,0.503425764,318.7625,-135.375,-110.2375,0
18:30.5,177,-107,-158,260.2729337,2.259735881,177.7625,-105.05,-157.15,0,199,-74,-244,323.4393297,2.081353226,198.475,-73.7625,-246,0,302,-55,-195,363.6674305,2.672837911,303.2375,-53.8125,-197.05,0,319,-135,-113,364.3555955,2.797934506,318.7625,-135.375,-110.2375,0
18:31.0,177,-105,-157,258.8493771,0.739784861,177.724375,-105.0475,-157.1425,0,198,-75,-246,324.5689449,1.259254026,198.45125,-73.824375,-246,0,303,-52,-198,365.6733515,1.957106642,303.225625,-53.721875,-197.0975,0,320,-135,-109,364.013736,1.700324188,318.824375,-135.35625,-110.175625,0
18:31.4,177,-106,-156,258.6522762,1.654473221,177.724375,-105.0475,-157.1425,0,199,-75,-246,325.1799502,1.297389958,198.45125,-73.824375,-246,0,304,-53,-196,365.5694189,1.524882424,303.225625,-53.721875,-197.0975,0,319,-134,-111,363.3703345,1.596825709,318.824375,-135.35625,-110.175625,0
18:31.8,178,-107,-157,260.3497647,1.977000668,177.724375,-105.0475,-157.1425,0,199,-74,-245,324.1943861,1.154110351,198.45125,-73.824375,-246,0,304,-55,-194,364.7972039,3.439151989,303.225625,-53.721875,-197.0975,0,319,-136,-110,363.8090158,0.690001698,318.824375,-135.35625,-110.175625,0
18:32.2,177,-106,-158,259.8634257,1.472169026,177.724375,-105.0475,-157.1425,0,197,-74,-244,322.2126627,2.477291001,198.45125,-73.824375,-246,0,303,-55,-198,366.1120047,1.58082776,303.225625,-53.721875,-197.0975,0,319,-135,-112,364.0467003,1.867110694,318.824375,-135.35625,-110.175625,0
