,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
0,0.0,nisson,0,0,0,0,bluebird,0.0,0,190.0,-88.0,-164.0,206.0,-61.0,-253.0,314.0,-48.0,-227.0,324.0,-130.0,-133.0,1,0.0,27:29.3,0.0,0.0,0.0,0.0,314.0,-48.0,-227.0,390.4215670272328,314,-48,-227
1,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-86.5,-162.5,206.0,-63.0,-253.5,315.5,-47.5,-224.5,323.0,-128.0,-133.0,1,0.0,27:30.2,2.9580398915498085,1.5,0.5,2.5,315.5,-47.5,-224.5,389.8486885959731,317,-47,-222
2,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:31.1,1.7853571071357126,-0.25,1.75,-0.25,315.25,-45.75,-224.75,389.59722791621607,315,-44,-225
3,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:34.1,5.448623679425841,-2.25,-3.25,3.75,315.25,-45.75,-224.75,386.2783970143813,313,-49,-221
4,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:34.5,2.8613807855648994,2.75,0.75,-0.25,315.25,-45.75,-224.75,392.1402810219832,318,-45,-225
5,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:34.9,1.299038105676658,-1.25,-0.25,-0.25,315.25,-45.75,-224.75,389.0205650091008,314,-46,-225
6,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:35.3,4.9180788932265,1.75,-4.25,1.75,315.25,-45.75,-224.75,390.7915045135961,317,-50,-223
7,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:35.8,3.6996621467371855,-0.25,1.75,-3.25,315.25,-45.75,-224.75,391.33745029066665,315,-44,-228
8,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:36.2,9.310612224768036,-2.25,-2.25,8.75,315.25,-45.75,-224.75,383.31318787644136,313,-48,-216
9,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:36.6,4.205650960315181,1.75,0.75,3.75,315.25,-45.75,-224.75,389.04369934494497,317,-45,-221
10,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:37.0,1.7853571071357126,-0.25,-0.25,1.75,315.25,-45.75,-224.75,388.6772439955805,315,-46,-223
11,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:37.4,5.11737237261468,2.75,-4.25,0.75,315.25,-45.75,-224.75,392.1734310225515,318,-50,-224
12,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:38.4,2.8613807855648994,2.75,-0.25,0.75,315.25,-45.75,-224.75,391.68354573558486,318,-46,-224
13,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:39.3,4.3229041164476465,-0.25,-4.25,0.75,315.25,-45.75,-224.75,389.7447882910046,315,-50,-224
14,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:40.2,3.7666297933298414,2.75,-2.25,-1.25,315.25,-45.75,-224.75,393.06996832625117,318,-48,-226
15,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0,-88.75,-162.75,207.5,-63.5,-254.75,315.25,-45.75,-224.75,322.0,-129.5,-132.5,1,0.0,27:41.1,1.299038105676658,-0.25,-1.25,-0.25,315.25,-45.75,-224.75,389.94743235467,315,-47,-225
16,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.05,-88.5625,-162.7625,207.475,-63.625,-254.6625,315.3875,-45.9125,-224.6125,322.1,-129.275,-132.625,1,0.0,27:42.1,4.814869546519419,2.612500000000012,-3.0874999999999986,2.612500000000012,315.3875,-45.9125,-224.6125,390.9079175458077,318,-49,-222
17,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0975,-88.534375,-162.624375,207.45125,-63.49375,-254.429375,315.218125,-46.066875,-224.481875,322.095,-129.31125,-132.59375,1,0.0,27:45.0,5.011911241919085,-3.2181249999999864,-2.933124999999997,2.4818750000000023,315.218125,-46.066875,-224.481875,386.0427437473732,312,-49,-222
18,0.0,nisson,0,0,0,0,bluebird,0.0,0,188.992625,-88.40765625,-162.54315630000005,207.4286875,-63.6190625,-254.2079063,315.2072188,-46.11353125,-224.4577813,321.94025,-129.0956875,-132.5140625,1,0.0,27:47.9,1.0189848842989375,-0.20721880000002105,-0.8864687499999988,0.4577813000000219,315.2072188,-46.11353125,-224.4577813,389.3712881042977,315,-47,-224
19,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0429938,-88.38727344,-162.36599840000005,207.3072531,-63.53810938,-254.0475109,315.0968578,-46.35785469,-224.3348922,321.9432375,-128.9909031,-132.5383594,1,0.0,27:50.8,5.603396050449816,-2.0968578000000093,-4.6421453099999965,2.3348921999999845,315.0968578,-46.35785469,-224.3348922,387.1098035441624,313,-51,-222
20,0.0,nisson,0,0,0,0,bluebird,0.0,0,189.0408441,-88.41790977,-162.39769850000005,207.3418905,-63.51120391,-253.94513540000003,314.8920149,-46.28996195,-224.3681476,321.8960756,-129.091358,-132.61144140000002,1,0.0,27:53.8,4.14861654888175,-3.892014899999992,1.2899619499999986,-0.6318524000000139,314.8920149,-46.28996195,-224.3681476,386.48544603904566,311,-45,-225
21,0.0,nisson,0,2,0,0,bluebird,0.0,0,188.8888019,-88.84701428,-162.2278136,207.3418905,-63.51120391,-253.94513540000003,314.8474142,-46.82546386,-224.2497402,321.80127180000005,-129.63679009999998,-132.7808693,1,0.0,27:56.7,10.454694039426679,-0.8474142000000029,-10.17453614,2.249740199999991,314.8474142,-46.82546386,-224.2497402,388.7531350355905,314,-57,-222
22,0.0,nisson,0,0,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,207.5247959,-64.08564371,-254.1478786,314.8474142,-46.82546386,-224.2497402,322.1112083,-129.95495060000002,-133.2418259,1,0.0,27:59.6,16.60375825101124,6.152585799999998,-15.17453614,-2.7502598000000096,314.8474142,-46.82546386,-224.2497402,398.0125626158049,321,-62,-227
23,0.0,nisson,2,0,2,2,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,207.8485561,-64.53136153,-254.3904847,314.8474142,-46.82546386,-224.2497402,322.1112083,-129.95495060000002,-133.2418259,1,0.0,28:02.5,14.772428859805819,3.152585799999997,-12.17453614,-7.750259800000008,314.8474142,-46.82546386,-224.2497402,398.03140579607526,318,-59,-232
24,0.0,nisson,2,2,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,207.8485561,-64.53136153,-254.3904847,314.8474142,-46.82546386,-224.2497402,322.4556478,-130.30720300000002,-133.62973459999998,1,0.0,28:03.5,17.5657679484281,9.152585799999997,-12.17453614,-8.75025980000001,314.8474142,-46.82546386,-224.2497402,403.41789747109635,324,-59,-233
25,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,207.8485561,-64.53136153,-254.3904847,314.8474142,-46.82546386,-224.2497402,322.4556478,-130.30720300000002,-133.62973459999998,1,0.0,28:04.4,14.84066841143026,6.152585799999998,-8.17453614,-10.75025980000001,314.8474142,-46.82546386,-224.2497402,401.6105078306592,321,-55,-235
26,0.0,nisson,2,2,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,207.8485561,-64.53136153,-254.3904847,314.8474142,-46.82546386,-224.2497402,322.83286539999995,-130.7418429,-133.9482478,1,0.0,28:05.3,18.172872887301658,9.152585799999997,-14.17453614,-6.750259800000008,314.8474142,-46.82546386,-224.2497402,402.564280581375,324,-61,-231
27,0.0,nisson,2,2,2,2,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,207.8485561,-64.53136153,-254.3904847,314.8474142,-46.82546386,-224.2497402,322.83286539999995,-130.7418429,-133.9482478,1,0.0,28:06.2,14.177708840924327,9.152585799999997,-9.17453614,-5.750259800000008,314.8474142,-46.82546386,-224.2497402,401.26300601974265,324,-56,-230
28,0.0,nisson,2,0,2,2,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,208.1061283,-65.00479345,-254.7709605,314.8474142,-46.82546386,-224.2497402,322.83286539999995,-130.7418429,-133.9482478,1,0.0,28:07.1,17.667582895745074,7.152585799999998,-14.17453614,-7.750259800000008,314.8474142,-46.82546386,-224.2497402,401.5333111959704,322,-61,-232
29,0.0,nisson,2,2,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,208.1061283,-65.00479345,-254.7709605,314.8474142,-46.82546386,-224.2497402,323.0912222,-131.1547507,-134.4008355,1,0.0,28:08.1,18.037727624565797,9.152585799999997,-10.17453614,-11.75025980000001,314.8474142,-46.82546386,-224.2497402,404.8715845796047,324,-57,-236
30,0.0,nisson,2,0,2,2,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,208.4008219,-65.35455378,-255.0824124,314.8474142,-46.82546386,-224.2497402,323.0912222,-131.1547507,-134.4008355,1,0.0,28:09.0,14.843667943538213,5.152585799999997,-12.17453614,-6.750259800000008,314.8474142,-46.82546386,-224.2497402,399.0513751385904,320,-59,-231
31,0.0,nisson,2,2,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,208.4008219,-65.35455378,-255.0824124,314.8474142,-46.82546386,-224.2497402,323.3366611,-131.4470132,-134.8807937,1,0.0,28:09.9,18.85738962576804,8.152585799999997,-13.17453614,-10.75025980000001,314.8474142,-46.82546386,-224.2497402,403.9232600383394,323,-60,-235
32,0.0,nisson,2,0,2,2,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,208.7307808,-65.73682609,-255.4782918,314.8474142,-46.82546386,-224.2497402,323.3366611,-131.4470132,-134.8807937,1,0.0,28:10.8,14.762877235079346,6.152585799999998,-10.17453614,-8.75025980000001,314.8474142,-46.82546386,-224.2497402,400.72309641446924,321,-57,-233
33,0.0,nisson,2,0,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,208.8942418,-66.14998478,-255.9543772,314.8474142,-46.82546386,-224.2497402,323.669828,-131.7246625,-135.386754,1,0.0,28:11.8,18.160305340440285,8.152585799999997,-15.17453614,-5.750259800000008,314.8474142,-46.82546386,-224.2497402,401.3390088192276,323,-62,-230
34,0.0,nisson,2,0,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,209.1995297,-66.69248554,-256.1566584,314.8474142,-46.82546386,-224.2497402,323.8363366000001,-132.0884294,-135.81741630000002,1,0.0,28:12.7,15.674958844540036,8.152585799999997,-9.17453614,-9.75025980000001,314.8474142,-46.82546386,-224.2497402,402.76668183949874,323,-56,-234
35,0.0,nisson,2,0,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,209.3895532,-67.00786127,-256.5488254,314.8474142,-46.82546386,-224.2497402,324.1445198,-132.5340079,-136.0765455,1,0.0,28:13.6,17.757782332769594,6.152585799999998,-14.17453614,-8.75025980000001,314.8474142,-46.82546386,-224.2497402,401.31159963300337,321,-61,-233
36,0.0,nisson,2,2,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,209.3895532,-67.00786127,-256.5488254,314.8474142,-46.82546386,-224.2497402,324.3872938,-132.7573075,-136.32271819999997,1,0.0,28:14.5,16.88807660268107,9.152585799999997,-11.17453614,-8.75025980000001,314.8474142,-46.82546386,-224.2497402,403.2728604803452,324,-58,-233
37,0.0,nisson,2,0,2,0,bluebird,0.0,0,189.2443618,-89.30466356,-162.5164229,209.7200756,-67.3074682,-256.82138419999995,314.8474142,-46.82546386,-224.2497402,324.6179291,-133.2694422,-136.50658230000002,1,0.0,28:15.5,15.803424801542985,7.152585799999998,-10.17453614,-9.75025980000001,314.8474142,-46.82546386,-224.2497402,402.1057074949322,322,-57,-234
