,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
0,1,nisson,0,0,0,0,bluebird,0.0,0,189.0,-91.0,-162.0,206.0,-62.0,-254.0,312.0,-47.0,-225.0,322.0,-132.0,-130.0,0,0,15:00.4,4.9325449821,1.1,-3.4,3.4,320.9,-128.6,-133.4,371.4942799021,322,-132,-130
1,1,nisson,0,0,0,0,bluebird,0.0,0,188.0,-88.0,-162.0,205.0,-64.0,-253.5,314.5,-47.5,-223.0,321.5,-129.0,-132.5,0,0,15:01.3,3.0545048699,0.1,2.6,-1.6,320.9,-128.6,-133.4,370.32688263209997,321,-126,-135
2,1,nisson,0,0,0,0,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:02.3,3.7854986461,-0.9,-1.4,3.4,320.9,-128.6,-133.4,369.0528417449,320,-130,-130
3,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:05.2,5.0129831438,-1.9,4.6,-0.6,320.9,-128.6,-133.4,367.54999659910004,319,-124,-134
4,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:05.6,1.0630145813,-0.9,-0.4,0.4,320.9,-128.6,-133.4,369.77019890739996,320,-129,-133
5,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:06.0,2.9883105595,1.1,-1.4,2.4,320.9,-128.6,-133.4,371.1401352589,322,-130,-131
6,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:06.4,1.7117242769,0.1,0.6,-1.6,320.9,-128.6,-133.4,371.0121291818,321,-128,-135
7,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:06.9,2.8861739379,0.1,-2.4,-1.6,320.9,-128.6,-133.4,372.05779120989996,321,-131,-135
8,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:07.3,2.8861739379,1.1,0.6,-2.6,320.9,-128.6,-133.4,372.24185686190003,322,-128,-136
9,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:07.7,1.7117242769,0.1,0.6,-1.6,320.9,-128.6,-133.4,371.0121291818,321,-128,-135
10,1,nisson,0,0,0,2,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:08.1,3.0870698081,1.1,-2.4,-1.6,320.9,-128.6,-133.4,372.92090314169997,322,-131,-135
11,1,nisson,0,0,0,0,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:08.6,2.8513154859,1.1,2.6,0.4,320.9,-128.6,-133.4,370.4713214272,322,-126,-133
12,1,nisson,0,0,0,0,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:09.5,2.3937418406999997,-1.9,-1.4,0.4,320.9,-128.6,-133.4,369.2560087527,319,-130,-133
13,1,nisson,0,0,0,0,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:10.4,1.3152946438,1.1,0.6,0.4,320.9,-128.6,-133.4,371.15630130709997,322,-128,-133
14,1,nisson,0,0,0,0,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:11.3,1.2369316877,-0.9,0.6,-0.6,320.9,-128.6,-133.4,369.7837205719,320,-128,-134
15,1,nisson,0,0,0,0,bluebird,0.0,0,187.0,-89.0,-164.5,205.5,-64.0,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,0,15:12.3,2.4351591324,0.1,-2.4,0.4,320.9,-128.6,-133.4,371.33677437069997,321,-131,-133
16,1,nisson,0,0,0,0,bluebird,0.0,0,187.0,-88.8,-164.325,205.425,-64.1,-253.6125,313.8125,-45.8125,-223.425,320.7625,-129.275,-131.4375,0,0,15:13.2,3.940812099,0.1,3.6,-1.6,320.9,-128.6,-133.4,369.9878376379,321,-125,-135
17,1,nisson,0,0,0,0,bluebird,0.0,0,187.05,-88.76,-164.05875,205.35375,-63.895,-253.531875,313.621875,-45.871875,-223.30375,320.724375,-129.31125,-131.315625,0,0,15:16.1,4.7042533945,-0.9,-1.4,4.4,320.9,-128.6,-133.4,368.7017765078,320,-130,-129
18,1,nisson,0,0,0,0,bluebird,0.0,0,186.9475,-88.822,-164.0058125,205.3360625,-63.85025,-253.55528130000002,313.4907813,-45.77828125,-223.3385625,320.5381563,-129.3456875,-131.3498438,0,0,15:19.0,4.3737855457,-3.9,-1.4,1.4,320.9,-128.6,-133.4,367.168898465,317,-130,-132
19,1,nisson,0,0,0,0,bluebird,0.0,0,186.850125,-88.5809,-163.9555219,205.16925940000002,-63.9077375,-253.52751719999998,313.46624219999995,-45.93936719,-223.17163440000002,320.4112484,-129.12840309999999,-131.4823516,0,0,15:21.9,4.6615448082999995,-2.9,3.6,-0.6,320.9,-128.6,-133.4,367.0217977178,318,-125,-134
20,1,nisson,0,0,0,0,bluebird,0.0,0,186.9076188,-88.551855,-163.80774580000002,205.06079640000002,-63.76235063,-253.6511413,313.29293010000004,-46.09239883,-222.96305269999996,320.39068599999996,-129.221983,-131.558234,0,0,15:24.9,2.5942243542,-0.9,-2.4,0.4,320.9,-128.6,-133.4,370.4726710569,320,-131,-133
21,1,nisson,0,0,0,0,bluebird,0.0,0,186.8122378,-88.62426225,-163.7173585,205.05775659999998,-63.77423309,-253.71858430000003,313.1782836,-45.98777889,-223.0149,320.2711517,-129.2608838,-131.6303223,0,0,15:27.8,3.2449961479000002,-2.9,-1.4,0.4,320.9,-128.6,-133.4,368.3924537772,318,-130,-133
22,1,nisson,0,0,0,0,bluebird,0.0,0,186.72162590000002,-88.49304914,-163.7314906,205.0048688,-63.93552144,-253.53265499999998,313.1693694,-45.93838994,-222.96415499999998,320.10759410000003,-129.0478396,-131.6488062,0,0,15:30.7,5.4890800686,-3.9,3.6,1.4,320.9,-128.6,-133.4,365.4285155814,317,-125,-132
23,1,nisson,0,0,0,0,bluebird,0.0,0,186.7355446,-88.21839668,-163.644916,204.8546253,-63.98874537,-253.55602230000002,313.11090089999993,-46.14147045,-222.86594730000002,320.1022144,-128.7954476,-131.7163659,0,0,15:33.6,4.7042533945,-0.9,4.6,0.4,320.9,-128.6,-133.4,368.0557023061,320,-124,-133
24,1,nisson,0,0,0,0,bluebird,0.0,0,186.7987674,-88.20747685,-163.4626702,204.8118941,-63.7893081,-253.4282212,313.0053559,-46.28439692,-222.7226499,320.1471037,-128.9056753,-131.5805476,0,0,15:36.6,5.0129831438,0.1,-2.4,4.4,320.9,-128.6,-133.4,369.92296495349996,321,-131,-129
25,1,nisson,0,0,0,0,bluebird,0.0,0,186.758829,-88.147103,-163.3395367,204.8712994,-63.94984269,-253.20681009999998,313.0550881,-46.22017708,-222.6865174,320.0397485,-128.9103915,-131.6015202,0,0,15:39.5,3.2449961479000002,-2.9,-0.4,1.4,320.9,-128.6,-133.4,367.6805678847,318,-129,-132
26,1,nisson,0,0,0,0,bluebird,0.0,0,186.6708876,-87.93974785,-163.4225599,204.7777344,-64.05235056,-253.1464696,313.05233369999996,-46.25916822,-222.65219150000001,319.9377611,-128.7148719,-131.6714442,0,0,15:42.4,4.6400431032,-2.9,3.6,0.4,320.9,-128.6,-133.4,366.6578786826,318,-125,-133
27,1,nisson,0,0,0,0,bluebird,0.0,0,186.6873432,-87.74276046,-163.20143190000002,204.63884769999999,-64.09973303,-253.08914610000002,313.099717,-46.44620981,-222.419582,319.940873,-128.5791283,-131.737872,0,0,15:45.3,2.7802877549000002,-0.9,2.6,0.4,320.9,-128.6,-133.4,368.7343217006,320,-126,-133
28,1,nisson,0,0,0,0,bluebird,0.0,0,186.752976,-87.80562244,-163.09136030000002,204.6069053,-63.94474638,-253.03468880000003,312.9947311,-46.57389932,-222.29860290000002,319.9938294,-128.6501719,-131.7009784,0,0,15:48.3,2.7802877549000002,0.1,-1.4,2.4,320.9,-128.6,-133.4,370.27287235230006,321,-130,-131
29,1,nisson,0,0,0,0,bluebird,0.0,0,186.7153272,-87.86534132,-162.9367923,204.72656,-63.94750906,-252.93295440000003,312.94499460000003,-46.49520436,-222.2336727,319.9441379,-128.7176633,-131.7659295,0,0,15:51.2,2.3937418406999997,-1.9,-1.4,0.4,320.9,-128.6,-133.4,369.2560087527,319,-130,-133
30,1,nisson,0,0,0,0,bluebird,0.0,0,186.6795609,-87.72207425,-162.83995269999997,204.690232,-64.10013361,-252.88630669999998,312.9477449,-46.57044414,-222.1719891,319.896931,-128.53178020000001,-131.777633,0,0,15:54.1,4.30464865,-1.9,3.6,1.4,320.9,-128.6,-133.4,367.1648131289,319,-125,-132
31,1,nisson,0,0,0,0,bluebird,0.0,0,186.74558280000002,-87.78597054,-162.647955,204.70572040000002,-63.94512693,-252.7919913,312.80035760000004,-46.64192193,-222.11338959999998,319.9020845,-128.60519109999998,-131.8387513,0,0,15:57.0,1.7117242769,-0.9,-1.4,0.4,320.9,-128.6,-133.4,370.1202507294,320,-130,-133
