,Backward,Brand,Category,Class,Class_Target,Forward,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
0,0.0,toyota,clotplus,0.0,0,1,12:13.6,5.991660871578099,-2.200000000000003,0.9000000000000057,-5.5,50.2,-195.9,-145.5,251.2568407028951,48,-195,-151
1,0.0,toyota,clotplus,0.0,0,1,12:14.1,2.8460498941515384,2.799999999999997,-0.09999999999999432,0.5,50.2,-195.9,-145.5,249.499498997493,53,-196,-145
2,0.0,toyota,clotplus,0.0,0,1,12:14.5,4.571651780264983,0.7999999999999972,-0.09999999999999432,4.5,50.2,-195.9,-145.5,246.7752013472991,51,-196,-141
3,0.0,toyota,clotplus,0.0,0,1,12:14.9,6.920982589199313,-4.200000000000003,-0.09999999999999432,-5.5,50.2,-195.9,-145.5,251.6604855753084,46,-196,-151
4,0.0,toyota,clotplus,0.0,0,1,12:15.3,3.0822070014844867,1.7999999999999972,-0.09999999999999432,-2.5,50.2,-195.9,-145.5,251.0458125522113,52,-196,-148
5,0.0,toyota,clotplus,0.0,0,1,12:15.8,3.7549966711037155,2.799999999999997,-0.09999999999999432,2.5,50.2,-195.9,-145.5,248.34250542345745,53,-196,-143
6,0.0,toyota,clotplus,0.0,0,1,12:16.2,3.53553390593274,-3.200000000000003,-0.09999999999999432,1.5,50.2,-195.9,-145.5,247.71152577141015,47,-196,-144
7,0.0,toyota,clotplus,0.0,0,1,12:16.6,3.8078865529319565,-1.2000000000000028,0.9000000000000057,-3.5,50.2,-195.9,-145.5,250.25387109893026,49,-195,-149
8,0.0,toyota,clotplus,0.0,0,1,12:17.0,6.774953874381726,3.799999999999997,-1.0999999999999943,5.5,50.2,-195.9,-145.5,247.63884994079584,54,-197,-140
9,0.0,toyota,clotplus,0.0,0,1,12:17.4,2.7748873851023226,-1.2000000000000028,-0.09999999999999432,2.5,50.2,-195.9,-145.5,247.5196961859803,49,-196,-143
10,0.0,toyota,clotplus,0.0,0,1,12:17.9,6.457553716385176,-3.200000000000003,-1.0999999999999943,-5.5,50.2,-195.9,-145.5,252.62422686670413,47,-197,-151
11,0.0,toyota,clotplus,0.0,0,1,12:18.3,3.3015148038438347,2.799999999999997,0.9000000000000057,-1.5,50.2,-195.9,-145.5,249.88597399614088,53,-195,-147
12,0.0,toyota,clotplus,0.0,0,1,12:18.7,3.5916569992135936,0.7999999999999972,-0.09999999999999432,3.5,50.2,-195.9,-145.5,247.34793308212625,51,-196,-142
