,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2dqXHv-R03vmj0MEa7,parking_record_index_v2,101a0d01019a,2017-08-01T11:58:33.966Z,2017-08-01T11:58:33.000Z,1,fcffff0745000c0046ff19,yilan,宜蘭市中山路二段,111,10.5.151.1,69,12,-186,25
1,AV2dWXAc-R03vmj0MDnX,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:10.619Z,2017-08-01T10:31:10.000Z,41,fcffff071900000079ff1e,yilan,宜蘭市中山路二段,111,10.5.151.1,25,0,-135,30
2,AV2dWWSN-R03vmj0MDnV,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:07.660Z,2017-08-01T10:31:07.000Z,40,fcffff07160000007dff1f,yilan,宜蘭市中山路二段,111,192.168.0.3,22,0,-131,31
3,AV2dWWR6-R03vmj0MDnU,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:07.641Z,2017-08-01T10:31:07.000Z,40,fcffff07160000007dff1f,yilan,宜蘭市中山路二段,111,10.5.151.1,22,0,-131,31
4,AV2dWU1U-R03vmj0MDnN,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:01.715Z,2017-08-01T10:31:01.000Z,39,fcffff07170001007cff1f,yilan,宜蘭市中山路二段,111,192.168.88.122,23,1,-132,31
5,AV2dWU1T-R03vmj0MDnM,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:01.713Z,2017-08-01T10:31:01.000Z,39,fcffff07170001007cff1f,yilan,宜蘭市中山路二段,111,192.168.88.113,23,1,-132,31
6,AV2dWU1J-R03vmj0MDnL,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:01.695Z,2017-08-01T10:31:01.000Z,39,fcffff07170001007cff1f,yilan,宜蘭市中山路二段,111,192.168.88.150,23,1,-132,31
7,AV2dWU0W-R03vmj0MDnK,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:01.653Z,2017-08-01T10:29:47.000Z,39,fcffff07170001007cff1f,yilan,宜蘭市中山路二段,111,192.168.0.225,23,1,-132,31
8,AV2dWU0U-R03vmj0MDnJ,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:01.651Z,2017-08-01T10:31:01.000Z,39,fcffff07170001007cff1f,yilan,宜蘭市中山路二段,111,192.168.0.3,23,1,-132,31
9,AV2dWUz6-R03vmj0MDnI,parking_record_index_v2,101a0d01019a,2017-08-01T10:31:01.625Z,2017-08-01T10:31:01.000Z,39,fcffff07170001007cff1f,yilan,宜蘭市中山路二段,111,10.5.180.16,23,1,-132,31
