,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT,mag_len,magX_WO_offset,magY_WO_offset,magZ_WO_offset,mag_len_WO_offset,SPE1_X,SPE1_Y,SPE1_Z,SPE1_T,SPE2_X,SPE2_Y,SPE2_Z,SPE2_T,SPE3_X,SPE3_Y,SPE3_Z,SPE3_T,SPE4_X,SPE4_Y,SPE4_Z,SPE4_T,SPE5_X,SPE5_Y,SPE5_Z,SPE5_T
0,0,AV2hXWp_-R03vmj0MLUH,parking_record_index_v2,101a0d01019a,2017-08-02T05:14:00.190Z,2017-08-02T05:13:59.000Z,293,fcffff07f0fe56006dff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,86,-147,44,320.9189928938454,0,0,0,0.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
1,1,AV2hXV7F-R03vmj0MLUF,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:57.188Z,2017-08-02T05:13:56.000Z,292,fcffff07f0fe56006cff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,86,-148,43,321.37828178020993,0,0,-1,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
2,2,AV2hXVMP-R03vmj0MLUE,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:54.190Z,2017-08-02T05:13:53.000Z,291,fcffff07f0fe56006cff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,86,-148,44,321.37828178020993,0,0,-1,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
3,3,AV2hXUd0-R03vmj0MLT-,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:51.219Z,2017-08-02T05:13:50.000Z,290,fcffff07f0fe56006bff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,86,-149,44,321.8400223713639,0,0,-2,2.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
4,4,AV2hXTuw-R03vmj0MLT7,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:48.207Z,2017-08-02T05:13:47.000Z,289,fcffff07f0fe56006cff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,86,-148,44,321.37828178020993,0,0,-1,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
5,5,AV2hXS_e-R03vmj0MLT5,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:45.180Z,2017-08-02T05:13:44.000Z,288,fcffff07f0fe56006cff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,86,-148,44,321.37828178020993,0,0,-1,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
6,6,AV2hXSSK-R03vmj0MLT2,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:42.281Z,2017-08-02T05:13:41.000Z,287,fcffff07effe56006eff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,86,-146,44,321.3113754600045,-1,0,1,1.4142135623730951,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
7,7,AV2hXRlb-R03vmj0MLT0,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:39.418Z,2017-08-02T05:13:38.000Z,286,fcffff07edfe560072ff2c,yilan,宜蘭市中山路二段,111,192.168.88.122,-275,86,-142,44,321.22422075553396,-3,0,5,5.830951894845301,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
8,8,AV2hXRlG-R03vmj0MLTz,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:39.397Z,2017-08-02T05:13:38.000Z,286,fcffff07edfe560072ff2c,yilan,宜蘭市中山路二段,111,192.168.88.113,-275,86,-142,44,321.22422075553396,-3,0,5,5.830951894845301,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
9,9,AV2hXRjW-R03vmj0MLTy,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:39.285Z,2017-08-02T05:13:38.000Z,286,fcffff07edfe560072ff2c,yilan,宜蘭市中山路二段,111,192.168.88.150,-275,86,-142,44,321.22422075553396,-3,0,5,5.830951894845301,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
10,10,AV2hXRie-R03vmj0MLTx,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:39.229Z,2017-08-02T05:12:24.000Z,286,fcffff07edfe560072ff2c,yilan,宜蘭市中山路二段,111,192.168.0.225,-275,86,-142,44,321.22422075553396,-3,0,5,5.830951894845301,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
11,11,AV2hXRiM-R03vmj0MLTw,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:39.211Z,2017-08-02T05:13:38.000Z,286,fcffff07edfe560072ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-275,86,-142,44,321.22422075553396,-3,0,5,5.830951894845301,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
12,12,AV2hXRiA-R03vmj0MLTv,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:39.199Z,2017-08-02T05:13:38.000Z,286,fcffff07edfe560072ff2c,yilan,宜蘭市中山路二段,111,192.168.0.3,-275,86,-142,44,321.22422075553396,-3,0,5,5.830951894845301,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
13,13,AV2hXRh2-R03vmj0MLTu,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:39.187Z,2017-08-02T05:13:38.000Z,286,fcffff07edfe560072ff2c,yilan,宜蘭市中山路二段,111,10.5.180.16,-275,86,-142,44,321.22422075553396,-3,0,5,5.830951894845301,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
14,14,AV2hXQEG-R03vmj0MLTr,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:33.189Z,2017-08-02T05:13:32.000Z,285,fcffff07effe56006dff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,86,-147,44,321.76699644307837,-1,0,0,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
15,15,AV2hXPVa-R03vmj0MLTk,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:30.200Z,2017-08-02T05:13:29.000Z,284,fcffff07effe56006dff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,86,-147,44,321.76699644307837,-1,0,0,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
16,16,AV2hXOm9-R03vmj0MLTf,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:27.227Z,2017-08-02T05:13:26.000Z,283,fcffff07effe56006dff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,86,-147,44,321.76699644307837,-1,0,0,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
17,17,AV2hXN3Y-R03vmj0MLTb,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:24.183Z,2017-08-02T05:13:23.000Z,282,fcffff07effe56006dff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,86,-147,44,321.76699644307837,-1,0,0,1.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
18,18,AV2hXNI_-R03vmj0MLTU,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:21.214Z,2017-08-02T05:13:20.000Z,281,fcffff07effe57006cff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,87,-148,44,322.49341078539885,-1,1,-1,1.7320508075688772,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
19,19,AV2hXMe8-R03vmj0MLTS,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:18.523Z,2017-08-02T05:13:17.000Z,280,fcffff07effe5b006bff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,91,-149,43,324.05400784437154,-1,5,-2,5.477225575051661,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
20,20,AV2hXL4i-R03vmj0MLTR,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:16.065Z,2017-08-02T05:13:11.000Z,278,fcffff07e9fe6a006eff2b,yilan,宜蘭市中山路二段,111,192.168.0.3,-279,106,-146,43,332.2544205875973,-7,20,1,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
21,21,AV2hXLri-R03vmj0MLTQ,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:15.232Z,2017-08-02T05:13:14.000Z,279,fcffff07ecfe65006dff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-276,101,-147,43,328.612233491086,-4,15,0,15.524174696260024,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
22,22,AV2hXLAR-R03vmj0MLTM,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:12.464Z,2017-08-02T05:13:11.000Z,278,fcffff07e9fe6a006eff2b,yilan,宜蘭市中山路二段,111,192.168.88.113,-279,106,-146,43,332.2544205875973,-7,20,1,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
23,23,AV2hXK-U-R03vmj0MLTL,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:12.339Z,2017-08-02T05:13:11.000Z,278,fcffff07e9fe6a006eff2b,yilan,宜蘭市中山路二段,111,10.5.180.16,-279,106,-146,43,332.2544205875973,-7,20,1,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
24,24,AV2hXK-B-R03vmj0MLTK,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:12.320Z,2017-08-02T05:11:57.000Z,278,fcffff07e9fe6a006eff2b,yilan,宜蘭市中山路二段,111,192.168.0.225,-279,106,-146,43,332.2544205875973,-7,20,1,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
25,25,AV2hXK9z-R03vmj0MLTJ,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:12.306Z,2017-08-02T05:13:11.000Z,278,fcffff07e9fe6a006eff2b,yilan,宜蘭市中山路二段,111,192.168.88.122,-279,106,-146,43,332.2544205875973,-7,20,1,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
26,26,AV2hXK81-R03vmj0MLTI,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:12.244Z,2017-08-02T05:13:11.000Z,278,fcffff07e9fe6a006eff2b,yilan,宜蘭市中山路二段,111,192.168.88.150,-279,106,-146,43,332.2544205875973,-7,20,1,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
27,27,AV2hXK8E-R03vmj0MLTH,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:12.194Z,2017-08-02T05:13:11.000Z,278,fcffff07e9fe6a006eff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-279,106,-146,43,332.2544205875973,-7,20,1,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
28,28,AV2hXJe--R03vmj0MLTD,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:06.237Z,2017-08-02T05:13:05.000Z,277,fcffff07f2fe420059ff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-270,66,-167,43,324.2606975876047,2,-20,-20,28.35489375751565,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
29,29,AV2hXIvw-R03vmj0MLTC,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:03.215Z,2017-08-02T05:13:02.000Z,276,fcffff07f5fe460060ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-267,70,-160,44,319.04388412881383,5,-16,-13,21.213203435596427,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
30,30,AV2hXIAv-R03vmj0MLS-,parking_record_index_v2,101a0d01019a,2017-08-02T05:13:00.206Z,2017-08-02T05:12:59.000Z,275,fcffff0702ff5f005bff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,95,-165,43,317.43660784477896,18,9,-18,27.0,-257.0,15.0,-40.0,44.0,-261.4,53.6,-89.6,44.0,-232.0,66.6,-156.0,44.0,-263.4,139.8,-122.8,43.0,-261.0,124.8,-208.2,42.0
