,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2hWTRz-R03vmj0MLPU,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:24.210Z,2017-08-02T05:09:23.000Z,208,fcffff07effe57006eff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,87,-146,43
1,AV2hWSi2-R03vmj0MLPO,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:21.205Z,2017-08-02T05:09:20.000Z,207,fcffff07effe57006dff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,87,-147,43
2,AV2hWR0M-R03vmj0MLPK,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:18.220Z,2017-08-02T05:09:17.000Z,206,fcffff07effe57006eff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,87,-146,43
3,AV2hWREr-R03vmj0MLPJ,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:15.178Z,2017-08-02T05:09:14.000Z,205,fcffff07f0fe58006dff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,88,-147,43
4,AV2hWQWa-R03vmj0MLPF,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:12.217Z,2017-08-02T05:09:11.000Z,204,fcffff07f0fe59006cff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,89,-148,43
5,AV2hWPnV-R03vmj0MLPC,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:09.204Z,2017-08-02T05:09:08.000Z,203,fcffff07f0fe59006bff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,89,-149,43
6,AV2hWO5D-R03vmj0MLO-,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:06.242Z,2017-08-02T05:09:05.000Z,202,fcffff07f0fe59006bff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,89,-149,43
7,AV2hWOJh-R03vmj0MLO7,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:03.200Z,2017-08-02T05:09:02.000Z,201,fcffff07f0fe59006bff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,89,-149,43
8,AV2hWNa6-R03vmj0MLO4,parking_record_index_v2,101a0d01019a,2017-08-02T05:09:00.217Z,2017-08-02T05:08:59.000Z,200,fcffff07f0fe59006aff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,89,-150,43
9,AV2hWMrw-R03vmj0MLO2,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:57.199Z,2017-08-02T05:08:56.000Z,199,fcffff07f0fe59006aff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,89,-150,43
10,AV2hWL93-R03vmj0MLO1,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:54.262Z,2017-08-02T05:08:53.000Z,198,fcffff07f0fe5a006aff2b,yilan,宜蘭市中山路二段,111,192.168.88.150,-272,90,-150,43
11,AV2hWL9s-R03vmj0MLO0,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:54.251Z,2017-08-02T05:08:53.000Z,198,fcffff07f0fe5a006aff2b,yilan,宜蘭市中山路二段,111,192.168.88.113,-272,90,-150,43
12,AV2hWL9b-R03vmj0MLOz,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:54.234Z,2017-08-02T05:08:53.000Z,198,fcffff07f0fe5a006aff2b,yilan,宜蘭市中山路二段,111,10.5.180.16,-272,90,-150,43
13,AV2hWL9a-R03vmj0MLOy,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:54.233Z,2017-08-02T05:08:53.000Z,198,fcffff07f0fe5a006aff2b,yilan,宜蘭市中山路二段,111,192.168.88.122,-272,90,-150,43
14,AV2hWL9G-R03vmj0MLOx,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:54.213Z,2017-08-02T05:07:39.000Z,198,fcffff07f0fe5a006aff2b,yilan,宜蘭市中山路二段,111,192.168.0.225,-272,90,-150,43
15,AV2hWL8X-R03vmj0MLOw,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:54.166Z,2017-08-02T05:08:53.000Z,198,fcffff07f0fe5a006aff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,90,-150,43
16,AV2hWLVi-R03vmj0MLOp,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:51.681Z,2017-08-02T05:08:51.000Z,197,fcffff07f0fe5a0069ff2b,yilan,宜蘭市中山路二段,111,192.168.88.113,-272,90,-151,43
17,AV2hWLR2-R03vmj0MLOo,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:51.445Z,2017-08-02T05:08:50.000Z,197,fcffff07f0fe5a0069ff2b,yilan,宜蘭市中山路二段,111,192.168.88.122,-272,90,-151,43
18,AV2hWLQu-R03vmj0MLOn,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:51.373Z,2017-08-02T05:08:50.000Z,197,fcffff07f0fe5a0069ff2b,yilan,宜蘭市中山路二段,111,192.168.0.3,-272,90,-151,43
19,AV2hWLPn-R03vmj0MLOm,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:51.302Z,2017-08-02T05:08:50.000Z,197,fcffff07f0fe5a0069ff2b,yilan,宜蘭市中山路二段,111,10.5.180.16,-272,90,-151,43
20,AV2hWLOR-R03vmj0MLOl,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:51.216Z,2017-08-02T05:08:50.000Z,197,fcffff07f0fe5a0069ff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,90,-151,43
21,AV2hWKfq-R03vmj0MLOh,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:48.233Z,2017-08-02T05:08:47.000Z,196,fcffff07f0fe5a0069ff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,90,-151,43
22,AV2hWJwd-R03vmj0MLOd,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:45.212Z,2017-08-02T05:08:44.000Z,195,fcffff07f0fe58006aff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-272,88,-150,43
23,AV2hWJAy-R03vmj0MLOZ,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:42.161Z,2017-08-02T05:08:41.000Z,194,fcffff07effe57006cff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,87,-148,43
24,AV2hWISR-R03vmj0MLOV,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:39.184Z,2017-08-02T05:08:38.000Z,193,fcffff07effe56006dff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,86,-147,43
25,AV2hWHkR-R03vmj0MLOS,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:36.239Z,2017-08-02T05:08:35.000Z,192,fcffff07effe56006eff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,86,-146,43
26,AV2hWG0f-R03vmj0MLOQ,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:33.182Z,2017-08-02T05:08:32.000Z,191,fcffff07eefe58006eff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-274,88,-146,43
27,AV2hWGFs-R03vmj0MLOM,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:30.187Z,2017-08-02T05:08:29.000Z,190,fcffff07eefe5a006dff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-274,90,-147,43
28,AV2hWFXY-R03vmj0MLOK,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:27.222Z,2017-08-02T05:08:26.000Z,189,fcffff07f1fe5a0067ff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-271,90,-153,43
29,AV2hWEoc-R03vmj0MLOJ,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:24.219Z,2017-08-02T05:08:23.000Z,188,fcffff07f5fe5b005eff2a,yilan,宜蘭市中山路二段,111,10.5.151.1,-267,91,-162,42
30,AV2hWD5y-R03vmj0MLOD,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:21.233Z,2017-08-02T05:08:20.000Z,187,fcffff07f3fe640055ff2a,yilan,宜蘭市中山路二段,111,10.5.151.1,-269,100,-171,42
31,AV2hWDK2-R03vmj0MLN_,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:18.229Z,2017-08-02T05:08:17.000Z,186,fcffff07edfe7f0033ff2a,yilan,宜蘭市中山路二段,111,10.5.151.1,-275,127,-205,42
32,AV2hWCcm-R03vmj0MLN-,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:15.269Z,2017-08-02T05:08:14.000Z,185,fcffff07eafe7f0037ff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-278,127,-201,43
33,AV2hWBtU-R03vmj0MLN6,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:12.243Z,2017-08-02T05:08:11.000Z,184,fcffff07effe840045ff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-273,132,-187,43
34,AV2hWA9t-R03vmj0MLN4,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:09.196Z,2017-08-02T05:08:08.000Z,183,fcffff0702ff950082ff2b,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,149,-126,43
35,AV2hV_pX-R03vmj0MLNz,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:03.798Z,2017-08-02T05:08:02.000Z,182,fcffff070cff800065ff2b,yilan,宜蘭市中山路二段,111,192.168.88.113,-244,128,-155,43
36,AV2hV_nZ-R03vmj0MLNy,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:03.672Z,2017-08-02T05:08:02.000Z,182,fcffff070cff800065ff2b,yilan,宜蘭市中山路二段,111,192.168.88.150,-244,128,-155,43
37,AV2hV_j_-R03vmj0MLNx,parking_record_index_v2,101a0d01019a,2017-08-02T05:08:03.454Z,2017-08-02T05:08:02.000Z,182,fcffff070cff800065ff2b,yilan,宜蘭市中山路二段,111,10.5.180.16,-244,128,-155,43
