,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT,mag_len,magX_WO_offset,magY_WO_offset,magZ_WO_offset,mag_len_WO_offset,SPE1_X,SPE1_Y,SPE1_Z,SPE1_T,SPE2_X,SPE2_Y,SPE2_Z,SPE2_T,SPE3_X,SPE3_Y,SPE3_Z,SPE3_T,SPE4_X,SPE4_Y,SPE4_Z,SPE4_T,SPE5_X,SPE5_Y,SPE5_Z,SPE5_T
0,0,AV2hAH_--R03vmj0MJ1o,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:30.844Z,2017-08-02T03:32:30.000Z,917,fcffff0718ff740053ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-173,44,311.7835787850284,0,0,0,0.0,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
1,1,AV2hAHQV-R03vmj0MJ1k,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:27.796Z,2017-08-02T03:32:27.000Z,916,fcffff0718ff740053ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-173,44,311.7835787850284,0,0,0,0.0,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
2,2,AV2hAGi5-R03vmj0MJ1i,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:24.888Z,2017-08-02T03:32:24.000Z,915,fcffff0718ff750054ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,117,-172,44,311.6039152513973,0,1,1,1.4142135623730951,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
3,3,AV2hAGa2-R03vmj0MJ1h,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:24.373Z,2017-08-02T03:32:21.000Z,914,fcffff0718ff740054ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-172,44,311.2298186228305,0,0,1,1.0,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
4,4,AV2hAFES-R03vmj0MJ1c,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:18.833Z,2017-08-02T03:32:18.000Z,913,fcffff0718ff740054ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-172,44,311.2298186228305,0,0,1,1.0,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
5,5,AV2hAEVe-R03vmj0MJ1b,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:15.836Z,2017-08-02T03:32:15.000Z,912,fcffff0718ff730056ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,115,-170,44,309.7563558669943,0,-1,3,3.1622776601683795,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
6,6,AV2hADrK-R03vmj0MJ1Y,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:13.128Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.88.113,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
7,7,AV2hADnr-R03vmj0MJ1W,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.906Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.0.3,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
8,8,AV2hADnf-R03vmj0MJ1V,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.893Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.88.122,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
9,9,AV2hADnH-R03vmj0MJ1U,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.870Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.88.150,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
10,10,AV2hADnB-R03vmj0MJ1T,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.864Z,2017-08-02T03:30:57.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.0.225,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
11,11,AV2hADmm-R03vmj0MJ1S,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.837Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,10.5.180.16,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
12,12,AV2hADmZ-R03vmj0MJ1R,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.823Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
13,13,AV2hAC3g-R03vmj0MJ1J,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:09.823Z,2017-08-02T03:32:09.000Z,910,fcffff0718ff710057ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,113,-169,44,308.4704199757247,0,-3,4,5.0,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
14,14,AV2hACJl-R03vmj0MJ1F,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:06.884Z,2017-08-02T03:32:06.000Z,909,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,113,-170,44,309.01941686567204,0,-3,3,4.242640687119285,-212.2,26.8,-128.6,46.0,-199.0,103.6,-195.8,46.0,-238.2,97.0,-197.0,46.0,-189.0,127.0,-236.2,46.0,-255.0,123.2,-137.0,45.6
