,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2hAoON-R03vmj0MJ4Z,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:42.828Z,2017-08-02T03:34:42.000Z,961,fcffff071cff680054ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-228,104,-172,44
1,AV2hAnfr-R03vmj0MJ4X,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:39.849Z,2017-08-02T03:34:39.000Z,960,fcffff071cff680055ff2d,yilan,宜蘭市中山路二段,111,10.5.151.1,-228,104,-171,45
2,AV2hAm00-R03vmj0MJ4T,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:37.106Z,2017-08-02T03:34:36.000Z,959,fcffff071cff660057ff2c,yilan,宜蘭市中山路二段,111,192.168.88.113,-228,102,-169,44
3,AV2hAm0d-R03vmj0MJ4S,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:37.083Z,2017-08-02T03:34:36.000Z,959,fcffff071cff660057ff2c,yilan,宜蘭市中山路二段,111,192.168.88.122,-228,102,-169,44
4,AV2hAmzF-R03vmj0MJ4R,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:36.995Z,2017-08-02T03:34:36.000Z,959,fcffff071cff660057ff2c,yilan,宜蘭市中山路二段,111,192.168.0.3,-228,102,-169,44
5,AV2hAmx4-R03vmj0MJ4Q,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:36.919Z,2017-08-02T03:34:36.000Z,959,fcffff071cff660057ff2c,yilan,宜蘭市中山路二段,111,192.168.88.150,-228,102,-169,44
6,AV2hAmw0-R03vmj0MJ4P,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:36.851Z,2017-08-02T03:34:36.000Z,959,fcffff071cff660057ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-228,102,-169,44
7,AV2hAmwV-R03vmj0MJ4O,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:36.820Z,2017-08-02T03:33:21.000Z,959,fcffff071cff660057ff2c,yilan,宜蘭市中山路二段,111,192.168.0.225,-228,102,-169,44
8,AV2hAmwB-R03vmj0MJ4N,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:36.800Z,2017-08-02T03:34:36.000Z,959,fcffff071cff660057ff2c,yilan,宜蘭市中山路二段,111,10.5.180.16,-228,102,-169,44
9,AV2hAmCB-R03vmj0MJ4L,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:33.856Z,2017-08-02T03:34:33.000Z,958,fcffff071bff640058ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-229,100,-168,44
10,AV2hAlTE-R03vmj0MJ4H,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:30.851Z,2017-08-02T03:34:30.000Z,957,fcffff071bff650057ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-229,101,-169,44
11,AV2hAkkD-R03vmj0MJ4C,parking_record_index_v2,101a0d01019a,2017-08-02T03:34:27.842Z,2017-08-02T03:34:27.000Z,956,fcffff071bff660055ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-229,102,-171,44
