,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT,mag_len,magX_WO_offset,magY_WO_offset,magZ_WO_offset,mag_len_WO_offset,SPE1_X,SPE1_Y,SPE1_Z,SPE1_T,SPE2_X,SPE2_Y,SPE2_Z,SPE2_T,SPE3_X,SPE3_Y,SPE3_Z,SPE3_T,SPE4_X,SPE4_Y,SPE4_Z,SPE4_T,SPE5_X,SPE5_Y,SPE5_Z,SPE5_T
0,0,AV2hC_1O-R03vmj0MKEx,parking_record_index_v2,101a0d01019a,2017-08-02T03:45:03.821Z,2017-08-02T03:45:03.000Z,1162,fcffff072bff85005fff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,133,-161,48,298.29347964714214,0,0,0,0.0,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
1,1,AV2hC_Gv-R03vmj0MKEu,parking_record_index_v2,101a0d01019a,2017-08-02T03:45:00.846Z,2017-08-02T03:45:00.000Z,1161,fcffff072bff87005dff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,135,-163,48,300.2715437732986,0,2,-2,2.8284271247461903,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
2,2,AV2hC-X--R03vmj0MKEr,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:57.853Z,2017-08-02T03:44:57.000Z,1160,fcffff072bff89005dff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,137,-163,48,301.17602826254284,0,4,-2,4.47213595499958,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
3,3,AV2hC9s9-R03vmj0MKEq,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:55.100Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.0.3,-212,137,-163,48,300.46963240900067,1,4,-2,4.58257569495584,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
4,4,AV2hC9sD-R03vmj0MKEp,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:55.042Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.88.150,-212,137,-163,48,300.46963240900067,1,4,-2,4.58257569495584,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
5,5,AV2hC9p_-R03vmj0MKEn,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.910Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.88.113,-212,137,-163,48,300.46963240900067,1,4,-2,4.58257569495584,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
6,6,AV2hC9pu-R03vmj0MKEm,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.893Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.88.122,-212,137,-163,48,300.46963240900067,1,4,-2,4.58257569495584,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
7,7,AV2hC9pT-R03vmj0MKEl,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.866Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,10.5.180.16,-212,137,-163,48,300.46963240900067,1,4,-2,4.58257569495584,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
8,8,AV2hC9o4-R03vmj0MKEk,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.839Z,2017-08-02T03:43:39.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.0.225,-212,137,-163,48,300.46963240900067,1,4,-2,4.58257569495584,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
9,9,AV2hC9ov-R03vmj0MKEj,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.829Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,137,-163,48,300.46963240900067,1,4,-2,4.58257569495584,-110.0,79.8,-222.8,48.0,-206.0,170.4,-196.0,48.0,-204.2,117.4,-241.6,47.0,-436.6,154.0,5.8,46.2,-189.6,124.4,-118.6,45.6
