,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2hC_1O-R03vmj0MKEx,parking_record_index_v2,101a0d01019a,2017-08-02T03:45:03.821Z,2017-08-02T03:45:03.000Z,1162,fcffff072bff85005fff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,133,-161,48
1,AV2hC_Gv-R03vmj0MKEu,parking_record_index_v2,101a0d01019a,2017-08-02T03:45:00.846Z,2017-08-02T03:45:00.000Z,1161,fcffff072bff87005dff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,135,-163,48
2,AV2hC-X--R03vmj0MKEr,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:57.853Z,2017-08-02T03:44:57.000Z,1160,fcffff072bff89005dff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,137,-163,48
3,AV2hC9s9-R03vmj0MKEq,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:55.100Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.0.3,-212,137,-163,48
4,AV2hC9sD-R03vmj0MKEp,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:55.042Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.88.150,-212,137,-163,48
5,AV2hC9p_-R03vmj0MKEn,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.910Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.88.113,-212,137,-163,48
6,AV2hC9pu-R03vmj0MKEm,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.893Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.88.122,-212,137,-163,48
7,AV2hC9pT-R03vmj0MKEl,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.866Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,10.5.180.16,-212,137,-163,48
8,AV2hC9o4-R03vmj0MKEk,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.839Z,2017-08-02T03:43:39.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,192.168.0.225,-212,137,-163,48
9,AV2hC9ov-R03vmj0MKEj,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:54.829Z,2017-08-02T03:44:54.000Z,1159,fcffff072cff89005dff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,137,-163,48
10,AV2hC86A-R03vmj0MKEh,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:51.839Z,2017-08-02T03:44:51.000Z,1158,fcffff072cff89005dff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,137,-163,47
11,AV2hC8Ky-R03vmj0MKEe,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:48.817Z,2017-08-02T03:44:48.000Z,1157,fcffff072cff88005eff30,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,136,-162,48
12,AV2hC7sU-R03vmj0MKEc,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:46.867Z,2017-08-02T03:44:45.000Z,1156,fcffff072cff86005fff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,134,-161,47
13,AV2hC6tz-R03vmj0MKEW,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:42.866Z,2017-08-02T03:44:42.000Z,1155,fcffff072bff840061ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,132,-159,47
14,AV2hC5-R-R03vmj0MKEU,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:39.824Z,2017-08-02T03:44:39.000Z,1154,fcffff072bff840060ff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,132,-160,47
15,AV2hC5Px-R03vmj0MKEQ,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:36.848Z,2017-08-02T03:44:36.000Z,1153,fcffff072bff86005dff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,134,-163,47
16,AV2hC4gK-R03vmj0MKEO,parking_record_index_v2,101a0d01019a,2017-08-02T03:44:33.801Z,2017-08-02T03:44:33.000Z,1152,fcffff072cff88005dff2f,yilan,宜蘭市中山路二段,111,10.5.151.1,-212,136,-163,47
