,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2h1RQ_-R03vmj0MNP6,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:42.430Z,2017-08-02T07:24:42.000Z,795,fcffff070aff510050ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-246,81,-176,38
1,AV2h1Pzb-R03vmj0MNP0,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:36.442Z,2017-08-02T07:24:36.000Z,794,fcffff070aff51004fff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-246,81,-177,38
2,AV2h1PE8-R03vmj0MNPw,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:33.467Z,2017-08-02T07:24:33.000Z,793,fcffff070aff51004fff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-246,81,-177,38
3,AV2h1OVB-R03vmj0MNPs,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:30.400Z,2017-08-02T07:24:30.000Z,792,fcffff0709ff520050ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-247,82,-176,38
4,AV2h1NmX-R03vmj0MNPq,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:27.414Z,2017-08-02T07:24:27.000Z,791,fcffff0703ff540058ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-253,84,-168,39
5,AV2h1NRR-R03vmj0MNPn,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:26.065Z,2017-08-02T07:24:24.000Z,790,fcffff0704ff500056ff27,yilan,宜蘭市中山路二段,111,192.168.1.107,-252,80,-170,39
6,AV2h1NK0-R03vmj0MNPm,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:25.651Z,2017-08-02T07:24:24.000Z,790,fcffff0704ff500056ff27,yilan,宜蘭市中山路二段,111,192.168.1.106,-252,80,-170,39
7,AV2h1NF9-R03vmj0MNPl,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:25.340Z,2017-08-02T07:23:09.000Z,790,fcffff0704ff500056ff27,yilan,宜蘭市中山路二段,111,192.168.0.225,-252,80,-170,39
8,AV2h1M8M-R03vmj0MNPk,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:24.715Z,2017-08-02T07:24:24.000Z,790,fcffff0704ff500056ff27,yilan,宜蘭市中山路二段,111,192.168.88.150,-252,80,-170,39
9,AV2h1M51-R03vmj0MNPj,parking_record_index_v2,101a0d01019a,2017-08-02T07:24:24.564Z,2017-08-02T07:24:24.000Z,790,fcffff0704ff500056ff27,yilan,宜蘭市中山路二段,111,192.168.88.122,-252,80,-170,39
