,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2hvP_8-R03vmj0MMwV,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:24.380Z,2017-08-02T06:58:24.000Z,299,fcffff0707ff550051ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-249,85,-175,40
1,AV2hvPRf-R03vmj0MMwP,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:21.406Z,2017-08-02T06:58:21.000Z,298,fcffff0707ff550052ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-249,85,-174,40
2,AV2hvOil-R03vmj0MMwL,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:18.405Z,2017-08-02T06:58:18.000Z,297,fcffff0707ff570051ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-249,87,-175,40
3,AV2hvN0K-R03vmj0MMwK,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:15.434Z,2017-08-02T06:58:15.000Z,296,fcffff0707ff570050ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-249,87,-176,40
4,AV2hvNE6-R03vmj0MMwF,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:12.409Z,2017-08-02T06:58:12.000Z,295,fcffff0707ff57004fff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-249,87,-177,40
5,AV2hvMbj-R03vmj0MMwB,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:09.762Z,2017-08-02T06:58:09.000Z,294,fcffff0707ff57004fff28,yilan,宜蘭市中山路二段,111,192.168.88.122,-249,87,-177,40
6,AV2hvMad-R03vmj0MMwA,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:09.692Z,2017-08-02T06:56:54.000Z,294,fcffff0707ff57004fff28,yilan,宜蘭市中山路二段,111,192.168.0.225,-249,87,-177,40
7,AV2hvMYY-R03vmj0MMv_,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:09.560Z,2017-08-02T06:58:09.000Z,294,fcffff0707ff57004fff28,yilan,宜蘭市中山路二段,111,10.5.180.16,-249,87,-177,40
8,AV2hvLnk-R03vmj0MMv4,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:06.435Z,2017-08-02T06:58:06.000Z,293,fcffff0706ff54004eff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-250,84,-178,40
9,AV2hvK4X-R03vmj0MMv1,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:03.414Z,2017-08-02T06:58:03.000Z,292,fcffff0700ff4e0054ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-256,78,-172,40
10,AV2hvKJl-R03vmj0MMvv,parking_record_index_v2,101a0d01019a,2017-08-02T06:58:00.421Z,2017-08-02T06:58:00.000Z,291,fcffff0701ff4a0051ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-255,74,-175,40
11,AV2hvJac-R03vmj0MMvs,parking_record_index_v2,101a0d01019a,2017-08-02T06:57:57.404Z,2017-08-02T06:57:57.000Z,290,fcffff0702ff460047ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-254,70,-185,40
12,AV2hvIrX-R03vmj0MMvr,parking_record_index_v2,101a0d01019a,2017-08-02T06:57:54.390Z,2017-08-02T06:57:54.000Z,289,fcffff0708ff33001cff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-248,51,-228,40
13,AV2hvH8p-R03vmj0MMvn,parking_record_index_v2,101a0d01019a,2017-08-02T06:57:51.401Z,2017-08-02T06:57:51.000Z,288,fcffff070eff3a0002ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-242,58,-254,40
14,AV2hvFwp-R03vmj0MMvj,parking_record_index_v2,101a0d01019a,2017-08-02T06:57:42.440Z,2017-08-02T06:57:42.000Z,286,fcffff076bff9f00bffe28,yilan,宜蘭市中山路二段,111,10.5.151.1,-149,159,-321,40
15,AV2hvFA4-R03vmj0MMvh,parking_record_index_v2,101a0d01019a,2017-08-02T06:57:39.384Z,2017-08-02T06:57:39.000Z,285,fcffff0775ff9300c9fe28,yilan,宜蘭市中山路二段,111,10.5.151.1,-139,147,-311,40
16,AV2hvETA-R03vmj0MMve,parking_record_index_v2,101a0d01019a,2017-08-02T06:57:36.447Z,2017-08-02T06:57:36.000Z,284,fcffff0770ff9700d4fe28,yilan,宜蘭市中山路二段,111,10.5.151.1,-144,151,-300,40
