,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT,mag_len,magX_WO_offset,magY_WO_offset,magZ_WO_offset,mag_len_WO_offset,SPE1_X,SPE1_Y,SPE1_Z,SPE1_T,SPE2_X,SPE2_Y,SPE2_Z,SPE2_T,SPE3_X,SPE3_Y,SPE3_Z,SPE3_T,SPE4_X,SPE4_Y,SPE4_Z,SPE4_T,SPE5_X,SPE5_Y,SPE5_Z,SPE5_T
0,0,AV2hu05t-R03vmj0MMuV,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:33.388Z,2017-08-02T06:56:33.000Z,264,fcffff070cff59005eff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,89,-162,40,306.1061907247222,0,0,0,0.0,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
1,1,AV2hu0LA-R03vmj0MMuN,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:30.400Z,2017-08-02T06:56:30.000Z,263,fcffff070cff5a005eff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,90,-162,40,306.39843341636066,0,1,0,1.0,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
2,2,AV2huzdC-R03vmj0MMuJ,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:27.456Z,2017-08-02T06:56:27.000Z,262,fcffff070cff5a005eff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,90,-162,40,306.39843341636066,0,1,0,1.0,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
3,3,AV2huytA-R03vmj0MMuI,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:24.384Z,2017-08-02T06:56:24.000Z,261,fcffff070cff5b005eff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,91,-162,40,306.6936582324454,0,2,0,2.0,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
4,4,AV2hux99-R03vmj0MMuD,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:21.372Z,2017-08-02T06:56:21.000Z,260,fcffff070cff5b005dff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,91,-163,40,307.2230460105491,0,2,-1,2.23606797749979,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
5,5,AV2huxPp-R03vmj0MMt_,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:18.408Z,2017-08-02T06:56:18.000Z,259,fcffff070cff5b005cff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,91,-164,40,307.75477250564285,0,2,-2,2.8284271247461903,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
6,6,AV2huwhG-R03vmj0MMt9,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:15.430Z,2017-08-02T06:56:15.000Z,258,fcffff070cff5b005cff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,91,-164,40,307.75477250564285,0,2,-2,2.8284271247461903,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
7,7,AV2huvyP-R03vmj0MMt5,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:12.431Z,2017-08-02T06:56:12.000Z,257,fcffff070cff5c005cff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,92,-164,40,308.0519436718425,0,3,-2,3.605551275463989,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
8,8,AV2huvDO-R03vmj0MMt2,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:09.421Z,2017-08-02T06:56:09.000Z,256,fcffff070cff5c005cff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-244,92,-164,40,308.0519436718425,0,3,-2,3.605551275463989,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
9,9,AV2hutlS-R03vmj0MMtw,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:03.410Z,2017-08-02T06:56:03.000Z,255,fcffff070dff5d005aff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-243,93,-166,40,308.6324675078758,1,4,-4,5.744562646538029,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
10,10,AV2hus2t-R03vmj0MMts,parking_record_index_v2,101a0d01019a,2017-08-02T06:56:00.428Z,2017-08-02T06:56:00.000Z,254,fcffff070dff5d0059ff28,yilan,宜蘭市中山路二段,111,10.5.151.1,-243,93,-167,40,309.17147345769143,1,4,-5,6.48074069840786,-157.0,146.0,-308.0,39.0,-208.0,124.2,-214.0,39.0,-190.4,112.6,-137.0,39.0,-195.2,128.6,-132.2,39.0,-220.2,107.8,-117.6,39.0
