,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
0,AV2hxBK0-R03vmj0MM5A,parking_record_index_v2,101a0d01019a,2017-08-02T07:06:07.923Z,2017-08-02T07:06:07.000Z,447,fcffff070fff60005aff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,96,-166,38
1,AV2hxAbv-R03vmj0MM4_,parking_record_index_v2,101a0d01019a,2017-08-02T07:06:04.911Z,2017-08-02T07:06:04.000Z,446,fcffff070fff610059ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-167,38
2,AV2hw_s5-R03vmj0MM47,parking_record_index_v2,101a0d01019a,2017-08-02T07:06:01.910Z,2017-08-02T07:06:01.000Z,445,fcffff070fff610058ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-168,38
3,AV2hw--e-R03vmj0MM44,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:58.941Z,2017-08-02T07:05:58.000Z,444,fcffff070fff610059ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-167,38
4,AV2hw-PB-R03vmj0MM42,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:55.905Z,2017-08-02T07:05:55.000Z,443,fcffff070fff610058ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,97,-168,38
5,AV2hw9ga-R03vmj0MM41,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:52.921Z,2017-08-02T07:05:52.000Z,442,fcffff070fff620057ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-241,98,-169,38
6,AV2hw8xk-R03vmj0MM4x,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:49.923Z,2017-08-02T07:05:49.000Z,441,fcffff0710ff620058ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-240,98,-168,38
7,AV2hw8CV-R03vmj0MM4r,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:46.901Z,2017-08-02T07:05:46.000Z,440,fcffff0712ff64005aff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-238,100,-166,38
8,AV2hw7Tp-R03vmj0MM4q,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:43.912Z,2017-08-02T07:05:43.000Z,439,fcffff0716ff6a0060ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-234,106,-160,38
9,AV2hw6kd-R03vmj0MM4j,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:40.893Z,2017-08-02T07:05:40.000Z,438,fcffff0713ff6c0067ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-237,108,-153,39
10,AV2hw52N-R03vmj0MM4g,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:37.932Z,2017-08-02T07:05:37.000Z,437,fcffff071cff720061ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-228,114,-159,39
11,AV2hw5Hg-R03vmj0MM4f,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:34.943Z,2017-08-02T07:05:34.000Z,436,fcffff0737ff86004aff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-201,134,-182,39
12,AV2hw4X3-R03vmj0MM4c,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:31.895Z,2017-08-02T07:05:31.000Z,435,fcffff0739ff840047ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-199,132,-185,39
13,AV2hw3oq-R03vmj0MM4Z,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:28.873Z,2017-08-02T07:05:28.000Z,434,fcffff0740ff7f0037ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-192,127,-201,39
14,AV2hw26w-R03vmj0MM4X,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:25.936Z,2017-08-02T07:05:25.000Z,433,fcffff0747ff5b00fbfe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-185,91,-261,39
15,AV2hw2Le-R03vmj0MM4W,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:22.910Z,2017-08-02T07:05:22.000Z,432,fcffff0740ff5d0002ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-192,93,-254,39
16,AV2hw1c4-R03vmj0MM4R,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:19.928Z,2017-08-02T07:05:19.000Z,431,fcffff072bff6a0014ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-213,106,-236,39
17,AV2hw0uZ-R03vmj0MM4O,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:16.952Z,2017-08-02T07:05:16.000Z,430,fcffff070aff96002aff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-246,150,-214,39
18,AV2hwz_J-R03vmj0MM4J,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:13.928Z,2017-08-02T07:05:13.000Z,429,fcffff0706ff94001dff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-250,148,-227,39
19,AV2hwzP7-R03vmj0MM4G,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:10.906Z,2017-08-02T07:05:10.000Z,428,fcffff07f5fe910008ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-267,145,-248,39
20,AV2hwyg9-R03vmj0MM4D,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:07.900Z,2017-08-02T07:05:07.000Z,427,fcffff07bcfe8400b7fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-324,132,-329,39
21,AV2hwxyX-R03vmj0MM4C,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:04.918Z,2017-08-02T07:05:04.000Z,426,fcffff07b4fe7d00b3fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-332,125,-333,39
22,AV2hwxDn-R03vmj0MM3-,parking_record_index_v2,101a0d01019a,2017-08-02T07:05:01.926Z,2017-08-02T07:05:01.000Z,425,fcffff07b2fe7600b2fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-334,118,-334,39
23,AV2hwwUv-R03vmj0MM35,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:58.926Z,2017-08-02T07:04:58.000Z,424,fcffff07bdfe5000d4fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-323,80,-300,39
24,AV2hwv0b-R03vmj0MM33,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:56.858Z,2017-08-02T07:03:37.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.0.225,-306,53,-270,39
25,AV2hwvlS-R03vmj0MM31,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:55.889Z,2017-08-02T07:04:55.000Z,423,fcffff07c8fe3600f9fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-312,54,-263,39
26,AV2hwu7s-R03vmj0MM3y,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:53.227Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.88.113,-306,53,-270,39
27,AV2hwu7h-R03vmj0MM3x,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:53.217Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.88.122,-306,53,-270,39
